Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenada,Grenadoes,Hispaniola,Jamaica,Montserrat,St. Cruz,St. Kitts,Surinam,West Indies,WI,,New Providence,Bermuda,Boston,Egg Harbour,Falmouth,Marblehead,New Jersey,New York,Newfoundland,North Carolina,Rhode Island,Salem,South Carolina,NA,,London,Bristol,Liverpool,Glasgow,GB,,Milford,Newry,Belfast,Cork,Dublin,Londonderry,Sligo,Waterford,IRE,,Barcelona,Cadiz,Figuera,Lisbon,Madeira,Oporto,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,pounds,80.31,,0.00025,165.69,0.012117509,,,,,,,,,,200,,,200,2,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,200,2
Bar iron,tons,24.07,,1,165.69,14.52712898,,7.5,3,,,,,0.5,,1,,,12,174,,,7.75,,2,,,,,,,,10,19.75,287,217,26,26.25,,269.25,3911,,,,14.5,,,,6,20.5,298,,,,,,,0,0,321.5,4670
Beans,bushels,3.5,,0.05,165.69,0.105618927,,,,,,,,,,,,,0,0,45,,,,,12,,,,,10,12,,79,8,,,,,0,0,,,,,,,,,0,0,,,,54,,,54,6,133,14
Beeswax,casks,,,,165.69,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,4,,,4,0,,,,2,,,,,2,0,,,,,,,0,0,6,0
Boat boards,,10.832,,0.005,165.69,0.032687549,,376,,,,,,63,,,,,439,14,,,,,,,,,,,,,,0,0,,,,80,80,3,,,,3300,110,,,,3410,111,,,,,,,0,0,3929,128
Bread,pounds,28.93,,0.000446429,165.69,0.007794785,,,,,,,,,,,,,0,0,,,,,,,,,16763,,,,,16763,131,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,16763,131
Bread,kegs,28.93,,0.044642857,165.69,0.779478458,,72,,,144,,,72,,115,,,403,314,12,,70,,,,,,,,,,,82,64,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,485,378
Bread,barrels,28.93,,0.089285714,165.69,1.558956916,99,716,40,53,245,,20,113,150,383,10,,1829,2851,340,52,,,76,,,,658,12,125,,30,1293,2016,,,,,0,0,,,,58,104,50,,,212,330,,,138,,,110,248,387,3582,5584
Cedar posts,,,,,165.69,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,47,,,,47,0,,,,,,,,,0,0,,,,,,,0,0,47,0
Corn,bushels,3.5,,0.05,165.69,0.105618927,4514,5045,,9452,175,,130,708,,336,,,20360,2150,95,900,,2500,11000,2400,,,,,,1400,,18295,1932,,,,,0,0,,,,,,,,,0,0,,,10500,5200,7640,6292,29632,3130,68287,7212
Cotton,bags,1.24,,6,165.69,4.490313236,,,,,,,,,,,,,0,0,,,12,,,,,,,,,,,12,54,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,12,54
Deer Skins,cases,,,,165.69,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,2,,,,2,0,,,,,,,,,0,0,,,,,,,0,0,2,0
Deer Skins,boxes,,,,165.69,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,2,,,,2,0,,,,,,,,,0,0,,,,,,,0,0,2,0
Flaxseed,hhds,6.49,,,165.69,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,0,0,500,200,,400.5,,,400,,1500.5,0,,,,,,,0,0,1500.5,0
Flour,barrels,17.5,,0.089285714,165.69,0.943026133,837,3487,470,150,237,50,180,222,579,997,100,,7309,6893,,200,6198,,304,60,23,,41,3,1842,,226,8897,8390,1063,,,,1063,1002,1000,13565,950,3647,1611,2511,80,,23364,22033,,550,223,7644,1371,274,10062,9489,50695,47807
Furs and skins,cases,,,,165.69,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,17,,,,17,0,,,,,,,,,0,0,,,,,,,0,0,17,0
Ham,barrels,80.31,,0.05,165.69,2.42350172,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,1,2,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,1,2
Handspikes,,,,,165.69,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,600,,,,600,0,,,,,,,,,0,0,,,,,,,0,0,600,0
Hoops,,,,,165.69,0,,2700,,,,8325,,,80000,4000,2000,,97025,0,,,,,,,,,,,,,,0,0,,,,340,340,0,,,,,,,,,0,0,,,,,,,0,0,97365,0
Hoops,bundles,,,,165.69,0,,,,149,,,,,,,,,149,0,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,149,0
Indian corn,hhds,3.5,,,165.69,0,,25,,,,,,,,,,,25,0,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,25,0
Iron,tons,8,,1,165.69,4.828293802,,,,,,,,,,,,,0,0,,,,,1.5,,,,,,,,,1.5,7,,7,,,7,34,,,,,,,,,0,0,,,,,,,0,0,8.5,41
Madeira,casks,50,,0.25,165.69,7.544209065,,,,,,,,,,,,,0,0,,,0.5,,,,,,,,,,,0.5,4,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,0.5,4
Madeira,pipes,50,,1,165.69,30.17683626,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,3,,,,3,91,,,,,,,,,0,0,,,,,,,0,0,3,91
