Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Boston,New England,North Carolina,Rhode Island,Salem,NA,,Bristol,Glasgow,London,Portsmouth,GB,,Ireland,IRE,,Cadiz,Lisbon,Madeira,SEU,,TOTAL,
,,1753,,,,Sterling,,,,,Quantity,Value,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,24,,1,167.49,14.32921368,,,,,0,0,,,1.5,,,1.5,21,,,92.25,,92.25,1322,,0,0,,,,0,0,93.75,1343
Bar iron,pounds,24,,0.000446429,167.49,0.00639697,,980,,,980,6,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,980,6
Beans,hhds,2.91,,0.35,167.49,0.608096006,,1,,,1,1,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,1,1
Beans,barrels,2.91,,0.175,167.49,0.304048003,,9,,,9,3,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,9,3
Beans,bushels,2.91,,0.05,167.49,0.086870858,,30,,,30,3,,140,,,,140,12,,,,,0,0,,0,0,,,,0,0,170,15
Biscuits,barrels,13.87,,0.089285714,167.49,0.739383161,,,,,0,0,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,0,0
Biscuits,hhds,13.87,,0.178571429,167.49,1.478766323,,12,,,12,18,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,12,18
Bread,barrels,21.52,,0.089285714,167.49,1.147190024,,1211,42,,1253,1437,,,,50,,50,57,,,,,0,0,,0,0,,,,0,0,1303,1494
Bread,hhds,21.52,,0.178571429,167.49,2.294380048,,5,,,5,11,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,5,11
Corn,bushels,2.91,,0.05,167.49,0.086870858,,9777,1506,900,12183,1058,606,700,,1460,900,3666,318,,,,,0,0,,0,0,,,7215,7215,627,23064,2003
Corn,barrels,2.91,,0.175,167.49,0.304048003,,7,,,7,2,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,7,2
Deer Skin,chests,,,,167.49,0,,,,,0,0,,,,,,0,0,,,2.5,,2.5,0,,0,0,,,,0,0,2.5,0
Flaxseed,hhds,5.58,,,167.49,0,,,,,0,0,,,,,,0,0,,,,,0,0,28,28,0,,,,0,0,28,0
Flour,barrels,12.8,,0.089285714,167.49,0.682343509,22,1590,142,100,1854,1265,218,,60,19,,297,203,,,,,0,0,,0,0,383,450,14,847,578,2998,2046
Heading,,5.07,,0.001,167.49,0.003027046,,10550,,,10550,32,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,10550,32
Inch plank,feet,8.112,,0.0005,167.49,0.002421637,,,2600,,2600,6,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,2600,6
Iron,tons,8,,1,167.49,4.776404561,,,,36,36,172,,,,,,0,0,1.5,25,293.5,,320,1528,,0,0,,,,0,0,356,1700
Iron,bars,8,,,167.49,0,,184,,,184,0,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,184,0
Peas,bushels,2.91,,0.05,167.49,0.086870858,,,25,,25,2,,,,,,0,0,,,,,0,0,,0,0,,,,0,0,25,2
Pig iron,tons,8,,1,167.49,4.776404561,,,,,0,0,,,,,,0,0,25,,,,25,119,,0,0,,,,0,0,25,119
Pine plank,feet,8.112,,0.0005,167.49,0.002421637,,,,,0,0,,,,,,0,0,,,,,0,0,,0,0,5000,,,5000,12,5000,12
Plank,feet,8.112,,0.0005,167.49,0.002421637,,,735,,735,2,,,,,,0,0,2130,,,,2130,5,3000,3000,7,,,,0,0,5865,14
