Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Boston,New England,New York,Philadelphia,Rhode Island,Salem,South Carolina,NA,,Aberdeen,Bideford,Bristol,Glasgow,Leith,London,GB,,Cork,Newry,IRE,,Madeira,SEU,,TOTAL,
,,1756,,,,Sterling,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,barrels,2.5,,0.05,172.57,0.072434374,,14,66,80,6,,,,,,,,0,0,,,,,,,0,0,,,0,0,,0,0,80,6
Beef,barrels,48.96,,0.05,172.57,1.418554789,,7,,7,10,,,,,,,,0,0,,,,,,,0,0,,,0,0,,0,0,7,10
Beeswax,pounds,,,,172.57,0,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,,0,0,510,510,0,510,0
Boat boards,feet,5.664,,0.0005,172.57,0.001641073,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,4464,4464,7,,0,0,4464,7
Bread,tierces,21.21,,0.11875,172.57,1.459516428,,2,,2,3,,,,,,,,0,0,,,,,,,0,0,,,0,0,,0,0,2,3
Bread,pounds,21.21,,0.000446429,172.57,0.005486904,,,13000,13000,71,,,,,,,,0,0,,,,,,,0,0,,,0,0,,0,0,13000,71
Bread,barrels,21.21,,0.089285714,172.57,1.097380773,,306,66,372,408,,,4,,,,,4,4,,,,,,,0,0,,,0,0,,0,0,376,412
Corn,bushels,2.5,,0.05,172.57,0.072434374,,1205,,1205,87,,,,1200,,,,1200,87,,,,,,,0,0,,,0,0,,0,0,2405,174
Flaxseed,hhds,4.15,,,172.57,0,,,,0,0,,,,,,,,0,0,,,,150,737.5,,887.5,0,200,209.5,409.5,0,,0,0,1297,0
Flaxseed,bags,4.15,,,172.57,0,,,,0,0,,,,,,,,0,0,,,,,95,,95,0,,,0,0,,0,0,95,0
Flour,barrels,12.76,,0.089285714,172.57,0.660187584,304,1365,193,1862,1229,,,6,,4,,120,130,86,,,,,,,0,0,,,0,0,100,100,66,2092,1381
Flour,bushels,12.76,,0.089285714,172.57,0.660187584,,,,0,0,,,,1500,,,,1500,990,,,,,,,0,0,,,0,0,,0,0,1500,990
Ham,barrels,61.42,,0.05,172.57,1.779567712,,2,,2,4,,,,,,,,0,0,,,,,,,0,0,,,0,0,,0,0,2,4
Heading and staves,,3.54,,0.001,172.57,0.002051341,,3000,,3000,6,,,,,,,,0,0,,,,,,,0,0,,,0,0,,0,0,3000,6
Indian corn,bushels,2.5,,0.05,172.57,0.072434374,4295,18415,10463,33173,2403,2084,,3615.5,358,2010,2820,,10887.5,789,,,,,,,0,0,,,0,0,4210,4210,305,48270.5,3497
Iron,tons,7.58,,1,172.57,4.392420467,,10,,10,44,,,,,,,,0,0,,22,85,,,210,317,1392,24,,24,105,,0,0,351,1541
Madeira,pipes,32.78,,0.05,172.57,0.949759518,,,,0,0,,,4,,,,,4,4,,,,,,2,2,2,,,0,0,,0,0,6,6
Negroes,,33.1,,1,100,33.1,,,,0,0,,14,,,,,,14,463,,,,,,,0,0,,,0,0,,0,0,14,463
Oak plank,feet,5.664,,0.0005,172.57,0.001641073,,,,0,0,,,,,,,,0,0,,1000,,,,,1000,2,,,0,0,,0,0,1000,2
Peas,barrels,2.5,,0.05,172.57,0.072434374,,20,,20,1,,,,,,,,0,0,,,,,,,0,0,,,0,0,,0,0,20,1
Peas,bushels,2.5,,0.175,172.57,0.253520311,,130,,130,33,,,,100,23,,,123,31,,,,,,,0,0,,,0,0,,0,0,253,64
Pine board,feet,5.664,,0.0005,172.57,0.001641073,1300,780,,2080,3,,,,,,,,0,0,,,,,,,0,0,,,0,0,,0,0,2080,3
Plank,feet,5.664,,0.0005,172.57,0.001641073,,,,0,0,,,,,,,,0,0,,,,,7599,,7599,12,,,0,0,,0,0,7599,12
Pork,barrels,61.42,,0.05,172.57,1.779567712,,17,,17,30,,,,,4,3,,7,12,,,,,,,0,0,,,0,0,,0,0,24,42
Pork,hhds,61.42,,0.1,172.57,3.559135423,,,,0,0,,,,,,2,,2,7,,,,,,,0,0,,,0,0,,0,0,2,7
Salt,bushels,2.27,,0.05,172.57,0.065770412,,,,0,0,1500,,,,,,,1500,99,,,,,,,0,0,,,0,0,,0,0,1500,99
Shingles,,,,,172.57,0,,8100,,8100,0,,,,,,,,0,0,,,,,,,0,0,,,0,0,,0,0,8100,0
Staves and heading,,3.54,,0.001,172.57,0.002051341,900,24300,8000,33200,68,,,,,2800,,,2800,6,4460,3000,23230,8000,28800,52190,119680,246,5000,40000,45000,92,,0,0,200680,412
