Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Monto Christo,Montserrat,St. Christophers,WI,,New Providence,Bermuda,Boston,Falmouth NE,Halifax,Lewis DE,New Haven,New York,Newbury,Newfoundland,North Carolina,Philadelphia,Rhode Island,Salem,Wilmington,NA,,London,Bristol,South Hampton,Whitehaven,GB,,Cork,Londonderry,IRE,,Gibraltar,SEU,,TOTAL,
,,1761,,,,Sterling,,,,,,,Quantity,Value,,,,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,pounds,73.92,,0.00025,172.71,0.010700017,,,,,,,0,0,,,,,599,,,,,,,,,,,599,6,,,,,0,0,,,0,0,,0,0,599,6
Beans,bushels,2.42,,0.05,172.71,0.070059638,,69,,,,,69,5,,,2545,8.5,110,,,,,,,,9.5,40,,2713,190,,,,,0,0,,,0,0,,0,0,2782,195
Beef,barrels,14.82,,0.05,172.71,0.429042904,,23,,,,,23,10,10,,,,,,,,,,,,,,,10,4,,,,,0,0,,,0,0,,0,0,33,14
Beeswax,barrels,,,,172.71,0,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,4,4,0,4,0
Boards,feet,13.648,,0.0005,172.71,0.003951132,,,,,,1000,1000,4,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,1000,4
Bread,kegs,25.18,,,172.71,0,,,,,,,0,0,20,,,,,,,,,,,,,,,20,0,,,,,0,0,,,0,0,,0,0,20,0
Bread,barrels,25.18,,0.089285714,172.71,1.301727917,62,1209,463,,42,86,1862,2424,166,,75,,134,,,,,40,,4,,,,419,545,,,,,0,0,,,0,0,,0,0,2281,2969
Corn,bushels,2.42,,0.05,172.71,0.070059638,505,,,,,,505,35,,,,,,,,,,,,,2056,1200,,3256,228,,,,,0,0,,,0,0,,0,0,3761,263
Deer Skin,chests,,,,172.71,0,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,1,,,,1,0,,,0,0,,0,0,1,0
Flaxseed,hhds,4.9,,,172.71,0,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,214,214,0,,0,0,214,0
Flaxseed,casks,4.9,,,172.71,0,,,,,,,0,0,,,,,,,,,,,,20,,,,20,0,,,,,0,0,,,0,0,,0,0,20,0
Flour,barrels,14.82,,0.089285714,172.71,0.766148043,798,4097,3111,,221,325,8552,6552,584,,1436,40,317,217,98,417,,350,13,62,236,,,3770,2888,,,,,0,0,,86,86,66,245,245,188,12653,9694
Gammons,barrels,73.92,,0.05,172.71,2.140003474,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,4,4,9,4,9
Ham,barrels,73.92,,0.05,172.71,2.140003474,,,,,,,0,0,2,,,,,,,,,,,,,,,2,4,,,,,0,0,,,0,0,,0,0,2,4
Hemp,tons,4.81,,9.333333333,172.71,25.99347654,,,,,,,0,0,,,4,,,,,,,,,,,,,4,104,,,,,0,0,,,0,0,,0,0,4,104
Hemp,pounds,4.81,,0.004166667,172.71,0.011604231,,,,,,,0,0,,,3100,1000,,,,,,,,,5087,,,9187,107,,,,,0,0,,,0,0,,0,0,9187,107
Hoops,,,,,172.71,0,925,4110,,,,,5035,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,5035,0
Indian corn,bushels,2.42,,0.05,172.71,0.070059638,3081,10705,1827,,,1171,16784,1176,730,1500,7998,1100,2840,2500,1448,1000,1800,,,,457,2600,,23973,1680,,,,,0,0,,,0,0,,0,0,40757,2856
Iron,tons,11.34,,1,172.71,6.56591975,,2,,,,,2,13,,,45,,,,,,,,3.5,,,,,48.5,318,500,23,1,48,572,3756,,,0,0,,0,0,622.5,4087
Iron,bars,11.34,,,172.71,0,,,,684,,,684,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,684,0
Molasses,hhds,2.42,,5.05,172.71,7.076023392,,,,,,,0,0,,,,,,,,,,,4,,,,,4,28,,,,,0,0,,,0,0,,0,0,4,28
Oats,bushels,2.42,,0.05,172.71,0.070059638,,,,,,,0,0,,,,,,,,,100,,,,,,,100,7,,,,,0,0,,,0,0,,0,0,100,7
Peas,barrels,2.42,,0.175,172.71,0.245208731,,5,,,,,5,1,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,5,1
Peas,bushels,2.42,,0.05,172.71,0.070059638,,21,,,,,21,1,,,,,20,,,,,,,,30,,,50,4,,,,,0,0,,,0,0,,0,0,71,5
Pine board,feet,13.648,,0.0005,172.71,0.003951132,,300,,,,250,550,2,7692,,,,,,,,,,,,,,,7692,30,,,,,0,0,,,0,0,,0,0,8242,32
Plank,feet,13.648,,0.0005,172.71,0.003951132,,,,,,,0,0,2600,,,,,,,,,,,,,,,2600,10,,,,,0,0,,,0,0,,0,0,2600,10
Poles (hoop),,,,,172.71,0,,,,,,,0,0,,,,,,,,,,,,,,,4000,4000,0,,,,,0,0,,,0,0,,0,0,4000,0
Pork,barrels,73.92,,0.05,172.71,2.140003474,,,,,,,0,0,50,,,,,,,,,,,,8,,,58,124,,,,,0,0,,,0,0,,0,0,58,124
Racoon skins,,,,,172.71,0,,,,,,,0,0,,,,,,,,,,,,,85,,,85,0,,,,,0,0,,,0,0,,0,0,85,0
Rum,hhds,3.93,,5.25,172.71,11.94632621,,,,,,,0,0,,,,,,,,,,,12,,,,,12,143,,,,,0,0,,,0,0,,0,0,12,143
Rye,bushels,2.42,,0.0005,172.71,0.000700596,,,,,,,0,0,,,,,303,,,,,,,,,,,303,0,,,,,0,0,,,0,0,,0,0,303,0
Salt,bags,2.42,,0.175,172.71,0.245208731,,,,55,,,55,13,,,,,,,,1600,,,,,,,,1600,392,,,,,0,0,,,0,0,,0,0,1655,405
Salt,bushels,2.42,,0.05,172.71,0.070059638,,,,,,,0,0,,,,,,,,,,,400,,,,,400,28,,,,,0,0,,,0,0,,0,0,400,28
Shingles,,,,,172.71,0,,56300,7700,,,,64000,0,10000,,,,,,,,,,,,,,,10000,0,,,,,0,0,,,0,0,,0,0,74000,0
Ship bread,pounds,12.67,,0.000446429,172.71,0.003274999,,,,,,,0,0,,,,,,,,,,,,,1200,,,1200,4,,,,,0,0,,,0,0,,0,0,1200,4
Skins,chests,,,,172.71,0,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,4,,,,4,0,,,0,0,,0,0,4,0
Staves and heading,,8.53,,0.001,172.71,0.004938915,4200,42367,6700,,,1200,54467,269,1000,,12369,,,7000,,,,4872,,3000,10000,,7400,45641,225,223157,8775,,28000,259932,1284,157000,6000,163000,805,6250,6250,31,529290,2614
Staves and shingles,,8.53,,0.001,172.71,0.004938915,2900,,,,,,2900,14,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,2900,14
Sugar,barrels,48.14,,0.15,172.71,4.180997047,,,,,,,0,0,,,,,,,,2,,,4,,,,,6,25,86,,,,86,360,,,0,0,,0,0,92,385
Sugar,tierces,49.14,,0.489285714,172.71,13.92131318,,,,,,,0,0,,,,,,45,,1,,,1,,,,,47,654,1,,,,1,14,,,0,0,,0,0,48,668
Sugar,hhds,49.14,,0.632142857,172.71,17.98593017,,,,,,,0,0,,,,,,122,,4,,,,,,,,126,2266,96,,,,96,1727,,,0,0,,0,0,222,3993
Tobacco,hhds,21.52,,0.518,172.71,6.454380175,14,9,,,,,23,148,,,,,3,,,,,,,,,,,3,19,7312,370,51,980,8713,56237,,,0,0,,0,0,8739,56404
Tobacco,pounds,21.52,,0.0005,172.71,0.006230097,,1315,,,,,1315,8,,,112,,,,,,,,,,,,,112,1,,,,,0,0,,,0,0,,0,0,1427,9
Turpentine,barrels,14.11,,0.05,172.71,0.408488217,,3,,,,,3,1,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,3,1
Walnut plank,feet,13.648,,0.0005,172.71,0.003951132,,,,1724,,,1724,7,,,,,,,,,,,,,,,,0,0,350,,250,,600,2,,,0,0,,0,0,2324,9
Walnut plank,pieces,13.648,,0.0005,172.71,0.003951132,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,22,,,22,0,,,0,0,,0,0,22,0
Walnut planks,,,,,172.71,0,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,20,,,,20,0,,,0,0,,0,0,20,0
Wheat,bushels,5.03,,0.05,172.71,0.145619825,,,,,,,0,0,,,12320,,,,734,10511,50,,,3071,30,1300,,28016,4080,,,,,0,0,2500,700,3200,466,4234.5,4234.5,617,35450.5,5163
Wine,pipes,48.83,,1,172.71,28.27282728,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,1,,,,1,28,,,0,0,,0,0,1,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,10683,,,,,,,,,,,,,,,,,14114,,,,,,63408,,,,1337,,,845,,90387
