Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,St. Kitts,WI,,Boston,NA,,Africa,AFR,,Madeira,SEU,,TOTAL,
,,1750,,,,Sterling,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,170.6,0,,,,,0,0,100,100,0,,0,0,,0,0,100,0
Cotton,bags,1.89,,6,170.6,6.647127784,,,1,,1,7,,0,0,,0,0,,0,0,1,7
Molasses,hhds,1.69,,5.05,170.6,5.002637749,1,,,,1,5,,0,0,,0,0,,0,0,1,5
Negroes,,27.12,,1,100,27.12,,,,2,2,54,,0,0,713,713,19337,,0,0,715,19391
Rum,tierces,3.46,,3.05,170.6,6.185814771,,14,35,21,70,433,,0,0,,0,0,,0,0,70,433
Rum,hhds,3.46,,5.05,170.6,10.24208675,6,36,110,119,271,2776,4,4,41,,0,0,,0,0,275,2817
Rum,barrels,3.46,,1.45,170.6,2.940797186,,11,5,,16,47,,0,0,,0,0,,0,0,16,47
Salt,hhds,1.55,,0.35,170.6,0.317995311,,,,,0,0,5,5,2,,0,0,,0,0,5,2
Salt,bushels,1.55,,0.05,170.6,0.045427902,2053,,,,2053,93,,0,0,,0,0,,0,0,2053,93
Sugar,barrels,51.98,,0.15,170.6,4.570339977,,48,200,49,297,1357,,0,0,,0,0,,0,0,297,1357
Virginia currency,pounds,1,,1,125.94,0.794028903,14,,,,14,11,,0,0,,0,0,,0,0,14,11
Wine,pipes,29.74,,1,170.6,17.43259086,,,,1,1,17,,0,0,,0,0,31,31,540,32,557
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,4800,,,43,,,19337,,,540,,24720
