year,Bar iron,Beans,Beef,Biscuits,Bread,Chocolate,Coffee,Corn,Flaxseed,Flour,Furs,Handspikes,Heading,Heading (hhd),Hemp,Hoops,Iron,Logs,Logs (walnut),Molasses,Negroes,Oats,Peas,Pig iron,Plank,Planks,Plate,Pork,Potatoes,Rum,Rye,Salt,Shingles,Spirits,Staves,Staves (barrels),Staves (hhds),Staves (pipes),Staves and heading,Sugar,Tar,Tobacco,Wax,Wheat,Wine
1743,43.0,0.0,12.0,0.0,37.0,0.0,0.0,13.0,0.0,512.0,0.0,0.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,35.5,365.0,8.0,1.0,0.0,300.5,0.0,0.0,0.0,3.5,0.0,0.0,161.0,17.0,117.0,61.0,49.0,0.0,7.0,8615.75,0.0,1446.0,0.0
1744,0.0,8.0,3.0,0.0,30.0,0.0,0.0,471.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,1.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,184.0,0.0,0.0,11321.0,0.0,904.0,0.0
1745,0.0,10.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,81.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,352.0,3.0,0.0,0.0,328.0,0.0,0.0,0.0,74.0,0.0,0.0,24.0,4.0,56.0,1.0,6.0,0.0,0.0,6745.5,0.0,479.0,0.0
1746,141.0,3.0,0.0,0.0,5.0,0.0,0.0,399.0,0.0,39.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,318.0,3.0,5.0,0.0,47.5,0.0,0.0,2.0,0.0,0.0,0.0,235.0,0.0,0.0,3.0,0.0,0.0,0.0,11163.0,0.0,784.0,0.0
1760,0.0,13.0,0.0,0.0,186.0,0.0,0.0,4285.0,0.0,352.0,0.0,0.0,35.0,0.0,129.0,0.0,2522.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,148.0,0.0,0.0,1.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,12591.333333333334,0.0,5578.0,0.0
1761,59.0,41.0,0.0,0.0,717.0,0.0,0.0,5901.0,34.0,1497.0,0.0,0.0,1.0,0.0,39.0,0.0,1983.0,0.0,0.0,28.0,0.0,0.0,3.0,0.0,55.5,0.5,0.0,292.6666666666667,0.0,35.0,4.0,30.0,0.0,0.0,803.0,0.0,0.0,0.0,0.0,18.0,0.0,15568.0,0.0,3991.0,99.0
1762,0.0,1.0,13.0,0.0,315.0,0.0,0.0,2965.0,0.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.0,144.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,16127.0,0.0,4301.0,22.0
1763,0.0,41.0,10.0,0.0,252.0,0.0,0.0,6352.0,0.0,1128.0,0.0,0.0,30.0,0.0,0.0,0.0,1584.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,56.0,0.0,0.0,68.66666666666667,0.0,34.0,0.0,0.0,0.0,0.0,1539.0,0.0,0.0,0.0,0.0,0.0,0.0,33195.0,0.0,1417.0,0.0
1764,664.0,10.0,0.0,0.0,157.5,0.0,0.0,4081.0,0.0,383.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,600.0,83.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,26.0,184.0,32.0,0.0,0.0,0.0,17093.0,0.0,3257.0,22.0
1765,690.0,6.0,0.0,0.0,320.5,0.0,0.0,3344.0,0.0,835.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,5.0,854.0,23.0,0.0,0.0,96.0,0.0,0.0,24.0,0.0,0.0,4.0,710.0,5.0,0.0,0.0,45.0,0.0,0.0,8282.5,0.0,4671.0,55.666666666666664
