year,Bar iron,Beans,Beef,Biscuits,Bread,Cheese,Chocolate,Coffee,Corn,Corn and peas,Cotton,Deer Skin,Deer Skins,Deer skins (raw),Flax,Flaxseed,Flour,Furs,Furs and skins,Ginger,Hams,Handspikes,Heading,Heading (hhd),Hemp,Hoops,Indigo,Iron,Loaf sugar,Logs (walnut),Lumber,Molasses,Negroes,Oats,Peas,Peas/beans,Pig iron,Pimento,Pitch,Plank,Planks,Poles (hoop),Pork,Potatoes,Rice,Rum,Rye,Salt,Shingles,Skins,Spirits,Staves,Staves (barrels),Staves (hhds),Staves (pipes),Staves and heading,Sugar,Tar,Tea,Tobacco,Turpentine,Walnut,Walnut logs,Wax,Wheat,Wine
1749,0.0,23.0,109.0,21.0,0.0,0.0,0.0,0.0,861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,120.0,0.0,328.5,17.0,3.0,0.0,320.0,0.0,0.0,3783.0,0.0,0.0,0.0,0.0,0.0,878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50229.0,0.0,0.0,0.0,0.0,504.0,0.0
1750,0.0,9.0,96.5,0.0,10.0,0.0,0.0,0.0,2919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,103.0,0.0,36.0,35.0,9.0,0.0,785.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1107.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,40262.5,77.0,0.0,0.0,0.0,298.0,35.0
1752,0.0,0.0,87.0,0.0,1.0,0.0,0.0,0.0,4046.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,15.0,73.0,0.0,312.0,0.0,99.0,12.0,9.0,0.0,2899.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1172.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,113338.0,154.0,0.0,0.0,0.0,959.0,58.5
1754,0.0,36.0,103.0,0.0,46.0,0.0,0.0,0.0,8238.0,161.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,165.0,0.0,68.0,0.0,0.0,5.0,1.0,0.0,1376.5,0.0,0.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,35878.5,2.0,0.0,0.0,0.0,361.0,88.66666666666667
1756,132.0,0.0,112.0,0.0,97.0,0.0,0.0,0.0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,88.0,0.0,701.0,0.0,0.0,1.0,5.0,0.0,1902.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,0.0,0.0,427.0,0.0,46230.0,40.0,0.0,0.0,0.0,984.0,133.0
1758,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2073.0,228.0,12.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,697.0,0.0,0.0,32.0,2.0,0.0,1334.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2350.0,0.0,0.0,0.0,56.0,163.0,1284.0,0.0,87423.0,10.0,0.0,0.0,0.0,1828.0,95.5
1760,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2148.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,3876.0,0.0,0.0,10.0,4.0,0.0,326.3333333333333,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,1706.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,161441.0,0.0,0.0,0.0,0.0,2813.0,418.0
1761,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,906.0,0.0,4.0,104.0,5.0,0.0,270.3333333333333,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2806.0,0.0,0.0,0.0,0.0,4.0,426.0,0.0,125299.0,206.0,0.0,0.0,0.0,2937.0,679.0
1762,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,4883.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,838.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,3236.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,138349.0,26.0,0.0,0.0,0.0,5087.0,0.0
1763,422.0,1.0,64.0,0.0,131.0,0.0,0.0,0.0,4892.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,189.0,6.0,0.0,33.0,141.0,0.0,349.0,0.0,0.0,13.0,2.0,0.0,488.5,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71471.0,0.0,0.0,0.0,0.0,2674.0,71.0
1764,0.0,6.0,0.0,0.0,82.0,0.0,0.0,0.0,5079.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,139.0,37.0,172.0,0.0,506.0,0.0,0.0,24.0,20.0,0.0,887.6666666666666,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1936.0,0.0,0.0,1.0,0.0,8.0,236.0,0.0,86244.0,100.0,0.0,0.0,0.0,4434.0,138.75
1765,0.0,14.0,10.0,0.0,20.0,0.0,0.0,0.0,6490.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.5,0.0,0.0,0.0,2.0,0.0,0.0,115.5,0.0,1656.0,0.0,27.0,8.5,11.0,0.0,536.5,0.0,0.0,18.75,1.0,0.0,0.0,0.0,19.0,760.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,48889.0,2.0,0.0,0.0,0.0,5705.0,32.666666666666664
1766,348.0,27.0,8.0,1.0,72.75,0.0,0.0,0.0,2264.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0.0,0.0,537.6666666666666,0.0,0.0,0.0,0.0,0.0,120.0,105.0,0.0,0.0,0.0,194.0,136.0,23.0,0.0,46.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2291.0,0.0,0.0,0.0,0.0,5.0,440.0,0.0,129837.0,31.0,0.0,0.0,0.0,5902.0,15.0
1768,0.0,85.0,0.0,0.0,149.0,0.0,0.0,0.0,7266.0,0.0,116.25,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,148.16666666666666,0.0,0.0,343.6,28.0,0.0,0.0,0.0,0.0,155.0,295.0,0.0,0.0,0.0,170.0,48.0,0.0,0.0,106.66666666666667,0.0,0.0,53.666666666666664,1.0,0.0,0.0,0.0,0.0,1616.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,119119.0,217.0,0.0,0.0,0.0,15552.0,234.0
1769,0.0,35.0,0.0,0.0,687.5,0.0,0.0,0.0,9698.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,3641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.8333333333333,0.0,0.0,1524.5,6.0,0.0,0.0,0.0,0.0,53.0,54.0,0.0,0.0,0.0,19.0,30.0,17.0,0.0,384.3333333333333,0.0,0.0,50.333333333333336,2.0,0.0,0.0,0.0,0.0,1811.0,0.0,0.0,0.0,0.0,0.0,47.0,8.5,187620.0,28.0,0.0,0.0,0.0,21126.5,71.0
1771,0.0,11.0,64.0,2540.3333333333335,170.0,0.0,0.0,0.0,4277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,83.0,0.0,0.0,1413.0,15.0,0.0,0.0,5.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,60.5,0.0,0.0,88.0,1.0,3.0,0.0,0.0,0.0,2591.0,0.0,0.0,0.0,0.0,23.0,62.0,0.0,246806.0,21.0,0.0,0.0,0.0,13323.0,60.0
sv,0.0,110.0,2.0,0.0,0.0,0.0,0.0,0.0,902.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,36.5,5.428571428571429,3.3333333333333335,0.0,933.421052631579,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,149.6,23.666666666666668,21.0,37.25,0.0,0.0,492.0,0.0,13681.636363636364,0.0,0.0,0.0,0.0,553.0,169.0
