year,Bar iron,Beef,Beeswax,Bread,Cash,Cheese,Chocolate,Coffee,Convicts,Corn,Cotton,Cotton wool,Deer Skin,Dollars,Flour,Ginger,Gold (bar),Gold (dust),Indigo,Iron,Linen,Loaf sugar,Molasses,Negroes,Peas,Pig iron,Pimento,Pitch,Plank,Planks,Pork,Refined sugar,Rice,Rum,Salt,Servants,Ship bread,Silver,Spirits,Staves,Sugar,Tar,Tea,Tobacco,Turpentine,Virginia currency,White sugar,Wine
1744,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,6487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.3333333333333,691.0,0.0,0.0,342.0,0.0,0.0,311.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,980.8
1745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,11547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,791.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,696.3333333333334
1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,22184.0,0.0,150.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1423.0,562.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,109.0,0.0,2092.6666666666665
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195.0,109.0,0.0,0.0,0.0,0.0,0.0,202.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,890.25
1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.0,10767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8285.0,239.0,769.0,45.0,0.0,0.0,0.0,328.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,817.3333333333334
1752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,48463.0,0.0,0.0,0.0,90.0,5.0,0.0,0.0,7.0,0.0,6996.0,151.0,493.0,0.0,0.0,0.0,0.0,455.0,93.0,0.0,0.0,0.0,0.0,0.0,598.0
1754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,328.0,1456.0,0.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4774.0,262.0,481.0,0.0,0.0,0.0,0.0,506.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,785.6666666666666
1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417.0,0.0,0.0,0.0,466.0,364.0,0.0,0.0,0.0,22.0,0.0,0.0,51.0,0.0,0.0,8850.0,293.0,0.0,0.0,0.0,0.0,0.0,496.6666666666667,207.0,0.0,0.0,62.0,0.0,0.0,215.66666666666666
1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,33.0,0.0,198.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3097.0,372.0,0.0,0.0,0.0,0.0,0.0,366.75,0.0,0.0,0.0,0.0,0.0,8.0,326.0
1758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3465.0,382.0,0.0,0.0,0.0,0.0,0.0,92.66666666666667,17.0,0.0,0.0,18.0,0.0,0.0,1067.5
1760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10086.0,25.0,0.0,0.0,0.0,0.0,0.0,288.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,159.0
1761,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,6980.0,0.0,0.0,0.0,61.0,0.0,0.0,150.0,391.0,0.0,5549.0,2.0,0.0,0.0,0.0,0.0,0.0,349.0,55.0,0.0,0.0,0.0,81.0,0.0,1408.6666666666667
1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,2279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,3467.0,61.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,66.0,0.0,442.0
1764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,198.0,139.0,0.0,230.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3830.0,66.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,811.6666666666666
1765,0.0,0.0,0.0,26.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.75,478.0,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3858.0,32.0,0.0,0.0,0.0,8.0,0.0,283.6666666666667,0.0,8.0,0.0,0.0,0.0,0.0,879.0
1768,63.0,0.0,0.0,0.0,173.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.25,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5250.0,20.0,0.0,0.0,0.0,0.0,0.0,278.6666666666667,0.0,0.0,14.0,0.0,0.0,0.0,1336.6666666666667
1769,0.0,0.0,0.0,46.0,391.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,654.0,38.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3893.0,23.0,0.0,0.0,0.0,0.0,0.0,233.66666666666666,0.0,4.0,0.0,0.0,0.0,3.0,594.25
1771,0.0,0.0,0.0,2.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,5691.0,48.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
