year,Bar iron,Beef,Bread,Cast iron,Cheese,Chocolate,Coffee,Convicts,Corn,Cotton,Deer Skin,Dollars,Flax,Flour,Furs,Ginger,Hoops,Indigo,Iron,Linen,Loaf sugar,Maryland currency,Molasses,Negroes,Peas,Pepper,Pieces of eight,Pimento,Pitch,Plank,Planks,Pork,Potatoes,Refined sugar,Rice,Rum,Salt,Servants,Shingles,Spirit turpentine,Spirits,Staves,Staves (pipe),Staves and heading,Sterling cash,Sugar,Tar,Tea,Turpentine,Wheat,Wine,Wrought iron
1743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.0,211.5,824.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0
1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,1952.0,542.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,17.0,0.0
1745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,360.5,937.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,137.0,20.0,0.0,0.0,0.0,125.0,1.0
1746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,289.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,653.3333333333334,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0
1761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,4481.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,342.3333333333333,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.3333333333333,0.0,0.0,0.0,0.0,67.0,0.0
1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,59.0,1043.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2405.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.0,28.0,0.0,15.0,0.0,22.0,0.0
1763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,191.0,218.0,174.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1225.0,525.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,18.0,0.0,16.0,0.0,143.0,0.0
1764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2577.5,828.0,720.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,443.0,0.0,0.0,0.0,0.0,526.0,0.0
1765,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,413.0,243.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256.0,476.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,335.0,366.0,0.0,13.0,0.0,0.0,876.3333333333334,0.0
1766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1828.0,274.0,986.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,292.0,7.0,0.0,0.0,0.0,6.0,0.0
