year,Bar iron,Beans,Beef,Biscuits,Bread,Bread and flour,Cheese,Chocolate,Coffee,Corn,Cotton,Deer Skin,Deer Skins,Flax,Flaxseed,Flour,Furs,Furs and skins,Ginger,Handspikes,Heading,Hemp,Hoops,Indigo,Iron,Linen,Logs,Logs (walnut),Molasses,Negroes,Oats,Peas,Peas/beans,Pig iron,Pitch,Plank,Planks,Pork,Potatoes,Rum,Rye,Salt,Shingles,Ship bread,Skins,Spirits,Staves,Staves (barrel),Staves (barrels),Staves (hhd),Staves (hhds),Staves (pipe),Staves (pipes),Staves and heading,Sugar,Tar,Tea,Tobacco,Turpentine,Walnut logs,Wax,Wheat,Wine
1738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1957.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16673.5,0.0,0.0,0.0,320.0,0.0
1739,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2175.0,0.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22509.5,0.0,0.0,0.0,25.0,0.0
1740,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1491.0,0.0,2.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19342.0,0.0,0.0,0.0,67.0,6.0
1741,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1680.0,0.0,7.0,0.0,35.333333333333336,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24966.5,0.0,0.0,0.0,95.0,0.0
1742,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2796.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,276.0,0.0,2.5,9.0,9.5,0.0,8.0,0.0,2.0,0.0,0.0,0.0,3.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,123.0,0.0,36747.5,0.0,0.0,0.0,43.0,16.0
1743,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,177.0,0.0,4.5,17.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31056.5,7.0,0.0,0.0,116.0,0.0
1744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2382.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,29.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21275.0,0.0,0.0,0.0,38.0,0.0
1745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2545.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25427.0,0.0,0.0,0.0,7.0,0.0
1746,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,0.0,6.0,54.0,6.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197.5,0.0,0.0,0.0,57.0,0.0
1749,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0,26.0,0.0,702.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63573.0,0.0,0.0,0.0,2.0,0.0
