year,Bar iron,Beans,Beef,Biscuits,Bread,Bread and flour,Cheese,Chocolate,Corn,Corn and peas,Cotton,Cotton wool,Deer Skin,Deer Skins,Deer skins (raw),Flax,Flaxseed,Flour,Furs and skins,Ginger,Handspikes,Heading,Heading (hhd),Headings and staves,Hemp,Hoops,Hoops (hhd),Hoops and heading,Indigo,Iron,Linen,Lumber,Molasses,Negroes,Oats,Peas,Peas/beans,Pig iron,Pitch,Pitch and turpentine,Plank,Planks,Pork,Potatoes,Rice,Rum,Rye,Salt,Shingles,Ship bread,Skins,Spirits,Spirits turpentine,Staves,Staves (barrel),Staves (barrels),Staves (hhds),Staves (pipes),Sugar,Tar,Tar and turpentine,Tea,Tobacco,Turpentine,Walnut logs,Wax,Wheat,Wine,Wood
1725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1731.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,30.0,53.0,113.0,0.0,18.0,0.0,0.0,33543.5,0.0,0.0,0.0,83.0,0.0,0.0
1726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,63.0,172.0,0.0,108.0,0.0,0.0,16625.0,0.0,0.0,0.0,0.0,0.0,0.0
1730,0.0,9.0,197.0,0.0,89.0,0.0,0.0,0.0,0.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,292.0,0.0,0.0,13.666666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,110.0,72.0,0.0,31.0,0.0,0.0,13042.666666666666,87.0,0.0,0.0,717.0,30.0,0.0
1732,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,519.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,52.0,0.0,3.0,0.0,193.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,146.0,184.0,0.0,366.0,0.0,0.0,39331.0,0.0,0.0,0.0,342.0,117.5,0.0
1733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,26.0,3.0,1.0,94.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,58.0,5.5,30.0,31.0,0.0,646.0,0.0,0.0,39287.0,0.0,0.0,0.0,171.0,126.0,0.0
1735,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,657.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.5,0.0,367.0,0.0,0.0,150.33333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.666666666666664,0.0,10.0,25.0,61.0,151.0,232.0,0.0,0.0,41819.0,20.0,0.0,0.0,355.0,178.0,0.0
1736,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,7.0,0.0,222.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,5.0,0.0,142.0,0.0,0.0,32519.0,0.0,0.0,0.0,3.0,26.0,0.0
1737,0.0,1.0,53.0,0.0,24.0,0.0,0.0,0.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,162.0,0.0,0.0,0.0,0.0,11.0,0.0,90.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56778.0,19.0,0.0,0.0,20.0,196.0,0.0
1738,0.0,5.0,0.0,0.0,93.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,12.0,1.0,215.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23761.5,0.0,0.0,0.0,23.0,7.0,0.0
1739,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3677.0,0.0,0.0,0.0,53.0,0.0,31.0,0.0,0.0,0.0,0.0,3.3333333333333335,1.0,183.5,0.0,0.0,66.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,49750.0,0.0,0.0,0.0,1260.0,235.0,0.0
