year,Bar iron,Beef,Beeswax,Biscuit,Bread,Cash,Cheese,Chocolate,Clayed sugar,Coffee,Convicts,Cotton,Deer Skin,Dollars,Ginger,Guineas,Hoops,Indigo,Iron,Linen,Loaf sugar,Molasses,Negroes,Peas,Pepper,Pig iron,Pimento,Pitch,Plank,Pork,Potatoes,Refined sugar,Rice,Rum,Rum and spirits,Salt,Servants,Shingles,Spirits,Staves,Staves (barrel),Sterling cash,Sugar,Tar,Tea,Tobacco,Turpentine,Virginia currency,Wheat,White sugar,Wine
1750,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,809.3333333333334,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,330.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
1751,44.0,0.0,0.0,1.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088.5,0.0,710.0,789.0,0.0,0.0,0.0,0.0,0.0,189.33333333333334,49.0,0.0,0.0,0.0,0.0,0.0,0.0,154.75
1752,15.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.0,69.25,18496.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,891.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,94.66666666666667
1754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,471.0,0.0,601.5,1059.0,0.0,0.0,0.0,0.0,0.0,189.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0
1755,52.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.3333333333334,0.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,195.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
1758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,285.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.66666666666667,0.0,1345.0,0.0,0.0,0.0,0.0,0.0,0.0,319.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
1760,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,94.5,7122.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.5,0.0,715.3333333333334,0.0,105.0,0.0,0.0,64.0,0.0,0.0,0.0,99.0,102.0,0.0,0.0,14.0,0.0,0.0,0.0,50.333333333333336
1761,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,37747.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,36.0,0.0,513.3333333333334,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,144.66666666666666,0.0,0.0,0.0,0.0,24.0,0.0,0.0,155.5
1762,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,21615.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,32.0,0.0,2159.0,0.0,52.0,427.0,0.0,0.0,353.0,0.0,30.0,347.0,423.0,0.0,0.0,8.0,0.0,0.0,0.0,262.0
1763,0.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,341.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,19.666666666666668,81.5,2779.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631.6666666666667,0.0,44.0,0.0,0.0,19.0,0.0,0.0,0.0,420.0,0.0,0.0,455.0,0.0,0.0,0.0,0.0,889.0
1764,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,19.5,130.5,2814.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,883.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,632.6666666666666,43.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
1765,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,98.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,962.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
1766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,0.0,1414.6666666666667,86.33333333333333,23.0,0.0,0.0,0.0,0.0,0.0,0.0,360.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
1768,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,112.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,988.75,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,218.75,0.0,3.0,14.0,0.0,0.0,0.0,10.0,845.0
1769,0.0,100.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,289.3333333333333,38.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2150.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.3333333333333,0.0,1.5,371.0,0.0,0.0,0.0,54.0,114.0
1771,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,370.0,3647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0
sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,1178.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.36842105263158,6804.428571428572,0.0,0.0,0.0,0.0,15.666666666666666,0.0,2.0,0.0,0.0,1.0,349.962962962963,0.0,161.0,0.0,0.0,0.0,0.0,6.5,0.0,136.8421052631579,12.75,0.0,74.0,43.0,0.0,0.0,0.0,244.75
