Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadaloupe,Jamaica,Montserrat,St. Christophers,Ste. Cruz,WI,,New Providence,Bermuda,Boston,Louisbourg,New York,North Carolina,Nova Scotia,Perth Amboy,Philadelphia,Piscataway,Rhode Island,Wilmington,NA,,London,Bristol,Liverpool,GB,,Belfast,Cork,IRE,,Bordeaux,NEU,,Gibraltar,Madeira,Teneriff,SEU,,TOTAL,
,,1763,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine board,feet,10.912,,0.0005,173,0.003153757,,,,,,,,0,0,2000,,,,,,,,,,,,2000,6,,,,0,0,,,0,0,,0,0,,,,0,0,2000,6
Pine plank,feet,10.912,,0.0005,173,0.003153757,,12000,,,,,,12000,38,,8700,,,,,,,6000,,,,14700,46,,,2000,2000,6,,,0,0,,0,0,,,,0,0,28700,90
Planks,,10.912,,0.005,173,0.031537572,,,,,,,,0,0,,,100,,,,,,,,,,100,3,,,,0,0,,,0,0,,0,0,,,,0,0,100,3
Poles (hoop),,,,,173,0,,342,,,,,,342,0,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,342,0
Poplar timber,feet,10.912,,0.0005,173,0.003153757,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,0,0,,33,33,0,,0,0,,,,0,0,33,0
Pork,barrels,86.95,,0.05,173,2.51300578,,40,,,,6,,46,116,,9,,,,,10,,,,,,19,48,,,,0,0,,,0,0,,0,0,,,,0,0,65,164
Rum,hhds,3.02,,5.25,173,9.164739884,,,,,,,,0,0,,,,,,8,,,,,,,8,73,,,,0,0,,,0,0,,0,0,,,,0,0,8,73
Rye,bushels,3.75,,0.05,173,0.108381503,,,,,,,,0,0,,,,,,,8,,,,,,8,1,,,,0,0,,,0,0,,0,0,,,,0,0,8,1
Salt,bushels,1.7,,0.05,173,0.049132948,,,,,,,,0,0,,,,,,268,,,,,,,268,13,,,,0,0,,,0,0,,0,0,,,,0,0,268,13
Scantling,feet,10.912,,0.0005,173,0.003153757,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,0,0,,2000,2000,6,,0,0,,,,0,0,2000,6
Shingles,,,,,173,0,,22595,,14500,,14500,8000,59595,0,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,59595,0
Shingles (cypress),,,,,173,0,,11000,,,,,,11000,0,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,11000,0
Ship bread,casks,17.82,,0.089285714,173,0.919694467,,139,,,,,,139,128,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,139,128
Staves,,6.82,,0.001,173,0.003942197,,8678,,23134,,11000,1800,44612,176,,,3300,,,,,,,,,,3300,13,132200,8500,15940,156640,618,,104800,104800,413,,0,0,,5700,33500,39200,155,348552,1375
