Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Curacoa,Dominica,Granada,Grenadoes,St. Kitts,WI,,New Providence,Boston,Carolina,Halifax NS,Newbury,North Carolina,Philadelphia,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,Leith,GB,,Belfast,Cork,Dublin,Londonderry,Sligoe,IRE,,Alicant,Barcelona,Cadiz,Genoa,Lisbon,Madeira,Marseilles,Rouse Spain,SEU,,TOTAL,
,,1767,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine board,feet,11.296,,0.0005,166.02,0.003402,,,,,,,105,105,0,,,,,,,,,0,0,,,,,,,0,0,,,,,105,105,0,,,,,,,,,0,0,210,0
Pine plank,feet,11.296,,0.0005,166.02,0.003402,,2000,,,,,,2000,7,,,,,,,,,0,0,,,,,,2321,2321,8,,,,,,0,0,,3000,,,,,,,3000,10,7321,25
Plank,feet,11.296,,0.0005,166.02,0.003402,6000,,,,5000,,,11000,37,,,,,,,,,0,0,4503,,,,,,4503,15,,2300,,6817,,9117,31,,,2000,,,,,,2000,7,26620,90
Pork,barrels,71.76,,0.05,166.02,2.161185399,,9,,,,,,9,19,50,,,,,,,,50,108,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,59,127
Rough cotton,pounds,1.93,,0.05,166.02,0.058125527,,,,,,,,0,0,,,,,,,,,0,0,800,,,,,,800,47,,,,,,0,0,,,,,,,,,0,0,800,47
Rum,hhds,3,,5.25,166.02,9.486808818,,,,,,,,0,0,,,,,,8,,,8,76,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,8,76
Rum,barrels,3,,1.45,166.02,2.620166245,,,,,,,,0,0,,,,,,10,,,10,26,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,10,26
Rye,bushels,2.93,,0.05,166.02,0.08824238,,,,,,,,0,0,,,,,300,,,,300,26,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,300,26
Salt,bushels,1.7,,0.05,166.02,0.051198651,,,,,,,,0,0,,,,,,250,,,250,13,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,250,13
Shingles,,,,,166.02,0,10000,6100,33400,,30000,12000,11000,102500,0,,,,,,,,,0,0,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,102500,0
Ship bread,pounds,16.8,,0.000446429,166.02,0.004517528,800,,,,,,,800,4,,,,,,,,,0,0,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,800,4
Staves and heading,,7.06,,0.001,166.02,0.0042525,12100,46216,5200,3100,15000,,10000,91616,390,,7870,,1000,,,2000,,10870,46,263861,44814,,,17000,17520,343195,1459,6904,109700,,12000,10000,138604,589,,5530,121860,5660,31754,10518,,8000,183322,780,767607,3264
Sugar,barrels,49.43,,0.15,166.02,4.466028189,,,,,,,,0,0,,,,,,2,,,2,9,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,2,9
Sweet wood bark,pounds,,,,166.02,0,,,,,,,,0,0,,,,,,,,,0,0,120,,,,,,120,0,,,,,,0,0,,,,,,,,,0,0,120,0
Tar,barrels,11.69,,0.05,166.02,0.352066016,,22,,,,,,22,8,,100,,,,,,,100,35,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,122,43
Tobacco,hhds,21.89,,0.5715,166.02,7.535318034,4,,,,,,,4,30,,,,,,,,,0,0,4820,1031,,,400,,6251,47103,,,,,,0,0,,,,,,,,,0,0,6255,47133
Turpentine,barrels,18.97,,0.05,166.02,0.571316709,,18,,,,,,18,10,,,,,,,,,0,0,,,,,,,0,0,,,,,,0,0,,,,,,,,,0,0,18,10
Walnut logs,,,,,166.02,0,,,,,,,,0,0,,,,,,,,,0,0,,,,,,9,9,0,,74,,,,74,0,,,,,,,,,0,0,83,0
Walnut plank,feet,11.296,,0.0005,166.02,0.003402,,,,,,,,0,0,,,,,,,,,0,0,300,,,,,,300,1,,,,,,0,0,,,,,,,,,0,0,300,1
Wheat,bushels,6.25,,0.05,166.02,0.188230334,,,,,,,,0,0,,900,,,,,2500,20,3420,644,,7857,2680,3500,7000,,21037,3960,,10600,4228,,,14828,2791,19848,33988,22519,13500,1808,10577,8241,3900,114381,21530,153666,28925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,9718,,,,,,,,,,5317,,,,,,,,57183,,,,,,,7164,,,,,,,,,,27031,,106413
