Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,Halifax,New London,New York,North Carolina,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Bideford,Bristol,Falmouth,Liverpool,Southampton,Whitehaven,Glasgow,GB,,Cork,IRE,,Lisbon,Madeira,SEU,,TOTAL,
,,1758,,,,Sterling,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.94,,0.05,159,0.061006289,230,30,,45,305,19,,190,,,40,,,,,,230,14,,,,,,,,,0,0,,0,0,,,0,0,535,33
Beeswax,barrels,,,,159,0,,,,,0,0,,,,,1,,,,,,1,0,,,,,,,,,0,0,,0,0,,,0,0,1,0
Bread,kegs,21.84,,0.044642857,159,0.613207547,,,,,0,0,,,,,10,,,,,,10,6,,,,,,,,,0,0,,0,0,,,0,0,10,6
Bread,hhds,21.84,,0.178571429,159,2.452830189,,16,,,16,39,,4,,,,,,,,,4,10,,,,,,,,,0,0,,0,0,,,0,0,20,49
Bread,bags,21.84,,0.044642857,159,0.613207547,,,,,0,0,30,,,,,,,,,,30,18,,,,,,,,,0,0,,0,0,,,0,0,30,18
Bread,barrels,21.84,,0.089285714,159,1.226415094,114,885,,73,1072,1315,46,20,94,,148,,,,,,308,378,,18,107,,160,,,,285,350,,0,0,434,,434,532,2099,2575
Bread,tierces,21.84,,0.11875,159,1.631132075,,3,,,3,5,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,0,0,3,5
Bread and flour,barrels,12.27,,0.089285714,159,0.689016173,303,,,,303,209,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,0,0,303,209
Corn,bushels,1.94,,0.05,159,0.061006289,725,,,,725,44,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,0,0,725,44
Flaxseed,hhds,5.58,,,159,0,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,397,397,0,,,0,0,0,0
Flour,barrels,12.27,,0.089285714,159,0.689016173,1092,2480,,580,4152,2861,125,48,391,,270,,,44,,,878,605,,100,205,25,142,,,,472,325,,0,0,800,,800,551,6302,4342
Gammons,barrels,59.49,,0.05,159,1.870754717,,3,,,3,6,,,,,,,,2,,,2,4,,,,,,,,,0,0,,0,0,,,0,0,5,10
Ham,boxes,59.49,,,159,0,9,,,,9,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,0,0,9,0
Ham,barrels,59.49,,0.05,159,1.870754717,2,,,,2,4,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,0,0,2,4
Hemp,pounds,6,,0.004166667,159,0.01572327,,,,,0,0,,,,,,,1800,,,,1800,28,,,,,,,,,0,0,,0,0,,,0,0,1800,28
Hickory wood,cords,,,,159,0,,,,,0,0,,,,,,,22,,,,22,0,,,,,,,,,0,0,,0,0,,,0,0,22,0
Inch boards,,8.96,,0.005,159,0.028176101,,,,,0,0,,,,,,,,,,,0,0,,,6,,,,,,6,0,,0,0,,,0,0,6,0
Indian corn,bushels,1.94,,0.05,159,0.061006289,549,11428.5,,850,12827.5,783,2900,2000,,,6000,,,2500,1200,,14600,891,,,,,,,,,0,0,,0,0,,,0,0,27427.5,1674
Iron,tons,7.67,,1,159,4.823899371,,3,,,3,14,,,,,,3,10,,,,13,63,506.5,,117,,,,15,,638.5,3080,,0,0,,,0,0,654.5,3157
Mahogany plank,feet,8.96,,0.0005,159,0.00281761,,,,,0,0,,,,,,,,,,,0,0,,,,,,,400,,400,1,,0,0,,,0,0,400,1
Peas,barrels,1.94,,0.175,159,0.213522013,,2,,,2,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,0,0,2,0
Peas,bushels,1.94,,0.05,159,0.061006289,,,,,0,0,,,,,,,,20,,,20,1,,,,,,,,,0,0,,0,0,,,0,0,20,1
Pine board,feet,8.96,,0.0005,159,0.00281761,,,,,0,0,,,,,,,,,,,0,0,,800,,,,,,,800,2,,0,0,,,0,0,800,2
Pine boards,,8.96,,0.005,159,0.028176101,,,,,0,0,,,,,,,,,,,0,0,,,63,,,,,,63,2,,0,0,,,0,0,63,2
Pine plank,feet,8.96,,0.0005,159,0.00281761,800,,,,800,2,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,0,0,800,2
Pork,barrels,59.49,,0.05,159,1.870754717,12,10,,6,28,52,6,,140,,20,,,,,,166,311,,,,,,,,,0,0,,0,0,,,0,0,194,363
Rye,bushels,1.94,,0.05,159,0.061006289,,,,,0,0,,,,,,,,400,,,400,24,,,,,,,,,0,0,,0,0,,,0,0,400,24
Shingles,,,,,159,0,2000,,,,2000,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,0,0,2000,0
Shingles (cypress),,,,,159,0,6600,10000,,,16600,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,0,0,16600,0
Ship bread,hhds,13.98,,,159,0,,,,,0,0,,,7,,,,,,,,7,0,,,,,,,,,0,0,,0,0,,,0,0,7,0
Staves and heading,,5.6,,0.001,159,0.003522013,11405,24060,,1700,37165,131,2000,2000,2000,,500,,2800,1500,,,10800,38,153442,5000,33228,7600,1500,,5800,10000,216570,763,6800,6800,24,2000,30000,32000,113,296535,1045
Timber logs,,,,,159,0,,,,,0,0,,,,,,,,,,,0,0,,,1,,,,,,1,0,,0,0,,,0,0,1,0
Tobacco,hhds,18.33,,0.4965,159,5.723801887,12,14,,,26,149,,,,,4,,,,,,4,23,5331,122,1039,166,,,226,320,7204,41234,,0,0,,,0,0,7234,41406
Walnut plank,feet,8.96,,0.005,159,0.028176101,,,,,0,0,,,,,,,,,,,0,0,300,,,,,,,,300,8,,0,0,,,0,0,300,8
Wheat,bushels,3.89,,0.05,159,0.122327044,,,,,0,0,,2000,,,86605,,,900,1400,,90905,11120,,,,,6779,,,,6779,829,,0,0,,,0,0,97684,11949
White beans,bushels,1.94,,0.05,159,0.061006289,,,,,0,0,,300,,,,,,,,,300,18,,,,,,,,,0,0,,0,0,,,0,0,300,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,5633,,,,,,,,,,,,13552,,,,,,,,,,46594,,,24,,,,1196,,66975
