Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Surinam,WI,,Bermuda,Boston,North Carolina,Rhode Island,NA,,Aberdeen,Bideford,Bristol,Glasgow,London,GB,,Londonderry,IRE,,Lisbon,Madeira,SEU,,TOTAL,
,,1751,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,48.44,,0.05,169.86,1.425880137,,,10,10,14,,,,,0,0,,,,,,0,0,,0,0,,,0,0,10,14
Bread,barrels,22.37,,0.089285714,169.86,1.175863316,186,242,,428,503,,15,,42,57,67,,,,,,0,0,,0,0,,,0,0,485,570
Bread,casks,22.37,,,169.86,0,,4,,4,0,,,,,0,0,,,,,,0,0,,0,0,,,0,0,4,0
Bread,M weight,22.37,,0.446428571,169.86,5.87931658,,,3,3,18,,,,,0,0,,,,,,0,0,,0,0,,,0,0,3,18
Bread,weight,22.37,,0.000446429,169.86,0.005879317,,,,0,0,,,,400,400,2,,,,,,0,0,,0,0,,,0,0,400,2
Brown sugar,barrels,47.04,,0.15,169.86,4.154009184,,,,0,0,,,,1.5,1.5,6,,,,,,0,0,,0,0,,,0,0,1.5,6
Corn,bushels,2.79,,0.05,169.86,0.082126457,960,9920,,10880,894,400,,,,400,33,,,,,,0,0,,0,0,,,0,0,11280,927
Flaxseed,hhds,7.81,,,169.86,0,,,,0,0,,,,,0,0,,,,,,0,0,353,353,0,,,0,0,353,0
Flour,barrels,13.1,,0.089285714,169.86,0.688592286,853,2049,300,3202,2205,260,89,31,100,480,331,,,,,,0,0,2,2,1,,,0,0,3684,2537
Fyall wine,pipes,30.07,,1,169.86,17.70281408,,,17,17,301,,,,,0,0,,,,,,0,0,,0,0,,,0,0,17,301
Heading,,4.66,,0.001,169.86,0.002743436,,3933,,3933,11,,,,,0,0,,,,,,0,0,,0,0,,,0,0,3933,11
Heading,M,4.66,,1,169.86,2.743435771,,2,,2,5,,,,,0,0,,,,,,0,0,,0,0,,,0,0,2,5
Heading (hhds),,4.66,,0.001,169.86,0.002743436,,2500,,2500,7,,,,,0,0,,,,,,0,0,,0,0,,,0,0,2500,7
Heading,pieces,4.66,,0.001,169.86,0.002743436,,700,,700,2,,,,,0,0,,,,,,0,0,,0,0,,,0,0,700,2
Hoops,,,,,169.86,0,,6000,,6000,0,,,,,0,0,,,,,,0,0,,0,0,,,0,0,6000,0
Hoops,bundles,,,,169.86,0,,14,,14,0,,,,,0,0,,,,,,0,0,,0,0,,,0,0,14,0
Hoops,M,,,,169.86,0,,,3,3,0,,,,,0,0,,,,,,0,0,,0,0,,,0,0,3,0
Inch oak plank,feet,7.456,,0.0005,169.86,0.002194749,,,,0,0,,,,,0,0,,,,330,,330,1,,0,0,,,0,0,330,1
Inch pine plank,feet,7.456,,0.0005,169.86,0.002194749,,,,0,0,,,,,0,0,,,1227,,,1227,3,,0,0,,,0,0,1227,3
Inch plank,pieces,7.456,,0.005,169.86,0.021947486,,1247,,1247,27,,,,,0,0,,,,,,0,0,,0,0,,,0,0,1247,27
Iron,tons,8.34,,1,169.86,4.909925821,,2,,2,10,22,,1,6.5,29.5,145,,42,13,35,556.5,646.5,3174,,0,0,,,0,0,678,3329
Lumber,feet,7.456,,0.0005,169.86,0.002194749,,,900,900,2,,,,,0,0,,,,,,0,0,,0,0,,,0,0,900,2
Pig iron,tons,8.34,,1,169.86,4.909925821,,,,0,0,,,,,0,0,,,,,30,30,147,,0,0,,,0,0,30,147
Plank,feet,7.456,,0.0005,169.86,0.002194749,,4657,4000,8657,19,,,,,0,0,,160,330,,400,890,2,,0,0,,,0,0,9547,21
