Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Granada,Hispaniola,Jamaica,Montserrat,St. Christophers,WI,,Boston,Charles Town,New York,Newfoundland,Newport,Pensacola,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Bideford,Bristol,Glasgow,GB,,Cork,Londonderry,IRE,,Alicant,Barcelona,Cadiz,Genoa,Leghorn,Lisbon,SEU,,TOTAL,
,,1766,,,,Sterling,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,3.29,,0.05,162.96,0.100945017,,,,,,,,,0,0,,,,,,,,,6,,6,1,,,,,0,0,,,0,0,,112,200,,,210,522,53,528,54
Beef,barrels,55.21,,0.05,162.96,1.693973981,,,,,,,,,0,0,,,,,,20,,,4,,24,41,,,,,0,0,,,0,0,,,,,,,0,0,24,41
Boat boards,,10.496,,0.005,162.96,0.032204222,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,0,845,,845,27,,,,,,,0,0,845,27
Bread,pounds,24.54,,0.000446429,162.96,0.006722728,,,,,,,,,0,0,,,,66440,,,,,,,66440,447,,,,,0,0,,,0,0,,,,,,,0,0,66440,447
Bread,barrels,24.54,,0.089285714,162.96,1.34454555,227,569,100,167,,11,,100,1174,1578,126,67,4,237,53,,,136,1,98,722,971,,,,,0,0,,53,53,71,,406,,,30,70,506,680,2455,3300
Bread,kegs,24.54,,0.044642857,162.96,0.672272775,45,139,,,,,,,184,124,,22,,,,,,,,,22,15,,,,,0,0,,,0,0,,,,,,,0,0,206,139
Bread,tierces,24.54,,0.11875,162.96,1.788245582,,,,,,20,,13,33,59,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,,0,0,33,59
Corn,bushels,3.29,,0.05,162.96,0.100945017,8517,8729,,,,,,850,18096,1827,30,,1800,,,,3000,80,10,650,5570,562,,,,,0,0,,5200,5200,525,,,8580,,,,8580,866,37446,3780
Flaxseed,hhds,5.17,,,162.96,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,0,531,779.5,1310.5,0,,,,,,,0,0,1310.5,0
Flour,barrels,14.81,,0.089285714,162.96,0.811439266,987,1651,150,505,,138,200,734,4365,3542,1918,2443,16,188,292,178,,483,,185,5703,4628,,,,,0,0,629,409,1038,842,200,50,519,35,370,1662,2836,2301,13942,11313
Furs,trunks,,,,162.96,0,,,,,,,,,0,0,,,,,,,,,,,0,0,1,,,,1,0,,,0,0,,,,,,,0,0,1,0
Hoops,,,,,162.96,0,,6000,,,,,,,6000,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,,0,0,6000,0
Indian corn,bushels,3.29,,0.05,162.96,0.100945017,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,11020,11020,1112,11020,1112
Indigo,casks,,,,162.96,0,,,,,,,,,0,0,,,,,,,,1,,,1,0,,,,,0,0,,,0,0,,,,,,,0,0,1,0
Iron,tons,8.59,,1,162.96,5.271232204,3.5,5,,,2,,,1,11.5,61,16,2.5,,,15,,,,,8,41.5,219,363,20,44,25,452,2383,,6.5,6.5,34,,,,,,,0,0,511.5,2697
Madeira,pipes,48.92,,1,162.96,30.01963672,,,,,,,,,0,0,,14.75,,,,,,,,,14.75,443,,,,,0,0,,,0,0,,,,,,,0,0,14.75,443
Negroes,,34.74,,1,100,34.74,,,,,,,1,,1,35,,,,,,,,9,,,9,313,,,,,0,0,,,0,0,,,,,,,0,0,10,348
Pine plank,feet,10.496,,0.0005,162.96,0.003220422,,,,24000,,10000,,,34000,109,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,,0,0,34000,109
Pine planks,,10.496,,0.005,162.96,0.032204222,,,,,,,,,0,0,,,,,,,,,,,0,0,,,46,,46,1,,,0,0,,,,,,,0,0,46,1
