Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,St. Christophers,St. Eustatia,WI,,Boston,Philadelphia,Piscataqua,Salem,NA,,London,Glasgow,GB,,Dublin,IRE,,Senegal,AFR,,TOTAL,
,,1771,,,,Sterling,,,,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,165.69,0,,,,,,0,0,,,1000,1908,2908,0,,,0,0,,0,0,,0,0,2908,0
Chocolate,pounds,,,,165.69,0,,,,,,0,0,200,,448,250,898,0,,,0,0,,0,0,,0,0,898,0
Coffee,pounds,,,,165.69,0,,,,,,0,0,,150,,,150,0,,,0,0,,0,0,,0,0,150,0
Convicts,,13.96,,1,100,13.96,,,,,,0,0,,,,,0,0,,12,12,168,,0,0,,0,0,12,168
Loaf sugar,pounds,0.97,,0.05,165.69,0.029271531,,2400,,,,2400,70,,,,538,538,16,,,0,0,,0,0,,0,0,2938,86
Molasses,gallons,1.77,,0.05,165.69,0.053413,,,,,87,87,5,1111,547,1800,2891,6349,339,,,0,0,,0,0,,0,0,6436,344
Negroes,,38.39,,1,100,38.39,,,,,,0,0,,,,,0,0,,,0,0,,0,0,104,104,3993,104,3993
Pieces of eight,,0.23,,1,100,0.23,,,,,,0,0,,,,100,100,23,,,0,0,,0,0,,0,0,100,23
Rum,gallons,3.35,,0.05,165.69,0.101092401,500,9400,2300,2800,,15000,1516,1300,300,1990,2600,6190,626,100,,100,10,,0,0,,0,0,21290,2152
Salt,bushels,1.6,,0.05,165.69,0.048282938,,,,,,0,0,,,140,292,432,21,,,0,0,,0,0,,0,0,432,21
Servants,,13.96,,1,100,13.96,,,,,,0,0,,,,,0,0,7,14,21,293,73,73,1019,,0,0,94,1312
Sugar,pounds,50.86,,0.000446429,165.69,0.013703517,10000,7800,,1700,850,20350,279,1344,1427,1344,1048,5163,71,,,0,0,,0,0,,0,0,25513,350
Wheat,bushels,6.78,,0.05,165.69,0.20459895,,,,,,0,0,,,,150,150,31,,,0,0,,0,0,,0,0,150,31
Wine,quarter casks,50,,0.25,165.69,7.544209065,,,,,,0,0,,1,,,1,8,,,0,0,,0,0,,0,0,1,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,1870,,,,,,1135,,,,471,,,1019,,,3993,,8488
