Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,Rhode Island,NA,,Liverpool,Whitehaven,GB,,Belfast,Dublin,Londonderry,IRE,,TOTAL,
,,1746,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,179.86,0,,0,0,2100,3900,6000,0,,,0,0,,,,0,0,6000,0
Chocolate,boxes,,,,179.86,0,,0,0,,1,1,0,,,0,0,,,,0,0,1,0
Coffee,bags,,,,179.86,0,,0,0,,1,1,0,,,0,0,,,,0,0,1,0
Indigo,pounds,6.6,,0.05,179.86,0.183476037,,0,0,9,,9,2,,,0,0,,,,0,0,9,2
Molasses,gallons,2.5,,0.05,179.86,0.069498499,1170,1170,81,1700,1300,3000,208,,,0,0,,,,0,0,4170,289
Negroes,,31.04,,1,100,31.04,18,18,559,,,0,0,,,0,0,,,,0,0,18,559
Pepper,pounds,,,,179.86,0,,0,0,40,,40,0,,,0,0,,,,0,0,40,0
Pimento,bags,,,,179.86,0,,0,0,,1,1,0,,,0,0,,,,0,0,1,0
Rice,tierces,6.99,,,179.86,0,,0,0,,1,1,0,,,0,0,,,,0,0,1,0
Rum,gallons,3.03,,0.05,179.86,0.084232181,7320,7320,617,2530,2615,5145,433,,,0,0,,,,0,0,12465,1050
Salt,barrels,3.755,,,179.86,0,,0,0,,5,5,0,,,0,0,,,,0,0,5,0
Salt,tons,3.755,,,179.86,0,,0,0,,,0,0,,5,5,0,,,,0,0,5,0
Salt,bushels,3.755,,0.05,179.86,0.104386745,3000,3000,313,,,0,0,5800,,5800,605,7580,,2400,9980,1042,18780,1960
Servants,,11.28727273,,1,100,11.28727273,,0,0,,,0,0,,,0,0,40,22,30,92,1038,92,1038
Spirits,barrels,3.03,,0.05,179.86,0.084232181,,0,0,1,,1,0,,,0,0,,,,0,0,1,0
Sugar,pounds,47.15,,0.000446429,179.86,0.011703051,5894,5894,69,4200,2400,6600,77,,,0,0,,,,0,0,12494,146
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,1639,,,,720,,,,605,,,,,2080,,5044
