Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Boston,North Carolina,Rhode Island,Salem,NA,,Liverpool,Whitehaven,GB,,Dublin,Limerick,IRE,,TOTAL,
,,1745,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,174.77,0,,0,0,990,,1000,,1990,0,,,0,0,,,0,0,1990,0
Chocolate,pounds,,,,174.77,0,,0,0,30,,120,,150,0,,,0,0,,,0,0,150,0
Coffee,pounds,,,,174.77,0,,0,0,,,10,,10,0,,,0,0,,,0,0,10,0
Coffee,bags,,,,174.77,0,,0,0,,,1,,1,0,,,0,0,,,0,0,1,0
Ginger,pounds,,,,174.77,0,,0,0,,,300,,300,0,,,0,0,,,0,0,300,0
Molasses,gallons,2.34,,0.05,174.77,0.066945128,1078,1078,72,1350,,1692,300,3342,224,,,0,0,,,0,0,4420,296
Pitch,barrels,13.5,,0.05,174.77,0.386221892,,0,0,,8,,,8,3,,,0,0,,,0,0,8,3
Rice,barrels,10,,,174.77,0,,0,0,,,1,,1,0,,,0,0,,,0,0,1,0
Rum,gallons,3.25,,0.05,174.77,0.092979344,4349,4349,404,4804,,4000,400,9204,856,,,0,0,,,0,0,13553,1260
Salt,tons,2.64,,,174.77,0,,0,0,,,,,0,0,,,0,0,5,,5,0,5,0
Salt,bushels,2.64,,0.05,174.77,0.075527837,,0,0,30,,120,150,300,23,9242,,9242,698,,,0,0,9542,721
Servants,,11.28727273,,1,100,11.28727273,,0,0,,,,,0,0,,60,60,677,,23,23,260,83,937
Spirits,gallons,3.25,,0.05,174.77,0.092979344,,0,0,,,,,0,0,300,,300,28,,,0,0,300,28
Sugar,pounds,43.02,,0.000446429,174.77,0.010988932,7500,7500,82,2800,,2200,,5000,55,,,0,0,,,0,0,12500,137
Tar,barrels,10.38,,0.05,174.77,0.296961721,,0,0,,60,7,,67,20,,,0,0,,,0,0,67,20
Wine,gallons,27.5,,0.007936508,174.77,0.124880682,,0,0,,,1000,,1000,125,,,0,0,,,0,0,1000,125
Wrought iron,pounds,24.5,,0.000446429,174.77,0.006258225,,0,0,,,144,,144,1,,,0,0,,,0,0,144,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,558,,,,,,1307,,,,1403,,,,260,,3528
