Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Montserrat,WI,,Turks Island,Bermuda,Beaufort NC,Boston,Falmouth,Halifax,Piscataqua,Salem,NA,,Liverpool,GB,,Senegal,AFR,,TOTAL,
,,1763,,,,Sterling,,,,,Quantity,Value,,,,,,,,,Quantitiy,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,173,0,,,,,0,0,,,,600,,,,984,1584,0,,0,0,,0,0,1584,0
Chocolate,pounds,,,,173,0,,,,,0,0,,,,150,,,,200,350,0,,0,0,,0,0,350,0
Coffee,pounds,,,,173,0,,,,,0,0,,336,,200,,,,,536,0,,0,0,,0,0,536,0
Convicts,,12.55272727,,1,100,12.55272727,,,,,0,0,,,,,,,,,0,0,10,10,126,,0,0,10,126
Loaf sugar,pounds,1.04,,0.05,173,0.030057803,,,,,0,0,,,,798,,,,1340,2138,64,,0,0,,0,0,2138,64
Maryland currency,pounds,1,,1,167.24,0.597943076,,,,,0,0,,,,,300,,,20,320,191,,0,0,,0,0,320,191
Molasses,gallons,1.99,,0.05,173,0.057514451,,,,,0,0,,300,,1760,90,,240,1400,3790,218,,0,0,,0,0,3790,218
Negroes,,34.74,,1,100,34.74,,,,,0,0,,,,,,,,,0,0,,0,0,5,5,174,5,174
Plank,feet,10.912,,0.0005,173,0.003153757,,,1000,,1000,3,,,,,,,,,0,0,,0,0,,0,0,1000,3
Rum,gallons,3.72,,0.05,173,0.107514451,2260,3150,320,432,6162,663,,530,,1436,100,100,400,2660,5226,562,,0,0,,0,0,11388,1225
Salt,hhds,2.21,,0.35,173,0.447109827,,,,,0,0,,,,,,,,,0,0,,0,0,5,5,2,5,2
Salt,bushels,2.21,,0.05,173,0.063872832,2215,,,700,2915,186,2000,800,,163.5,,,150,396.5,3510,224,10000,10000,639,,0,0,16425,1049
Servants,,12.63272727,,1,100,12.63272727,,,,,0,0,,,,,,,,,0,0,1,1,13,,0,0,1,13
Spirit turpentine,barrels,,,,173,0,,,,,0,0,,,2,,,,,,2,0,,0,0,,0,0,2,0
Sugar,pounds,49.79,,0.000446429,173,0.012848369,800,2600,1258,,4658,60,13147,1500,,2650,1500,,800,2250,21847,281,,0,0,,0,0,26505,341
Tar,barrels,12.3,,0.05,173,0.355491329,,,,,0,0,,,51,,,,,,51,18,,0,0,,0,0,51,18
Turpentine,barrels,13.56,,0.05,173,0.391907514,,,,,0,0,,,41,,,,,,41,16,,0,0,,0,0,41,16
Wine,casks,49.34,,0.25,173,7.130057803,20,,,,20,143,,,,,,,,,0,0,,0,0,,0,0,20,143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,1055,,,,,,,,,,1574,,,778,,,176,,3583
