Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Nevis,St. Christophers,WI,,Turks Island,Boston,Lewis,Newport,Philadelphia,Salem,NA,,Cork,IRE,,Madeira,SEU,,TOTAL,
,,1764,,,,Sterling,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,172.86,0,,,,,0,0,,2530,,,,448,2978,0,,0,0,,0,0,2978,0
Chocolate,pounds,,,,172.86,0,,,,,0,0,,560,,,,,560,0,,0,0,,0,0,560,0
Coffee,pounds,,,,172.86,0,,1008,,,1008,0,,,,,,,0,0,,0,0,,0,0,1008,0
Cotton,pounds,1.87,,0.05,172.86,0.054090015,,70,,,70,4,,900,,,,,900,49,,0,0,,0,0,970,53
Flour,barrels,12.81,,0.089285714,172.86,0.661662617,,,,,0,0,,,,,40,,40,26,,0,0,,0,0,40,26
Hoops,,,,,172.86,0,,,,,0,0,,1000,,,,,1000,0,,0,0,,0,0,1000,0
Molasses,gallons,1.63,,0.05,172.86,0.047147981,,180,,,180,8,,5000,,213,,1071,6284,296,,0,0,,0,0,6464,304
Plank,feet,8.64,,0.0005,172.86,0.002499132,,,,,0,0,,1000,,,,,1000,2,,0,0,,0,0,1000,2
Potatoes,barrels,,,,172.86,0,,,,,0,0,,,,,,1,1,0,,0,0,,0,0,1,0
Rum,gallons,3.26,,0.05,172.86,0.094295962,360,18010,500,1080,19950,1881,,4016.75,,607,,,4623.75,436,,0,0,,0,0,24573.75,2317
Rum,barrels,3.26,,1.45,172.86,2.734582899,,,,,0,0,,,,,,1038,1038,2838,,0,0,,0,0,1038,2838
Salt,bushels,1.92,,0.05,172.86,0.055536272,,,1000,,1000,56,1500,330,12000,,,70,13900,772,,0,0,,0,0,14900,828
Servants,,12.63272727,,1,100,12.63272727,,,,,0,0,,,,,,,0,0,57,57,720,,0,0,57,720
Staves,,6.82,,0.001,172.86,0.003945389,,,,,0,0,,1000,,,,,1000,4,,0,0,,0,0,1000,4
Sugar,pounds,48.73,,0.000446429,172.86,0.012585019,1200,16196,10950,1000,29346,369,,5684,,197,,,5881,74,,0,0,,0,0,35227,443
Wine,pipes,50.56,,1,172.86,29.24910332,,,,,0,0,,1,,1,,,2,58,,0,0,16,16,468,18,526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,2318,,,,,,,,4555,,,720,,,468,,8061
