Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Hispaniola,St. Eustatia,St. Kitts,WI,,Salt Tortuga,Boston,Lewis DE,New York,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Glasgow,GB,,TOTAL,
,,1767,,,,Sterling,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,24.06,,1,166.02,14.49222985,,,,5,5,72,,,,,2,,,,2,29,,,0,0,7,101
Bar iron,cwt,24.06,,0.05,166.02,0.724611493,,,,18,18,13,,,,,,,,,0,0,,,0,0,18,13
Cheese,pounds,,,,166.02,0,,,,,0,0,,,,1120,,4240,224,,5584,0,,,0,0,5584,0
Chocolate,pounds,,,,166.02,0,,,,,0,0,,,,,112,,40,,152,0,,,0,0,152,0
Coffee,pounds,,,,166.02,0,,,,,0,0,,,,,436,,112,,548,0,,,0,0,548,0
Convicts,,12.62545455,,1,100,12.62545455,,,,,0,0,,,,,,,,,0,0,,2,2,25,2,25
Cotton,pounds,1.93,,0.05,166.02,0.058125527,,,,100,100,6,,,,,,,,,0,0,,,0,0,100,6
Loaf sugar,pounds,1.01,,0.05,166.02,0.030418022,,,,,0,0,,,,4368,,800,,,5168,157,,,0,0,5168,157
Molasses,gallons,1.74,,0.05,166.02,0.052403325,,4200,,,4200,220,,2000,,,90,1906,870,,4866,255,,,0,0,9066,475
Negroes,,34.74,,1,100,34.74,4,,,11,15,521,,,,,,,,,0,0,,,0,0,15,521
Pimento,pounds,,,,166.02,0,,,,,0,0,,,,,120,,,,120,0,,,0,0,120,0
Rum,gallons,3,,0.05,166.02,0.09035056,2550,,,,2550,230,,900,,2890,430,1515,675,,6410,579,,,0,0,8960,809
Rum,puncheons,3,,5.25,166.02,9.486808818,,,,,0,0,,,,,,,,,0,0,1,,1,9,1,9
Salt,bushels,1.7,,0.05,166.02,0.051198651,,,,,0,0,1300,,5000,,900,,118.5,,7318.5,375,,,0,0,7318.5,375
Servants,,12.63272727,,1,100,12.63272727,,,,,0,0,,,,,,,,,0,0,31,23,54,682,54,682
Sugar,pounds,49.43,,0.000446429,166.02,0.013291751,4319,,2750,20000,27069,360,,3770,,,3592,1400,2472,1000,12234,163,,,0,0,39303,523
Tar,barrels,11.69,,0.05,166.02,0.352066016,,,,,0,0,,,,46,,,,,46,16,,,0,0,46,16
Turpentine,barrels,18.97,,0.05,166.02,0.571316709,,,,,0,0,,,,20,,,,,20,11,,,0,0,20,11
Wine,barrels,50.97,,0.25,166.02,7.675280087,,,,40,40,307,,,,,,,,,0,0,,,0,0,40,307
Wine,gallons,50.97,,0.007936508,166.02,0.243659685,,,,,0,0,,,,,,,33,,33,8,,,0,0,33,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,1729,,,,,,,,,,1593,,,,716,,4038
