Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,New Hampshire,Perth Amboy,NA,,London,Bristol,Falmouth,Liverpool,Whitehaven,Ayr,Glasgow,GB,,Dublin,IRE,,Lisbon,Madeira,SEU,,TOTAL,
,,1740,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.5,,0.05,165.45,0.045330916,,,12,12,1,,85,20,,105,5,,,,,,,,0,0,,0,0,535,,535,24,652,30
Beef,barrels,35.63,,0.05,165.45,1.076760351,,42,,42,45,,20,,,20,22,,,,,,,,0,0,,0,0,,,0,0,62,67
Biscuits,pounds,10.31,,0.000446429,165.45,0.002781915,,1000,,1000,3,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,1000,3
Corn,bushels,1.5,,0.05,165.45,0.045330916,2130,1521,1161,4812,218,12779,13046,5500,425,31750,1439,,,,,,,,0,0,,0,0,,,0,0,36562,1657
Deer Skins,,,,,165.45,0,,,,0,0,,27,,,27,0,,,,,,,,0,0,,0,0,,,0,0,27,0
Deer Skins,bundles,,,,165.45,0,,,,0,0,,,,,0,0,,,,,,,1,1,0,,0,0,,,0,0,1,0
Flour,barrels,8.72,,0.089285714,165.45,0.470578077,6,,,6,3,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,6,3
Heading,pieces,3.34,,0.001,165.45,0.002018737,,1900,,1900,4,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,1900,4
Iron,tons,9.45,,1,165.45,5.711695376,,,,0,0,,,,,0,0,,91,,,,,,91,520,,0,0,,,0,0,91,520
Logs (walnut),,,,,165.45,0,,,,0,0,,,,,0,0,64,,,10,,,,74,0,,0,0,,,0,0,74,0
Peas,bushels,1.5,,0.05,165.45,0.045330916,215,33,10,258,12,995,,,,995,45,,,,,,,,0,0,,0,0,370,,370,17,1623,74
Peas/beans,bushels,0.5,,0.05,165.45,0.015110305,,,,0,0,,,,30,30,0,,,,,,,,0,0,,0,0,,,0,0,30,0
Plank,feet,5.344,,0.0005,165.45,0.001614989,,,,0,0,,2748,,,2748,4,2733,,,,,400,780,3913,6,,0,0,,,0,0,6661,10
Plank,pieces,5.344,,0.005,165.45,0.016149894,,,,0,0,1,,,,1,0,,,,,,,,0,0,,0,0,,,0,0,1,0
Planks,,5.344,,0.005,165.45,0.016149894,,,,0,0,,,,,0,0,,,,8,,,,8,0,,0,0,,,0,0,8,0
Pork,tierces,46.04,,0.0665,165.45,1.850504684,,,5,5,9,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,5,9
Pork,cwt,46.04,,0.028,165.45,0.779159867,,,,0,0,1,,,,1,1,,,,,,,,0,0,,0,0,,,0,0,1,1
Pork,pounds,46.04,,0.00025,165.45,0.006956785,,,,0,0,,,,21000,21000,146,,,,,,,,0,0,,0,0,,,0,0,21000,146
Pork,barrels,46.04,,0.05,165.45,1.391356905,118,934,97,1149,1599,402,128,80,20,630,877,,,,,,,,0,0,,0,0,20,10,30,42,1809,2518
Pork,hhds,46.04,,0.1,165.45,2.782713811,,6,,6,17,8,,,,8,22,,,,,,,,0,0,,0,0,,,0,0,14,39
Rum,barrels,2.53,,1.45,165.45,2.217286189,,,,0,0,,,,,0,0,2,,,,,,,2,4,,0,0,,,0,0,2,4
Shingles,,,,,165.45,0,2000,,,2000,0,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,2000,0
Skins,hhds,,,,165.45,0,,,,0,0,,,,,0,0,34,7,,,,,1,42,0,,0,0,,,0,0,42,0
Skins,bundles,,,,165.45,0,,,,0,0,,,,,0,0,,3,,,,,,3,0,,0,0,,,0,0,3,0
Skins,casks,,,,165.45,0,,,,0,0,,,,,0,0,,2,,,,,,2,0,,0,0,,,0,0,2,0
Skins,barrels,,,,165.45,0,,,,0,0,,,,,0,0,3,1,,,,,,4,0,,0,0,,,0,0,4,0
Staves,,3.34,,0.001,165.45,0.002018737,,,,0,0,,,,,0,0,60550,12700,14600,1040,9900,5000,45700,149490,302,,0,0,,,0,0,149490,302
Tar,barrels,10.88,,0.05,165.45,0.328800242,,,,0,0,,,,,0,0,127,,,,,,,127,42,,0,0,,,0,0,127,42
Tobacco,hhds,13.92,,0.462,165.45,3.886999093,,,,0,0,,,,,0,0,3110,862,417,82,461,159,1829,6920,26898,,0,0,,,0,0,6920,26898
Tobacco,barrels,13.92,,0.231,165.45,1.943499547,,,,0,0,,,,,0,0,,,,,13,,,13,25,,0,0,,,0,0,13,25
Wheat,bushels,3.25,,0.05,165.45,0.098216984,,,,0,0,,6183,800,50,7033,691,,,,,,,,0,0,5000,5000,491,2840,1300,4140,407,16173,1589
Wine,pipes,20.17,,1,165.45,12.19099426,,,,0,0,,,,1,1,12,2,,,,,,,2,24,,0,0,,,0,0,3,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1911,,,,,,3264,,,,,,,,,27821,,,491,,,,490,,33977
