Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,New York,Newcastle,Piscataway,Rhode Island,Salem,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Aberdeen,Glasgow,Greenock,Penryn,GB,,Cadiz,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1766,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,25.75,,1,162.96,15.80142366,,,0,0,,,,,,0,0,7,15,,,,,,,,,22,348,,,,0,0,,0,0,22,348
Beans,bushels,3.29,,0.05,162.96,0.100945017,,228,228,23,,,,,39,39,4,,,,,,,,,,,0,0,,,,0,0,,0,0,267,27
Beef,barrels,55.21,,0.05,162.96,1.693973981,,,0,0,,,,,,0,0,,,,,,,,,,,0,0,5,,,5,8,,0,0,5,8
Biscuits,tierces,15.44,,0.11875,162.96,1.12512273,,,0,0,,,,,,0,0,,,,,,,,,,,0,0,,1,,1,1,,0,0,1,1
Bread,hhds,24.54,,0.178571429,162.96,2.6890911,,,0,0,,,,,,0,0,,,,,,,,,,,0,0,3,,,3,8,,0,0,3,8
Bread,tierces,24.54,,0.11875,162.96,1.788245582,,117,117,209,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,117,209
Bread,barrels,24.54,,0.089285714,162.96,1.34454555,,,0,0,,,,44,,44,59,,,,,,,,,,,0,0,,,,0,0,,0,0,44,59
Bread,casks,24.54,,0.089285714,162.96,1.34454555,,,0,0,,,,,,0,0,,,,,,,,,,,0,0,,,11,11,15,,0,0,11,15
Corn,bushels,3.29,,0.05,162.96,0.100945017,936,12924,13860,1399,,,1600,189,4950,6739,680,,,,,,,,,,,0,0,15,1694,120,1829,185,,0,0,22428,2264
Cotton,bags,1.87,,6,162.96,6.885125184,,,0,0,,,,,,0,0,,,,,,,,26,2,,28,193,,,,0,0,,0,0,28,193
Flaxseed,hhds,5.17,,,162.96,0,,,0,0,,,,,,0,0,,,,,8,,,,,,8,0,,,,0,0,,0,0,8,0
Flour,barrels,14.81,,0.089285714,162.96,0.811439266,,65,65,53,,,,23,,23,19,,,,,,400,,380,,,780,633,,437,23,460,373,,0,0,1328,1078
Hams,,,,,162.96,0,100,,100,0,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,100,0
Handspikes,,,,,162.96,0,,,0,0,,,,,,0,0,133,48,,,372,24,,36,,,613,0,,,,0,0,,0,0,613,0
Hemp,bags,5.71,,,162.96,0,,,0,0,,,,,,0,0,,,,,,,,,1,,1,0,,,,0,0,,0,0,1,0
Hemp,tons,5.71,,9.333333333,162.96,32.70332188,,,0,0,,,,,,0,0,,,,,1.5,,,,,,1.5,49,,,,0,0,,0,0,1.5,49
Hemp,hhds,5.71,,,162.96,0,,,0,0,,,,,,0,0,,,,,,1,,,1,,2,0,,,,0,0,,0,0,2,0
Hemp,bundles,5.71,,,162.96,0,,,0,0,,,,,,0,0,,,,,,1,,,,,1,0,,,,0,0,,0,0,1,0
Hoops,,,,,162.96,0,,,0,0,,,,,,0,0,,,,,,,,1620,1250,,2870,0,,,,0,0,,0,0,2870,0
Indigo,boxes,,,,162.96,0,,,0,0,,,,,,0,0,,,,,,1,,2,,,3,0,,,,0,0,,0,0,3,0
Indigo,barrels,,,,162.96,0,,,0,0,,,,,,0,0,,,,,1,,,9,,,10,0,,,,0,0,,0,0,10,0
Indigo,casks,,,,162.96,0,,,0,0,,,,,,0,0,,,,,,3,,,1,,4,0,,,,0,0,,0,0,4,0
Iron,bars,8.59,,,162.96,0,,,0,0,,,,,,0,0,91,,,,,,,,,,91,0,,,,0,0,,0,0,91,0
Iron,pigs,8.59,,,162.96,0,,,0,0,,,,,,0,0,,,,,,,,680,,,680,0,,,,0,0,,0,0,680,0
