Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,Nantucket,New Haven,New York,Newport,Pensacola,Philadelphia,Piscataway,Rhode Island,Salem,NA,,London,Bristol,Falmouth,Liverpool,Whitehaven,Aberdeen,Glasgow,Greenock,GB,,Cadiz,Lisbon,Madeira,SEU,,TOTAL,
Rum,hhds,3.35,,5.25,165.69,10.61470215,,0,0,,2,,,3,,,,,3,8,85,,,,,,,8,,8,85,,,,0,0,16,170
Rye,bushels,3.5,,0.05,165.69,0.105618927,,0,0,,,,,,,,,,9,9,1,,,,,,,,,0,0,,,,0,0,9,1
Salt,bushels,1.6,,0.05,165.69,0.048282938,,0,0,,,,,,,,,,60,60,3,,,,,,,,,0,0,,,,0,0,60,3
Shingles,,,,,165.69,0,308900,308900,0,,,,,,,1360,,,,1360,0,,,,,,,,,0,0,,,,0,0,310260,0
Skins,bundles,,,,165.69,0,,0,0,,,,1,,,,,,,1,0,9,,,,,,,,9,0,,,,0,0,10,0
Skins,,,,,165.69,0,,0,0,,,,43,,,,,,,43,0,,,,,,,,,0,0,,,,0,0,43,0
Skins,hhds,,,,165.69,0,,0,0,,,,,,,,,,,0,0,84,4,,13,,,49,,150,0,,,,0,0,150,0
Staves,,6.77,,0.001,165.69,0.004085944,23288,23288,95,9000,,,,500,,300,,,,9800,40,165100,30000,,38166,40700,8000,298075,11500,591541,2417,7600,2000,,9600,39,634229,2591
Sugar,barrels,50.86,,0.15,165.69,4.604381677,,0,0,,,,,,,,,,4,4,18,,,,,,,1,,1,5,,,,0,0,5,23
Tar,barrels,12.41,,0.05,165.69,0.374494538,,0,0,,,,,,,,,,,0,0,,,,,166,,,,166,62,,,,0,0,166,62
Tobacco,hhds,32.5,,0.5385,165.69,10.56264711,22,22,232,,,,4,,,,2,,,6,63,6077,1356,,2671,417,293,11798,726,23338,246511,,,,0,0,23366,246806
Turpentine,barrels,14.31,,0.05,165.69,0.431830527,,0,0,,,,,,,,,,,0,0,,,,,,,48,,48,21,,,,0,0,48,21
Wax,barrels,,,,165.69,0,,0,0,,,,5,,,,,,,5,0,,,,,,,,,0,0,,,,0,0,5,0
Wax,hhds,,,,165.69,0,1,1,0,,,,,,,,,,,0,0,4,,,,,,,,4,0,,,,0,0,5,0
Wax,casks,,,,165.69,0,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,1,1,0,1,0
Wheat,bushels,6.78,,0.05,165.69,0.20459895,,0,0,2220,,1408,10043,955,,12946,,55,2647,30274,6194,,,,,,,,,0,0,26230,6700,1916,34846,7129,65120,13323
Wine,pipes,50,,1,165.69,30.17683626,,0,0,,,,,,,,,,,0,0,,,,,,,2,,2,60,,,,0,0,2,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,3131,,,,,,,,,,,,12528,,,,,,,,,,253214,,,,,10205,,279078
