Good,Unit,Price,Price,Conv,Exch,Price,Antigua,St. Christophers,WI,,New Providence,Bermuda,Nantucket,New York,Newport,Perth Amboy,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,Unknown,UNKN,,TOTAL,
,,1763,,,,Sterling,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,27,,1,173,15.60693642,,,0,0,,,0.5,,,,,,,,0.5,8,20,,,,,,,6.5,26.5,414,,0,0,27,422
Beans,bushels,3.75,,0.05,173,0.108381503,,,0,0,,,,,,,,,,10,10,1,,,,,,,,,0,0,,0,0,10,1
Beef,barrels,60.29,,0.05,173,1.742485549,,,0,0,31,6,,,,,,,,,37,64,,,,,,,,,0,0,,0,0,37,64
Bread,barrels,30.18,,0.089285714,173,1.557597027,,14,14,22,70,,,,,,,,,,70,109,,,,,,,,,0,0,,0,0,84,131
Corn,bushels,3.75,,0.05,173,0.108381503,800,1876.5,2676.5,290,200,4000,,2847,1220,,,17900,,16290,42457,4602,,,,,,,,,0,0,,0,0,45133.5,4892
Cotton,pounds,1.87,,0.05,173,0.054046243,,,0,0,,,,,,,,50,,,50,3,,,,,,,,,0,0,,0,0,50,3
Cotton,bags,1.87,,6,173,6.485549133,,,0,0,,,,,,,,,,,0,0,,,,,,,,25,25,162,,0,0,25,162
Flour,barrels,16.82,,0.089285714,173,0.868084228,,100,100,87,105,20,,,,,,68,,4,197,171,,,,,,,,,0,0,,0,0,297,258
Furs,boxes,,,,173,0,,,0,0,,,,,,,,,,,0,0,1,,,,,,,,1,0,,0,0,1,0
Hoops,,,,,173,0,,,0,0,,,,,,,,,,,0,0,,,,,,,,9500,9500,0,,0,0,9500,0
Indigo,casks,,,,173,0,,,0,0,,,,,,,,,,,0,0,,,,,7,,,18,25,0,,0,0,25,0
Indigo,bags,,,,173,0,,,0,0,,,,,,,,,,,0,0,,,,,,,,3,3,0,,0,0,3,0
Indigo,barrels,,,,173,0,,,0,0,,,,,,,,,,,0,0,2,,,,,10,,23,35,0,,0,0,35,0
Indigo,boxes,,,,173,0,,,0,0,,,,,,,,,,,0,0,,,,,1,,,1,2,0,,0,0,2,0
Loaf sugar,pounds,1.04,,0.05,173,0.030057803,,,0,0,,,,,,,,,600,,600,18,,,,,,,,,0,0,,0,0,600,18
Logs (walnut),,,,,173,0,,,0,0,,,,,,,,,,,0,0,70,,,,,,,,70,0,,0,0,70,0
Logs (walnut),feet,,,,173,0,,,0,0,,,,,,,,,,,0,0,,,,,,50,,40,90,0,,0,0,90,0
Lumber,pieces,10.912,,0.005,173,0.031537572,,6000,6000,189,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,6000,189
Molasses,hhds,1.99,,5.05,173,5.808959538,,,0,0,,,,,,,,,,1,1,6,,,,,,,,,0,0,,0,0,1,6
Oats,bushels,3.75,,0.05,173,0.108381503,,,0,0,,,,,,,,300,,,300,33,,,,,,,,,0,0,,0,0,300,33
Peas,bushels,3.75,,0.05,173,0.108381503,18,37.5,55.5,6,430,300,,76,,,,110,,231,1147,124,,,,,,,,,0,0,100,100,11,1302.5,141
Pig iron,tons,9,,1,173,5.202312139,,,0,0,,,,,,,,,,,0,0,25,42,,,,,,,67,349,,0,0,67,349
