Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,Halifax,New England,Philadelphia,Salem,NA,,London,Barrowstone,Bristol,Falmouth,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,Lisbon,Madeira,SEU,,TOTAL,
,,1754,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.34,,0.05,168.35,0.069498069,,123,123,9,180,135,,50,2.5,,367.5,26,,,,,,,,,0,0,,12,12,1,502.5,36
Beef,barrels,45.13,,0.05,168.35,1.34036234,77,,77,103,,,,,,,0,0,,,,,,,,,0,0,,,0,0,77,103
Biscuits,kegs,15.89,,,168.35,0,80,,80,0,,,,,,,0,0,,,,,,,,,0,0,,,0,0,80,0
Bread,barrels,21.64,,0.089285714,168.35,1.147694005,80,,80,92,,,,,,,0,0,,,,,,,,,0,0,,,0,0,80,92
Bread,casks,21.64,,,168.35,0,24,,24,0,,,,,,,0,0,,,,,,,,,0,0,,,0,0,24,0
Corn,bushels,2.34,,0.05,168.35,0.069498069,4114,24396.5,28510.5,1981,8949,9430,,3973,700,1736,24788,1723,,,,,,,,,0,0,65000,245,65245,4534,118543.5,8238
Corn and peas,bushels,2.34,,0.05,168.35,0.069498069,,,0,0,,,2323,,,,2323,161,,,,,,,,,0,0,,,0,0,2323,161
Cotton,cwt,1.58,,5.6,168.35,5.255717256,,,0,0,,,,,,,0,0,5,,,,,,,,5,26,,,0,0,5,26
Deer Skin,tierces,,,,168.35,0,,,0,0,,,,,,,0,0,,,,,,,,1,1,0,,,0,0,1,0
Deer Skins,boxes,,,,168.35,0,,,0,0,,,,,,,0,0,,,,,,1,,,1,0,,,0,0,1,0
Deer Skins,,,,,168.35,0,,,0,0,,38,,,,,38,0,,,,,,,,29,29,0,,,0,0,67,0
Flaxseed,casks,4.42,,,168.35,0,,,0,0,,,,,,,0,0,,,,,,22,,,22,0,,,0,0,22,0
Flaxseed,tierces,4.42,,,168.35,0,,,0,0,,,,,4,,4,0,,,,,,,,,0,0,,,0,0,4,0
