Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Curacao,Jamaica,WI,,Bermuda,Boston,New England,Newfoundland,NA,,London,Topsham,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1727,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.02,,0.05,149.58,0.067522396,3867,1400,2220,7487,506,4420,269,,100,4789,323,,,,0,0,,0,0,12276,829
Deer Skins,,,,,149.58,0,,,,0,0,,145,,,145,0,,,,0,0,,0,0,145,0
Deer skins (raw),,,,,149.58,0,,,,0,0,,,,2,2,0,,,,0,0,,0,0,2,0
Flour,barrels,11.46,,0.089285714,149.58,0.68405822,7.5,,,7.5,5,,,,,0,0,,,,0,0,,0,0,7.5,5
Heading,pieces,2.25,,0.001,149.58,0.001504212,100,,,100,0,,,,,0,0,,,,0,0,,0,0,100,0
Peas,bushels,2.02,,0.05,149.58,0.067522396,620,60,795,1475,100,1015,75,,,1090,74,,,,0,0,,0,0,2565,174
Plank,feet,3.6,,0.0005,149.58,0.001203369,500,,,500,1,,,,,0,0,200,,,200,0,,0,0,700,1
Pork,pipes,47.79,,0.2,149.58,6.389891697,,,,0,0,1,,,,1,6,,,,0,0,,0,0,1,6
Pork,tierces,47.79,,0.0665,149.58,2.124638989,,,,0,0,1,,,,1,2,,,,0,0,,0,0,1,2
Pork,barrels,47.79,,0.05,149.58,1.597472924,435,,39,474,757,129,,,95,224,358,,,,0,0,,0,0,698,1115
Pork,pounds,47.79,,0.00025,149.58,0.007987365,,,,0,0,39000,1000,,,40000,319,,,,0,0,,0,0,40000,319
Rum,tierces,2.87,,3.05,149.58,5.852052413,,,,0,0,1,,,,1,6,,,,0,0,,0,0,1,6
Skins,packs,,,,149.58,0,,,,0,0,,,1,,1,0,,,,0,0,,0,0,1,0
Skins,hhds,,,,149.58,0,,,,0,0,,,,,0,0,23,,,23,0,,0,0,23,0
Skins,barrels,,,,149.58,0,,,,0,0,,,,,0,0,6,,,6,0,,0,0,6,0
Staves,,2.25,,0.001,149.58,0.001504212,1400,,14000,15400,23,1500,,,,1500,2,8000,,,8000,12,,0,0,24900,37
Staves (barrels),,22.5,,0.00005,149.58,0.000752106,275,,,275,0,,,,,0,0,18800,,6000,24800,19,,0,0,25075,19
Staves (hhds),,2.25,,0.001,149.58,0.001504212,,,,0,0,,,,,0,0,5960,5000,,10960,16,2000,2000,3,12960,19
Staves (pipes),,3,,0.001,149.58,0.002005616,,,,0,0,,,,3700,3700,7,16100,,,16100,32,,0,0,19800,39
Tobacco,barrels,17.87,,0.197,149.58,2.353516513,,,,0,0,,,,,0,0,,,33,33,78,,0,0,33,78
Tobacco,hhds,17.87,,0.394,149.58,4.707033026,4,,6,10,47,,,,18,18,85,4785,283,857,5925,27889,,0,0,5953,28021
Wheat,bushels,3.27,,0.05,149.58,0.109306057,,,,0,0,,935,2900,,3835,419,,,,0,0,2700,2700,295,6535,714
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1439,,,,,,1601,,,,,28046,,,298,,31384
