Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,New York,Salem,South Carolina,NA,,London,Bristol,Falmouth,Hull,Lancaster,Liverpool,Whitehaven,Aberdeen,Glasgow,Kirkcudbright,GB,,Madeira,SEU,,TOTAL,
,,1752,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,51.01,,0.05,167.49,1.522777479,35,12,47,72,10,,,,,10,15,,,,,,,,,,,0,0,,0,0,57,87
Bread,barrels,21.94,,0.008928571,167.49,0.116957942,4,,4,0,,,,,,0,0,,,,,,,,,,,0,0,17,17,2,21,2
Bread,hhds,21.94,,,167.49,0,17,27,44,0,,,,,,0,0,,,,,,,,,,,0,0,,0,0,44,0
Corn,bushels,2.56,,0.05,167.49,0.076422473,965,15736.5,16701.5,1276,11370,6200,1600,4444,7225,30839,2357,,,,,,,,,,,0,0,5400,5400,413,52940.5,4046
Cotton,bags,1.9,,6,167.49,6.8063765,,,0,0,,,,,,0,0,,,,,,,,,6,,6,41,,0,0,6,41
Deer Skins,,,,,167.49,0,,,0,0,,,,,,0,0,,,,,,14,,,,,14,0,,0,0,14,0
Deer Skins,bundles,,,,167.49,0,,,0,0,,,,1,,1,0,,,,,,,,,,,0,0,,0,0,1,0
Flour,barrels,13.13,,0.089285714,167.49,0.699935177,36,40,76,53,,,,,,0,0,,,,,,,,,,,0,0,,0,0,76,53
Handspikes,,,,,167.49,0,,,0,0,,,,,,0,0,100,,,,,,,,,,100,0,,0,0,100,0
Heading,pieces,4.26,,0.001,167.49,0.002543435,,2700,2700,7,,,,,,0,0,3200,,,,,,,,,,3200,8,,0,0,5900,15
Hoops,,,,,167.49,0,,798,798,0,,,,,,0,0,,,,,,,,,1170,,1170,0,,0,0,1968,0
Iron,pigs,,,,167.49,0,,,0,0,,,,,,0,0,,260,,,,,,,,,260,0,,0,0,260,0
Iron,tons,8.42,,1,167.49,5.027165801,,,0,0,,,,,,0,0,20,56,,,,,,,,,76,382,,0,0,76,382
Logs (walnut),,,,,167.49,0,,,0,0,,,,,,0,0,,,10,,,,10,,,,20,0,,0,0,20,0
Oats,bushels,1.9,,0.05,167.49,0.056719804,,250,250,14,12,,,,,12,1,,,,,,,,,,,0,0,,0,0,262,15
Peas,bushels,1.9,,0.05,167.49,0.056719804,365,490,855,48,70,70,,81,,221,13,,,,,,,,,,,0,0,220,220,12,1296,73
Pig iron,tons,8.42,,1,167.49,5.027165801,,,0,0,,,,,,0,0,62,,,,,,,,,,62,312,,0,0,62,312
Pitch,barrels,20.06,,0.05,167.49,0.598841722,,,0,0,,,,,,0,0,,166,,,,,,,,,166,99,,0,0,166,99
Plank,feet,6.816,,0.0005,167.49,0.002034748,,,0,0,,230,,50,,280,1,135,100,,,,,1550,,917,2609,5311,11,,0,0,5591,12
Planks,,6.816,,0.005,167.49,0.020347483,,,0,0,,,,,,0,0,59,,,,,,,,360,,419,9,,0,0,419,9
Poles (hoop),,,,,167.49,0,,,0,0,100,,,,,100,0,,,,,,,,,,,0,0,,0,0,100,0
Pork,barrels,72.35,,0.05,167.49,2.159830438,,1141,1141,2464,144,22,,,,166,359,,,,,,,,,,,0,0,35,35,76,1342,2899
Rum,barrels,3.22,,1.45,167.49,2.787629112,,1,1,3,,,,,,0,0,,,,,,,,,1,,1,3,,0,0,2,6
Rum,hhds,3.22,,5.25,167.49,10.09313989,,,0,0,,,1,,,1,10,,,,,,,,,,,0,0,,0,0,1,10
Shingles,,,,,167.49,0,,107000,107000,0,,,,,,0,0,,,,,,,,,12000,,12000,0,,0,0,119000,0
Skins,cases,,,,167.49,0,,,0,0,,,,,,0,0,8,,,,,,,,,,8,0,,0,0,8,0
Skins,,,,,167.49,0,,,0,0,,,,,,0,0,,90,,,,,,,,,90,0,,0,0,90,0
Skins,bundles,,,,167.49,0,,,0,0,,,,,,0,0,,1,,,,,,,1,,2,0,,0,0,2,0
Skins,hhds,,,,167.49,0,,,0,0,,,,,,0,0,55,12,,,,8,13,,4,,92,0,,0,0,92,0
Staves,,4.26,,0.001,167.49,0.002543435,,3600,3600,9,,,,,,0,0,128710,77217,20500,1100,3000,7700,37400,8000,165500,7950,457077,1163,,0,0,460677,1172
Tar,barrels,10.08,,0.05,167.49,0.300913487,,,0,0,,,,,,0,0,,569,,,,,,,,500,1069,322,,0,0,1069,322
Tobacco,hhds,19.9,,0.513,167.49,6.095110156,,20,20,122,1,,,1,,2,12,6469,2659,594,70,102,337,1677,380,6098,187,18573,113204,,0,0,18595,113338
Turpentine,barrels,25.37,,0.05,167.49,0.757358648,,,0,0,,,,,,0,0,,203,,,,,,,,,203,154,,0,0,203,154
Wheat,bushels,4.38,,0.05,167.49,0.130754075,,,0,0,,100,450,2653,,3203,419,,,,,,,,,,,0,0,4132,4132,540,7335,959
Wine,quarter casks,30.1,,0.25,167.49,4.492805541,,,0,0,,,,,,0,0,,,,,,,,,2,,2,9,,0,0,2,9
Wine,pipes,30.1,,1,167.49,17.97122216,6,,6,108,,,,,,0,0,,,,,,,,,,,0,0,,0,0,6,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4068,,,,,,,2768,,,,,,,,,,,,115554,,,503,,122893
