Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Bermuda,Boston,Newfoundland,Rhode Island,South Carolina,NA,,London,Falmouth,Whitehaven,Glasgow,GB,,Dublin,IRE,,Lisbon,SEU,,TOTAL,
,,1738,,,,Sterling,,,,Quantity,Value,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.1,,0.05,160.42,0.065453185,,,,0,0,11,270,,,,281,18,,,,,0,0,,0,0,,0,0,281,18
Beef,barrels,36.67,,0.05,160.42,1.14293729,,,29,29,33,,,,,,0,0,,,,,0,0,,0,0,,0,0,29,33
Corn,bushels,2.1,,0.05,160.42,0.065453185,50,,15,65,4,5535,120,,30,700,6385,418,,,,,0,0,,0,0,,0,0,6450,422
Deer Skins,,,,,160.42,0,,,,0,0,,160,,,,160,0,,,13,,13,0,,0,0,,0,0,173,0
Peas,bushels,2.1,,0.05,160.42,0.065453185,128,,1728,1856,121,1993,273,,100,,2366,155,,,,,0,0,,0,0,,0,0,4222,276
Plank,feet,5.456,,0.0005,160.42,0.001700536,,,,0,0,,200,,300,,500,1,400,1350,1000,500,3250,6,,0,0,,0,0,3750,7
Pork,hhds,59.58,,0.1,160.42,3.714000748,,,1,1,4,,9,,,,9,33,,,,,0,0,,0,0,,0,0,10,37
Pork,pounds,59.58,,0.00025,160.42,0.009285002,,,,0,0,1000,,,,,1000,9,,,,,0,0,,0,0,,0,0,1000,9
Pork,barrels,59.58,,0.05,160.42,1.857000374,132,187,113,432,802,128,144,100,,,372,691,,,,,0,0,,0,0,,0,0,804,1493
Rum,gallons,2.29,,0.05,160.42,0.07137514,,,,0,0,,,,30,,30,2,,,,,0,0,,0,0,,0,0,30,2
Rum,hhds,2.29,,5.25,160.42,7.494389727,,,,0,0,,,8,,,8,60,,,,,0,0,40,40,300,,0,0,48,360
Salt,hhds,1.77,,0.35,160.42,0.386173794,,,,0,0,,,940,,,940,363,,,,,0,0,,0,0,,0,0,940,363
Salt,bushels,1.77,,0.05,160.42,0.055167685,,,,0,0,,50,,,,50,3,,,,,0,0,,0,0,,0,0,50,3
Shingles,,,,,160.42,0,,,8000,8000,0,,,,,,0,0,,,,,0,0,,0,0,,0,0,8000,0
Skins,casks,,,,160.42,0,,,,0,0,,,,,,0,0,27,,,,27,0,,0,0,,0,0,27,0
Skins,hhds,,,,160.42,0,,,,0,0,,,,,,0,0,25,,,1,26,0,,0,0,,0,0,26,0
Skins,tierces,,,,160.42,0,,,,0,0,,,,,,0,0,1,,,,1,0,,0,0,,0,0,1,0
Skins,bundles,,,,160.42,0,,,,0,0,,,,,,0,0,4,,,1,5,0,,0,0,,0,0,5,0
Skins,barrels,,,,160.42,0,,,,0,0,,,,,,0,0,3,,,1,4,0,,0,0,,0,0,4,0
Skins,boxes,,,,160.42,0,,,,0,0,,,,,,0,0,1,,,,1,0,,0,0,,0,0,1,0
Staves,,3.41,,0.001,160.42,0.00212567,,,2000,2000,4,,,,,,0,0,49100,6288,7500,38800,101688,216,11346,11346,24,,0,0,115034,244
Sugar,barrels,38.98,,0.15,160.42,3.644807381,,,,0,0,,,5,,,5,18,,,,,0,0,,0,0,,0,0,5,18
Tobacco,barrels,17,,0.2225,160.42,2.357873083,,,,0,0,,,,,,0,0,,,21,,21,50,,0,0,,0,0,21,50
Tobacco,hhds,17,,0.445,160.42,4.715746166,,,,0,0,,,8,,,8,38,3649,405,270,1408,5732,27031,,0,0,,0,0,5740,27069
Wax,pounds,,,,160.42,0,,,,0,0,20,40,,,,60,0,,,,,0,0,,0,0,,0,0,60,0
Wheat,bushels,3.48,,0.05,160.42,0.108465279,,,,0,0,9003,6288,,90,,15381,1668,,,,,0,0,,0,0,3765,3765,408,19146,2076
Wine,barrels,11,,0.25,160.42,1.714250094,,,,0,0,,1,,,,1,2,,,,,0,0,,0,0,,0,0,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,968,,,,,,,3479,,,,,,27303,,,324,,,408,,32482
