Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,New York,Newfoundland,NA,,London,Bristol,Falmouth,Whitehaven,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1742,,,,Sterling,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.69,,0.05,159.38,0.084389509,500,,,,500,42,,60,,,60,5,,,,,,0,0,,0,0,560,47
Beef,barrels,36.63,,0.05,159.38,1.149140419,9,94,12,,115,132,,11,1,12,24,28,,,,,,0,0,,0,0,139,160
Beef,pounds,36.63,,0.00025,159.38,0.005745702,,,,,0,0,,50,,,50,0,,,,,,0,0,,0,0,50,0
Bread,pounds,15.96,,0.000446429,159.38,0.004470448,,,1200,,1200,5,,,,,0,0,,,,,,0,0,,0,0,1200,5
Bread,tierces,15.96,,0.11875,159.38,1.189139164,,,,,0,0,,14,,,14,17,,,,,,0,0,,0,0,14,17
Bread,hhds,15.96,,0.178571429,159.38,1.788179194,,,,,0,0,,1,,,1,2,,,,,,0,0,,0,0,1,2
Bread,casks,15.96,,0.089285714,159.38,0.894089597,44,,,,44,39,,,,,0,0,,,,,,0,0,,0,0,44,39
Corn,bushels,2.69,,0.05,159.38,0.084389509,2325,2539,,2000,6864,579,15050,8162,,,23212,1959,,,,,,0,0,3679,3679,310,33755,2848
Deer Skins,,,,,159.38,0,,,,,0,0,,56,20,,76,0,185,,,,,185,0,,0,0,261,0
Flour,barrels,10.98,,0.089285714,159.38,0.615106753,,,,,0,0,,12,,,12,7,,,,,,0,0,,0,0,12,7
Flour,casks,10.98,,0.089285714,159.38,0.615106753,83,,,,83,51,,,,,0,0,,,,,,0,0,,0,0,83,51
Heading,pieces,3.68,,0.001,159.38,0.002308947,,4000,,,4000,9,,,,,0,0,,,,,,0,0,,0,0,4000,9
Iron,tons,9.17,,1,159.38,5.753544987,,,,,0,0,,,,,0,0,80,83,,,,163,938,,0,0,163,938
Logs (walnut),feet,,,,159.38,0,,,,,0,0,,94,,,94,0,,,,,,0,0,,0,0,94,0
Oats,bushels,2.69,,0.05,159.38,0.084389509,,,,200,200,17,,,,,0,0,,,,,,0,0,,0,0,200,17
Peas,bushels,2.69,,0.05,159.38,0.084389509,214,206,598,100,1118,94,705,261,9,71,1046,88,,,,,,0,0,,0,0,2164,182
Pitch,barrels,16.21,,0.05,159.38,0.508533066,,,,,0,0,,,,,0,0,50,,,,,50,25,,0,0,50,25
Plank,pieces,5.888,,0.005,159.38,0.018471577,,,,,0,0,18,2,,,20,0,11,,,,130,141,3,,0,0,161,3
Plank,feet,5.888,,0.0005,159.38,0.001847158,,,,,0,0,,,,,0,0,5840,,,600,1400,7840,14,,0,0,7840,14
Pork,pounds,54.17,,0.00025,159.38,0.008496988,,,,,0,0,,1000,,,1000,8,,,,,,0,0,,0,0,1000,8
Pork,hhds,54.17,,0.1,159.38,3.398795332,,2,,,2,7,3,,,,3,10,,,,,,0,0,,0,0,5,17
Pork,barrels,54.17,,0.05,159.38,1.699397666,122,1052,4,14,1192,2026,658,269,90,220,1237,2102,,,,,,0,0,,0,0,2429,4128
Pork,casks,54.17,,0.05,159.38,1.699397666,,3,,,3,5,,,,,0,0,,,,,,0,0,,0,0,3,5
Rum,gallons,3.64,,0.05,159.38,0.114192496,,,,,0,0,,964,,,964,110,,,,,125,125,14,,0,0,1089,124
Rum,hhds,3.64,,5.25,159.38,11.99021207,,,,,0,0,,,1,,1,12,,,,,,0,0,,0,0,1,12
Salt,hhds,2.785,,,159.38,0,,,,,0,0,,3,,,3,0,,,,,,0,0,,0,0,3,0
Shingles,,,,,159.38,0,17700,89500,,,107200,0,30000,,,,30000,0,,,,,,0,0,84,84,0,137284,0
Skins,tierces,,,,159.38,0,,,,,0,0,,,,,0,0,,2,,,,2,0,,0,0,2,0
Skins,chests,,,,159.38,0,,,,,0,0,,,,,0,0,1,,,,,1,0,,0,0,1,0
Skins,cases,,,,159.38,0,,,,,0,0,,,,,0,0,1,,,,,1,0,,0,0,1,0
Skins,bundles,,,,159.38,0,,,,,0,0,,,,,0,0,1,1,,,,2,0,,0,0,2,0
Skins,barrels,,,,159.38,0,,,,,0,0,,,,,0,0,3,5,,,,8,0,,0,0,8,0
Skins,casks,,,,159.38,0,,,,,0,0,,,,,0,0,,,,,1,1,0,,0,0,1,0
Skins,hhds,,,,159.38,0,,,,,0,0,,,,,0,0,25,16,,,1,42,0,,0,0,42,0
Staves,,3.68,,0.001,159.38,0.002308947,,11500,,30000,41500,96,,,,,0,0,58930,14510,4000,16600,67700,161740,373,,0,0,203240,469
Tar,barrels,12.75,,0.05,159.38,0.399987451,,208,,,208,83,,,,,0,0,,,,,,0,0,,0,0,208,83
Tobacco,hhds,17.65,,0.4745,159.38,5.254690049,,4,,,4,21,,,,1,1,5,3245,839,133,1267,3134,8618,45285,,0,0,8623,45311
Tobacco,barrels,17.65,,0.23725,159.38,2.627345024,,,,,0,0,,,,,0,0,,,,11,,11,29,,0,0,11,29
Walnut logs,tons,,,,159.38,0,,,,,0,0,,1,,,1,0,,,,,,0,0,,0,0,1,0
Wheat,bushels,3.58,,0.05,159.38,0.112310202,,,,,0,0,,3273,,,3273,368,,,,,,0,0,,0,0,3273,368
Wine,pipes,24.35,,1,159.38,15.27795206,,,,,0,0,,,,,0,0,,,,,1,1,15,,0,0,1,15
Wine,hhds,24.35,,0.5,159.38,7.638976032,,,,,0,0,,,,,0,0,,,,,1,1,8,,0,0,1,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3206,,,,,,4721,,,,,,,46704,,,310,,54941
