Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,St. Christophers,WI,,New Providence,Bermuda,Boston,New London,New York,North Carolina,Piscataqua,NA,,London,Bristol,Falmouth,Liverpool,Whitehaven,Glasgow,GB,,TOTAL,
,,1743,,,,Sterling,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.14,,0.05,159.79,0.066962889,,,0,0,,,310,,,,,310,21,,,,,,,0,0,310,21
Beef,barrels,44.75,,0.05,159.79,1.400275361,5,4,9,13,,,,,75,,,75,105,,,,,,,0,0,84,118
Bread,tierces,14.31,,0.11875,159.79,1.063466112,24,,24,26,,,,,,,,0,0,,,,,,,0,0,24,26
Bread,pounds,14.31,,0.000446429,159.79,0.003997993,,,0,0,,,13400,,,,,13400,54,,,,,,,0,0,13400,54
Bread,barrels,14.31,,0.089285714,159.79,0.79959858,50,,50,40,,,,,,,,0,0,,,,,,,0,0,50,40
Corn,bushels,2.14,,0.05,159.79,0.066962889,2226,180,2406,161,,120,,1000,600,,4400,6120,410,,,,,,,0,0,8526,571
Cotton,bags,0.9,,6,159.79,3.379435509,,,0,0,,,,,1,,,1,3,,,,,,,0,0,1,3
Flour,barrels,8.69,,0.089285714,159.79,0.485570347,4,,4,2,,,12,,,,,12,6,,,,,,,0,0,16,8
Furs,pounds,,,,159.79,0,,,0,0,,,,,,,,0,0,33,,,,,,33,0,33,0
Heading,pieces,3.31,,0.001,159.79,0.002071469,,,0,0,,,,,,,,0,0,,,,300,,,300,1,300,1
Hoops,M,,,,159.79,0,2,,2,0,,,,,,,,0,0,,,,,,,0,0,2,0
Indigo,ceroons,7.42,,,159.79,0,,,0,0,,,,,,,,0,0,3,,,,,,3,0,3,0
Iron,tons,8.34,,1,159.79,5.219350397,,,0,0,,,,,,,,0,0,50,11,,,,,61,318,61,318
Logs (walnut),,,,,159.79,0,,,0,0,,,,,,,,0,0,6,,,2,3,,11,0,11,0
Peas,barrels,2.14,,0.05,159.79,0.066962889,,,0,0,,,10,,,,,10,1,,,,,,,0,0,10,1
Peas,bushels,2.14,,0.05,159.79,0.066962889,987,250,1237,83,,500,2,8,120,,335,965,65,,,,,,,0,0,2202,148
Pitch,barrels,14.25,,0.05,159.79,0.445897741,,3,3,1,,,,,,,,0,0,,336,,,,,336,150,339,151
Plank,pieces,5.296,,0.005,159.79,0.01657175,,,0,0,,,,5,,,,5,0,,,,,,,0,0,5,0
Plank,feet,5.296,,0.0005,159.79,0.001657175,,996,996,2,,2000,20,,100,,,2120,4,150,70,,,2000,300,2520,4,5636,10
Plank,M feet,5.296,,0.5,159.79,1.657175042,,,0,0,,5,,,,,,5,8,,,,,,,0,0,5,8
Planks,,5.296,,0.005,159.79,0.01657175,,,0,0,,,,,,,,0,0,24,,,,,,24,0,24,0
Pork,barrels,68.52,,0.05,159.79,2.144064084,329,75,404,866,84,63,,15,,,77,155,332,,,,,,,0,0,559,1198
Rice,butts,11.96,,,159.79,0,,,0,0,,,,,,,,0,0,,5,,,,,5,0,5,0
Rum,hhds,3.16,,5.25,159.79,10.38237687,,,0,0,,,,,,,,0,0,2,,,,,,2,21,2,21
Rum,barrels,3.16,,1.45,159.79,2.867513612,,,0,0,,,,,,,,0,0,,1,,,,,1,3,1,3
Rum,gallons,3.16,,0.05,159.79,0.09887978,,,0,0,,,,,,,,0,0,300,,,,,,300,30,300,30
Salt,bushels,2.07,,0.05,159.79,0.064772514,,,0,0,,,,,,100,,100,6,,,,,,,0,0,100,6
Shingles,,,,,159.79,0,12000,,12000,0,,15000,,,,,,15000,0,,,,,,,0,0,27000,0
Skins,barrels,,,,159.79,0,,,0,0,,,,,,,,0,0,4,2,,,,,6,0,6,0
Skins,hhds,,,,159.79,0,,,0,0,,,,,,,,0,0,38,7,,,,3,48,0,48,0
Staves,,3.31,,0.001,159.79,0.002071469,,,0,0,,,,,,,,0,0,48200,19420,7400,3000,10800,45500,134320,278,134320,278
Tar,barrels,10.4,,0.05,159.79,0.325427123,,2,2,1,,,,,,,,0,0,,830,,,,,830,270,832,271
Tobacco,barrels,16.25,,0.2395,159.79,2.435618624,,,0,0,,,,,,,,0,0,,,6,,13,,19,46,19,46
Tobacco,hhds,16.25,,0.479,159.79,4.871237249,,,0,0,,,,,,,,0,0,2867,1015,286,190,984,1837,7179,34971,7179,34971
Turpentine,barrels,11.82,,0.05,159.79,0.369860442,,1,1,0,,,,,,,,0,0,,50,,,,,50,18,51,18
Wax,pounds,,,,159.79,0,,,0,0,,,,,27,,,27,0,,,,,,,0,0,27,0
Wheat,bushels,2.84,,0.05,159.79,0.088866637,,,0,0,,,5021,180,,,212,5413,481,,,,,,,0,0,5413,481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1195,,,,,,,,,1496,,,,,,,,36110,,38801
