Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,London,Bristol,Liverpool,Whitehaven,Aberdeen,Ayr,Glasgow,GB,,TOTAL,
,,1743,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.14,,0.05,159.79,0.066962889,,0,0,,15,15,1,,,,,,,,0,0,15,1
Corn,bushels,2.14,,0.05,159.79,0.066962889,3470,3470,232,3350,1200,4550,305,,,,,,,,0,0,8020,537
Deer Skin,pounds,,,,159.79,0,,0,0,,,0,0,,,,80,,,,80,0,80,0
Deer Skin,chests,,,,159.79,0,,0,0,,,0,0,8,,,,,,,8,0,8,0
Deer Skins,boxes,,,,159.79,0,,0,0,,,0,0,,,,,,,1,1,0,1,0
Deer Skins,casks,,,,159.79,0,,0,0,,,0,0,,,,,,,2,2,0,2,0
Deer Skins,,,,,159.79,0,,0,0,,,0,0,17,,,,,,,17,0,17,0
Flour,tierces,8.69,,0.11875,159.79,0.645808561,,0,0,2,,2,1,,,,,,,,0,0,2,1
Furs,casks,,,,159.79,0,,0,0,,,0,0,1,,,,,,,1,0,1,0
Hoops,,,,,159.79,0,2700,2700,0,,,0,0,,,,,,,144,144,0,2844,0
Iron,tons,8.34,,1,159.79,5.219350397,,0,0,,,0,0,276.5,,63,42,,,6,387.5,2022,387.5,2022
Peas,bushels,2.14,,0.05,159.79,0.066962889,60,60,4,,40,40,3,,,,,,,,0,0,100,7
Pig iron,tons,8.34,,1,159.79,5.219350397,,0,0,,,0,0,,30,4,,,,,34,177,34,177
Plank,pieces,5.296,,0.005,159.79,0.01657175,,0,0,10,,10,0,,,,,,,,0,0,10,0
Plank,feet,5.296,,0.0005,159.79,0.001657175,,0,0,,,0,0,695,,652,2362,30,,1475,5214,9,5214,9
Planks,,5.296,,0.005,159.79,0.01657175,1000,1000,17,,,0,0,,,23,,,,,23,0,1023,17
Rum,gallons,3.16,,0.05,159.79,0.09887978,,0,0,,45,45,4,212,,,,,,,212,21,257,25
Rye,bushels,2.14,,0.05,159.79,0.066962889,,0,0,,20,20,1,,,,,,,,0,0,20,1
Skins,casks,,,,159.79,0,,0,0,,,0,0,1,,,,,,,1,0,1,0
Skins,cases,,,,159.79,0,,0,0,,,0,0,4,,,,,,,4,0,4,0
Staves,,3.31,,0.001,159.79,0.002071469,,0,0,,,0,0,57230,6000,15310,55800,7500,1000,65800,208640,432,208640,432
Tobacco,hhds,16.25,,0.479,159.79,4.871237249,,0,0,,,0,0,3673,321,1351,3552,223,151,3478,12749,62103,12749,62103
Tobacco,barrels,16.25,,0.2395,159.79,2.435618624,,0,0,,,0,0,,,,4,,,,4,10,4,10
Turpentine,barrels,11.82,,0.05,159.79,0.369860442,,0,0,,,0,0,,,,20,,,,20,7,20,7
Wheat,bushels,2.84,,0.05,159.79,0.088866637,,0,0,,1300,1300,116,,,,,,,,0,0,1300,116
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,253,,,,431,,,,,,,,,64781,,65465
