Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,New England,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,Irvine,GB,,TOTAL,
,,1739,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.41,,0.05,169.69,0.041546349,,100,100,4,,,,,,,0,0,100,4
Corn,bushels,1.41,,0.05,169.69,0.041546349,4500,1000,5500,229,,,,,,,0,0,5500,229
Deer Skin,barrels,,,,169.69,0,,,0,0,,1,,,,,1,0,1,0
Deer Skin,chests,,,,169.69,0,,,0,0,8,1,,,,,9,0,9,0
Deer Skins,hhds,,,,169.69,0,,,0,0,1,,,,,,1,0,1,0
Deer Skins,,,,,169.69,0,,,0,0,,,2,,,,2,0,2,0
Furs and skins,hhds,,,,169.69,0,,,0,0,1,,,,,,1,0,1,0
Hoops,,,,,169.69,0,,,0,0,,,,,788,,788,0,788,0
Peas,bushels,1.41,,0.05,169.69,0.041546349,10,,10,0,,,,,,,0,0,10,0
Pig iron,tons,10,,1,169.69,5.893099181,,,0,0,273,60,36,,,,369,2175,369,2175
Plank,feet,5.152,,0.0005,169.69,0.001518062,,,0,0,,,310,444,1750,,2504,4,2504,4
Planks,,5.152,,0.005,169.69,0.015180623,,,0,0,,,,,,45,45,1,45,1
Pork,pounds,54.88,,0.00025,169.69,0.008085332,,800,800,6,,,,,,,0,0,800,6
Staves,,3.22,,0.001,169.69,0.001897578,,,0,0,48100,9400,23275,22800,83340,6200,193115,366,193115,366
Tobacco,barrels,15.63,,0.22675,169.69,2.088574754,,,0,0,,,7,26,,,33,69,33,69
Tobacco,hhds,15.63,,0.4535,169.69,4.177149508,,,0,0,4316,564,1351,1532,2783,215,10761,44950,10761,44950
Wheat,bushels,2.82,,0.05,169.69,0.083092698,,300,300,25,,,,,,,0,0,300,25
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,264,,,,,,,,47565,,47829
