Good,Unit,Price,Price,Conv,Exch,Price,New England,NA,,London,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,TOTAL,
,,1745,,,,Sterling,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beans,bushels,1.69,,0.05,174.77,0.048349259,3,3,0,,,,,,0,0,3,0
Corn,bushels,1.69,,0.05,174.77,0.048349259,1100,1100,53,,,,,,0,0,1100,53
Hoops,,,,,174.77,0,,0,0,,1000,,,2814,3814,0,3814,0
Indigo,barrels,6.34,,,174.77,0,,0,0,,,1,,,1,0,1,0
Iron,tons,8,,1,174.77,4.577444642,,0,0,282,99,145,,30,556,2545,556,2545
Logs (walnut),feet,,,,174.77,0,,0,0,,,,40,,40,0,40,0
Peas,bushels,1.69,,0.05,174.77,0.048349259,47.5,47.5,2,,,,,,0,0,47.5,2
Plank,pieces,4.688,,0.005,174.77,0.013411913,,0,0,,50,,,,50,1,50,1
Plank,feet,4.688,,0.0005,174.77,0.001341191,,0,0,100,,718,,897,1715,2,1715,2
Planks,,4.688,,0.005,174.77,0.013411913,,0,0,,90,,16,,106,1,106,1
Pork,pounds,53.02,,0.00025,174.77,0.007584254,68,68,1,,,,,,0,0,68,1
Rum,gallons,2.65,,0.05,174.77,0.075813927,109,109,8,120,,,,,120,9,229,17
Skins,cases,,,,174.77,0,,0,0,12,,,,,12,0,12,0
Skins,bundles,,,,174.77,0,,0,0,4,,,,,4,0,4,0
Skins,casks,,,,174.77,0,,0,0,1,,,,,1,0,1,0
Skins,hhds,,,,174.77,0,,0,0,1,,,,,1,0,1,0
Skins,chests,,,,174.77,0,,0,0,2,,,,,2,0,2,0
Staves,,2.93,,0.001,174.77,0.001676489,,0,0,88300,45559,22050,7000,92150,255059,428,255059,428
Tobacco,barrels,13.05,,0.24375,174.77,1.820070664,,0,0,,,5,,,5,9,5,9
Tobacco,hhds,13.05,,0.4875,174.77,3.640141329,,0,0,5888,2111,2359,226,3384,13968,50845,13968,50845
Walnut logs,tons,,,,174.77,0,,0,0,3,,,,,3,0,3,0
Wax,pounds,,,,174.77,0,,0,0,,4400,,,,4400,0,4400,0
Wheat,bushels,2.6,,0.05,174.77,0.074383475,98,98,7,,,,,,0,0,98,7
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,71,,,,,,,53840,,53911
