Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Rhode Island,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,GB,,TOTAL,
,,1761,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.42,,0.05,172.71,0.070059638,6405,6405,449,1950,8920,10870,762,,,,,,0,0,17275,1211
Deer Skins,hhds,,,,172.71,0,,0,0,,,0,0,1,,,,,1,0,1,0
Handspikes,,,,,172.71,0,,0,0,,,0,0,72,,60,,,132,0,132,0
Heading,,8.53,,0.001,172.71,0.004938915,,0,0,,,0,0,,,,,200,200,1,200,1
Hoops,,,,,172.71,0,,0,0,,,0,0,,,720,,1560,2280,0,2280,0
Indigo,casks,7.59,,,172.71,0,,0,0,,,0,0,1,,,,,1,0,1,0
Indigo,pounds,7.59,,0.05,172.71,0.2197325,,0,0,,,0,0,,,,,240,240,53,240,53
Logs (walnut),feet,,,,172.71,0,,0,0,,,0,0,,,,50,112,162,0,162,0
Peas/beans,bushels,2.42,,0.05,172.71,0.070059638,,0,0,,114,114,8,,,,,,0,0,114,8
Pig iron,cwt,11.34,,0.05,172.71,0.328295987,,0,0,,,0,0,8,,,,,8,3,8,3
Pig iron,tons,11.34,,1,172.71,6.56591975,,0,0,,,0,0,279,12,175,83,62,611,4012,611,4012
Plank,feet,13.648,,0.0005,172.71,0.003951132,,0,0,,,0,0,,,243,,1050,1293,5,1293,5
Planks,,13.648,,0.005,172.71,0.03951132,,0,0,,,0,0,,,90,,10,100,4,100,4
Pork,barrels,73.92,,0.05,172.71,2.140003474,,0,0,,10,10,21,,,,,,0,0,10,21
Rum,hhds,3.93,,5.25,172.71,11.94632621,,0,0,,,0,0,1,,,,1,2,24,2,24
Salt,bushels,2.42,,0.05,172.71,0.070059638,,0,0,,2,2,0,,,,,,0,0,2,0
Shingles,,,,,172.71,0,22000,22000,0,,,0,0,,,,,,0,0,22000,0
Spirits,gallons,3.93,,0.05,172.71,0.113774535,,0,0,,,0,0,24,,,,,24,3,24,3
Staves,,8.53,,0.001,172.71,0.004938915,,0,0,,,0,0,138200,10000,110600,88530,210580,557910,2755,557910,2755
Tobacco,hhds,21.52,,0.5665,172.71,7.058699554,4,4,28,,,0,0,4849,266,2340,2506,5760,15721,110970,15725,110998
Wheat,bushels,5.03,,0.05,172.71,0.145619825,,0,0,100,16,116,17,,,,,,0,0,116,17
Wine,pipes,48.83,,1,172.71,28.27282728,,0,0,,,0,0,1,,,,,1,28,1,28
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,477,,,,808,,,,,,,117858,,119143
