Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,North Carolina,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,Montrose,GB,,TOTAL,
,,1742,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.69,,0.05,159.38,0.084389509,,0,0,24,,95,119,10,,,,,,,0,0,119,10
Corn,bushels,2.69,,0.05,159.38,0.084389509,1013,1013,85,,,,0,0,,,,,,,0,0,1013,85
Deer Skins,,,,,159.38,0,,0,0,,,27,27,0,6,,,,,,6,0,33,0
Deer Skins,casks,,,,159.38,0,,0,0,,,,0,0,1,,,,,,1,0,1,0
Heading,,3.68,,0.001,159.38,0.002308947,,0,0,,,,0,0,,,,,576,,576,1,576,1
Hoops,,,,,159.38,0,,0,0,,,,0,0,,,,,,500,500,0,500,0
Iron,tons,9.17,,1,159.38,5.753544987,,0,0,,1,,1,6,367,87,,30,,1,485,2790,486,2796
Logs,,,,,159.38,0,,0,0,,,,0,0,,,2149,500,,100,2749,0,2749,0
Logs,feet,,,,159.38,0,,0,0,,,,0,0,,,,700,,,700,0,700,0
Logs (walnut),feet,,,,159.38,0,,0,0,,,,0,0,,,,100,,,100,0,100,0
Logs (walnut),,,,,159.38,0,,0,0,,,,0,0,31,,,1000,,,1031,0,1031,0
Peas,bushels,2.69,,0.05,159.38,0.084389509,20,20,2,,,20,20,2,,,,,,,0,0,40,4
Pig iron,tons,9.17,,1,159.38,5.753544987,,0,0,8,,,8,46,,,40,,,,40,230,48,276
Plank,pieces,5.888,,0.005,159.38,0.018471577,,0,0,,,,0,0,,,10,,,,10,0,10,0
Plank,feet,5.888,,0.0005,159.38,0.001847158,,0,0,1195,,,1195,2,,,400,832,200,,1432,3,2627,5
Planks,,5.888,,0.005,159.38,0.018471577,,0,0,24,,417,441,8,28,24,12,,,,64,1,505,9
Pork,pounds,54.17,,0.00025,159.38,0.008496988,,0,0,,,220,220,2,,,,,,,0,0,220,2
Pork,barrels,54.17,,0.05,159.38,1.699397666,,0,0,,,10,10,17,,,,,,,0,0,10,17
Rum,hhds,3.64,,5.25,159.38,11.99021207,,0,0,,1,,1,12,,,,,,,0,0,1,12
Rum,gallons,3.64,,0.05,159.38,0.114192496,,0,0,31,,,31,4,,,,,,,0,0,31,4
Salt,hhds,2.785,,0.35,159.38,0.611588656,,0,0,4,,,4,2,,,,,,,0,0,4,2
Spirits,gallons,3.64,,0.05,159.38,0.114192496,,0,0,30,,,30,3,,,,,,,0,0,30,3
Staves,,3.68,,0.001,159.38,0.002308947,6340,6340,15,,,,0,0,77009,10560,23090,66560,39148,9000,225367,520,231707,535
Sugar,barrels,40.94,,0.15,159.38,3.85305559,,0,0,,,1,1,4,,,,,,,0,0,1,4
Tar,barrels,12.75,,0.05,159.38,0.399987451,,0,0,,,,0,0,,308,,,,,308,123,308,123
Tobacco,barrels,17.65,,0.23725,159.38,2.627345024,,0,0,,,,0,0,,,,13,,,13,34,13,34
Tobacco,hhds,17.65,,0.4745,159.38,5.254690049,4,4,21,,,,0,0,4646,386,1835,4188,2776,145,13976,73440,13980,73461
Wax,barrels,,,,159.38,0,,0,0,,,7.75,7.75,0,,,,,,,0,0,7.75,0
Wax,baskets,,,,159.38,0,,0,0,,,,0,0,,,1,,,,1,0,1,0
Wheat,bushels,3.58,,0.05,159.38,0.112310202,,0,0,159,,220,379,43,,,,,,,0,0,379,43
Wine,hhds,24.35,,0.5,159.38,7.638976032,,0,0,,1,,1,8,,1,,,,,1,8,2,16
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,123,,,,,169,,,,,,,,77150,,77442
