Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,NA,,London,Bristol,Liverpool,Topsham,Glasgow,GB,,TOTAL,
,,1725,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.13,,0.05,139.34,0.07643175,1100,,1100,84,,,,,,0,0,1100,84
Cotton,bags,,,6,139.34,0,,,0,0,,,13,,,13,0,13,0
Deer Skins,,,,,139.34,0,,,0,0,,7,,,,7,0,7,0
Furs,hhds,,,,139.34,0,,,0,0,1,,,,,1,0,1,0
Hoops,,,,,139.34,0,,,0,0,,,,,264,264,0,264,0
Iron,tons,,,1,139.34,0,,,0,0,,28,,,,28,0,28,0
Logs (walnut),,,,,139.34,0,,,0,0,,13,,,5,18,0,18,0
Peas,bushels,2.13,,0.05,139.34,0.07643175,,30,30,2,,,,,,0,0,30,2
Plank,feet,3.6,,0.0005,139.34,0.001291804,,,0,0,1733,,,,,1733,2,1733,2
Planks,,3.6,,0.005,139.34,0.012918042,,,0,0,,,,64,,64,1,64,1
Staves (barrel),M,22.5,,0.05,139.34,0.807377637,,,0,0,,10,,40,20,70,57,70,57
Staves (barrels),,22.5,,0.00005,139.34,0.000807378,,,0,0,2000,1710,9000,,15000,27710,22,27710,22
Staves (hhd),M,2.25,,1,139.34,1.614755275,,,0,0,,26,,,,26,42,26,42
Staves (hhds),,2.25,,0.001,139.34,0.001614755,,,0,0,5000,2836,,,,7836,13,7836,13
Staves (pipe),M,3,,1,139.34,2.153007033,,,0,0,10,19,,,,29,62,29,62
Sugar,casks,33.44,,0.175,139.34,4.199799053,,,0,0,,,59,,,59,248,59,248
Tobacco,hhds,33.46,,0.39,139.34,9.365149993,,,0,0,1056,1156,230,247,1300,3989,37358,3989,37358
Tobacco,barrels,33.46,,0.195,139.34,4.682574996,,,0,0,,,12,,5,17,80,17,80
Tobacco,tubs,33.46,,0.0975,139.34,2.341287498,,,0,0,1,4,,,,5,12,5,12
Wheat,bushels,3.87,,0.05,139.34,0.138868954,,900,900,125,,,,,,0,0,900,125
Wine,pipes,20.5,,1,139.34,14.71221473,,,0,0,4,,,,,4,59,4,59
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,211,,,,,,,37956,,38167
