Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,WI,,Bermuda,Boston,Rhode Island,NA,,London,Bristol,Plymouth,Whitehaven,Glasgow,Leith,GB,,Lisbon,Madeira,SEU,,TOTAL,
,,1733,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.1,,0.05,166.94,0.062896849,,,0,0,,250,,250,16,,,,,,,0,0,1486,3,1489,94,1739,110
Corn,bushels,2.1,,0.05,166.94,0.062896849,2160,1425,3585,225,10520,6650,1300,18470,1162,,,,,,,0,0,430,900,1330,84,23385,1471
Deer Skins,casks,,,,166.94,0,,,0,0,,,,0,0,2,,,,,,2,0,,,0,0,2,0
Deer Skins,,,,,166.94,0,,,0,0,,,,0,0,,7,,,,,7,0,,,0,0,7,0
Flour,barrels,8.84,,0.089285714,166.94,0.472796043,16,,16,8,,,,0,0,,,,,,,0,0,,,0,0,16,8
Furs,pounds,,,,166.94,0,,,0,0,,,,0,0,,25,,,,,25,0,,,0,0,25,0
Logs (walnut),,,,,166.94,0,,,0,0,,,,0,0,,,,,4,,4,0,,,0,0,4,0
Peas,bushels,2.1,,0.05,166.94,0.062896849,230,478,708,45,250,119,130,499,31,,,,,,,0,0,326,1530,1856,117,3063,193
Pig iron,tons,,,,166.94,0,,,0,0,,,,0,0,,40,,,,,40,0,,,0,0,40,0
Pitch,barrels,17.17,,0.05,166.94,0.514256619,,,0,0,,,,0,0,,104,,,,,104,53,,,0,0,104,53
Plank,feet,3.6,,0.0005,166.94,0.001078232,,,0,0,,,,0,0,6897,148,600,40,540,,8225,9,,,0,0,8225,9
Plank,pieces,3.6,,0.005,166.94,0.010782317,,,0,0,6,,,6,0,,,,,,,0,0,,,0,0,6,0
Planks,,3.6,,0.005,166.94,0.010782317,,,0,0,,,,0,0,,,,,,95,95,1,,,0,0,95,1
Poles (hoop),,,,,166.94,0,,,0,0,500,,,500,0,,,,,,,0,0,,,0,0,500,0
Pork,pounds,47.54,,0.00025,166.94,0.007119324,,,0,0,62550,13482,,76032,541,,,,,,,0,0,,,0,0,76032,541
Pork,tons,47.54,,,166.94,0,,4,4,0,,,,0,0,,,,,,,0,0,,,0,0,4,0
Pork,barrels,47.54,,0.05,166.94,1.423864862,261,8,269,383,9000,27,7,9034,12863,,,,,,,0,0,15,12,27,38,9330,13284
Pork,casks,47.54,,,166.94,0,,1,1,0,,,,0,0,,,,,,,0,0,,,0,0,1,0
Rice,hhds,,,,166.94,0,,,0,0,,,,0,0,167,,,,,,167,0,,,0,0,167,0
Shingles,,,,,166.94,0,,1500,1500,0,,,,0,0,,,,,,,0,0,,4500,4500,0,6000,0
Skins,hhds,,,,166.94,0,,,0,0,,,,0,0,36,,,,,,36,0,,,0,0,36,0
Skins,barrels,,,,166.94,0,,,0,0,,,,0,0,24,,,,,,24,0,,,0,0,24,0
Skins,,,,,166.94,0,,,0,0,,12,,12,0,,,,,,,0,0,,,0,0,12,0
Staves,,2.25,,0.001,166.94,0.00134779,840,1500,2340,3,,,,0,0,96150,9660,6100,8300,40900,2900,164010,221,,,0,0,166350,224
Tar,barrels,12.25,,0.05,166.94,0.366898287,,,0,0,,,,0,0,1653,591,,,,,2244,823,,,0,0,2244,823
Tobacco,hhds,15.13,,0.4055,166.94,3.675101833,,,0,0,,,,0,0,3418,280,185,329,1186,144,5542,20367,,,0,0,5542,20367
Wax,pounds,,,,166.94,0,,,0,0,,36,,36,0,,,,,,,0,0,20,40,60,0,96,0
Wheat,bushels,3.06,,0.05,166.94,0.091649695,,,0,0,,580,20,600,55,,,,,,,0,0,1780,4032,5812,533,6412,588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,664,,,,,14668,,,,,,,,21474,,,,866,,37672
