Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Philadelphia,NA,,Madeira,SEU,,TOTAL,
,,1750,,,,Sterling,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Molasses,gallons,1.69,,0.05,170.6,0.049531067,,782,,782,39,,680,680,34,,0,0,1462,73
Negroes,,27.12,,1,100,27.12,1,,,1,27,,,0,0,,0,0,1,27
Rum,gallons,3.46,,0.05,170.6,0.1014068,34065,760,2700,37525,3805,,3850,3850,390,,0,0,41375,4195
Salt,bushels,1.55,,0.05,170.6,0.045427902,,,,0,0,2400,,2400,109,,0,0,2400,109
Sugar,quarters,51.98,,0.0125,170.6,0.380861665,10,2,3,15,6,,,0,0,,0,0,15,6
Sugar,pounds,51.98,,0.000446429,170.6,0.013602202,112,11,,123,2,,,0,0,,0,0,123,2
Sugar,cwt,51.98,,0.05,170.6,1.523446659,350,21,22,393,599,,,0,0,,0,0,393,599
Tea,chests,,,,170.6,0,,,,0,0,,2,2,0,,0,0,2,0
Tea,boxes,,,,170.6,0,,,,0,0,,1,1,0,,0,0,1,0
Wine,casks,29.74,,0.25,170.6,4.358147714,,,,0,0,,,0,0,9,9,39,9,39
Wine,hhds,29.74,,0.5,170.6,8.716295428,4,,,4,35,,,0,0,13,13,113,17,148
Wine,pipes,29.74,,1,170.6,17.43259086,11,,,11,192,,4,4,70,166,166,2894,181,3156
Wine,quarter casks,29.74,,0.25,170.6,4.358147714,,,,0,0,,,0,0,50,50,218,50,218
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4705,,,,603,,,3264,,8572
