Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,St. Christophers,WI,,Turks Island,Exuma,Bermuda,New England,New York,NA,,Dublin,IRE,,Bonny,Calabar,Guinea,AFR,,Madeira,SEU,,TOTAL,
,,1740,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,,Quantitiy,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,165.45,0,,,0,0,,,,,2500,2500,0,,0,0,,,,0,0,,0,0,2500,0
Cotton,bags,1.29,,6,165.45,4.678150499,4,,4,19,,,,,,0,0,,0,0,,,,0,0,,0,0,4,19
Ginger,bags,,,,165.45,0,2,,2,0,,,,,,0,0,,0,0,,,,0,0,,0,0,2,0
Linen,yards,,,,165.45,0,,,0,0,,,,,,0,0,1500,1500,0,,,,0,0,,0,0,1500,0
Loaf sugar,cwt,1.55,,5.6,165.45,5.246297975,,,0,0,,,,4,,4,21,,0,0,,,,0,0,,0,0,4,21
Molasses,tierces,1.65,,3.05,165.45,3.041704442,1,,1,3,,,,,,0,0,,0,0,,,,0,0,,0,0,1,3
Molasses,hhds,1.65,,5.05,165.45,5.036264733,4,,4,20,,,5,2,,7,35,,0,0,,,,0,0,,0,0,11,55
Negroes,,26.64,,1,100,26.64,284,186,470,12521,,,,,,0,0,,0,0,120,260,230,610,16250,,0,0,1080,28771
Rum,tierces,2.53,,3,165.45,4.587488667,68,,68,312,,,,1,,1,5,,0,0,,,,0,0,,0,0,69,317
Rum,gallons,2.53,,0.05,165.45,0.076458144,7090,,7090,542,,,,,,0,0,,0,0,,,,0,0,,0,0,7090,542
Rum,barrels,2.53,,1.45,165.45,2.217286189,82,,82,182,,,,,,0,0,,0,0,,,,0,0,,0,0,82,182
Rum,hhds,2.53,,5.25,165.45,8.028105168,98,,98,787,4,,1,32,,37,297,,0,0,,,,0,0,,0,0,135,1084
Salt,bushels,1.935,,0.05,165.45,0.058476881,,,0,0,4000,1300,60,,,5360,313,,0,0,,,,0,0,,0,0,5360,313
Sugar,cwt,37.88,,0.05,165.45,1.144756724,86,,86,98,,,,,,0,0,,0,0,,,,0,0,,0,0,86,98
Sugar,barrels,37.88,,0.15,165.45,3.434270172,116,,116,398,7,,4,2,,13,45,,0,0,,,,0,0,,0,0,129,443
Sugar,tierces,37.88,,0.444196429,165.45,10.16993697,4,,4,41,,,,,,0,0,,0,0,,,,0,0,,0,0,4,41
Wine,hhds,20.17,,0.5,165.45,6.095497129,,,0,0,,,2,3,,5,30,,0,0,,,,0,0,28,28,171,33,201
Wine,pipes,20.17,,1,165.45,12.19099426,,,0,0,,,,,,0,0,,0,0,,,,0,0,162,162,1975,162,1975
Wine,quarter casks,20.17,,0.25,165.45,3.047748565,,,0,0,,,,,,0,0,,0,0,,,,0,0,6,6,18,6,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,14923,,,,,,,746,,,0,,,,,16250,,,2164,,34083
