Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,St. Martins,WI,,Boston,Lewes DE,Nantucket,New York,Newport,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,London,Liverpool,Glasgow,Penryn,GB,,Cork,IRE,,Isle of May,Madeira,SEU,,TOTAL,
,,1768,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23.71,,1,166.62,14.2299844,,,,,,0,0,,,,,,1.25,,,,1.25,18,,,,,0,0,,0,0,,,0,0,1.25,18
Beef,tierces,52.41,,,166.62,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,40,40,0,,,0,0,40,0
Bread,barrels,26.38,,0.089285714,166.62,1.413610097,,,,,,0,0,,,,,,40,,,,40,57,,,,,0,0,,0,0,,,0,0,40,57
Cheese,pounds,,,,166.62,0,,,,,,0,0,2116,,560,,,,,,378,3054,0,,,,,0,0,,0,0,,,0,0,3054,0
Chocolate,pounds,,,,166.62,0,,,,,,0,0,100,,,,,,,,72,172,0,,,,,0,0,,0,0,,,0,0,172,0
Corn,bushels,2.57,,0.05,166.62,0.077121594,500,,,,,500,39,,,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,500,39
Cotton,pounds,1.71,,0.05,166.62,0.051314368,,400,,287,,687,35,,,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,687,35
Flour,barrels,16.89,,0.089285714,166.62,0.90507485,,,,,,0,0,,,,,,63,,,,63,57,,,,,0,0,,0,0,,,0,0,63,57
Loaf sugar,pounds,0.93,,0.05,166.62,0.027907814,,,,,,0,0,2501,,,,560,1000,,,,4061,113,,,,,0,0,,0,0,,,0,0,4061,113
Maryland currency,shillings,1,,0.05,164.92,0.03031773,,,,,,0,0,7,,,,,,,,,7,0,,,,,0,0,,0,0,,,0,0,7,0
Maryland currency,pence,1,,0.004166667,164.92,0.002526477,,,,,,0,0,6,,,,,,,,,6,0,,,,,0,0,,0,0,,,0,0,6,0
Maryland currency,pounds,1,,1,164.92,0.606354596,,,,,,0,0,9,,,,,,,,,9,5,,,,,0,0,,0,0,,,0,0,9,5
Molasses,gallons,1.81,,0.05,166.62,0.054315208,,,,400,,400,22,3892,,400,,1400,105,316,350,4235,10698,581,,,,,0,0,,0,0,,,0,0,11098,603
Negroes,,38.39,,1,100,38.39,,,,23,,23,883,,,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,23,883
Planks,,8.624,,0.005,166.62,0.025879246,,,,,,0,0,,,,70,,,,,,70,2,,,,,0,0,,0,0,,,0,0,70,2
Rum,gallons,3.34,,0.05,166.62,0.100228064,3260,6430,,2600,,12290,1232,4621,,316,,830,3560,2229,1100,3240,15896,1593,,,,,0,0,,0,0,,,0,0,28186,2825
Salt,bushels,1.57,,0.05,166.62,0.047113192,,,,,1946,1946,92,30,1600,,200,168,,60,,277,2335,110,,6412,,,6412,302,,0,0,5000,,5000,236,15693,740
Servants,,12.62545455,,1,100,12.62545455,,,,,,0,0,,,,,,,,,,0,0,70,,,,70,884,16,16,202,,,0,0,86,1086
Sugar,pounds,46.42,,0.000446429,166.62,0.012437411,4000,2800,5600,,,12400,154,2278,,,2413,1568,22000,,2688,1212,32159,400,,,,,0,0,,0,0,,,0,0,44559,554
Tar,barrels,11.01,,0.05,166.62,0.33039251,,,,,,0,0,,,,,,10,,,,10,3,,,,,0,0,,0,0,,,0,0,10,3
Wine,tons,47.73,,2,166.62,57.29204177,,,,,,0,0,,,,,,,,,,0,0,,,,8,8,458,,0,0,,,0,0,8,458
Wine,hampers,47.73,,,166.62,0,,,,,,0,0,,,,,,,,,,0,0,,,9,,9,0,,0,0,,,0,0,9,0
Wine,gallons,47.73,,0.007936508,166.62,0.227349372,,,,,200,200,45,,,,,,,,,33,33,8,293,28,,311,632,144,,0,0,,814,814,185,1679,382
Wine,hhds,47.73,,0.5,166.62,14.32301044,,,,,,0,0,,,,,,,,,,0,0,,,,1,1,14,,0,0,,,0,0,1,14
Wine,pipes,47.73,,1,166.62,28.64602089,,,,,,0,0,,,,,,1,,,,1,29,,,,,0,0,,0,0,,,0,0,1,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,2502,,,,,,,,,,,2976,,,,,,1802,,,202,,,,421,,7903
