Good,Unit,Price,Price,Conv,Exch,Price,Jamaica,St. Christophers,WI,,Boston,New York,Newport,Philadelphia,Salem,NA,,TOTAL,
,,1761,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,172.71,0,,,0,0,,,1100,400,321,1821,0,1821,0
Coffee,pounds,,,,172.71,0,1278,,1278,0,,112,,,,112,0,1390,0
Dollars,,0.23,,1,100,0.23,,,0,0,480,,,,,480,110,480,110
Flour,barrels,14.82,,0.089285714,172.71,0.766148043,,,0,0,,,,250,,250,192,250,192
Loaf sugar,barrels,1.08,,0.05,172.71,0.031266285,,,0,0,,,,1,,1,0,1,0
Maryland currency,pounds,1,,1,168.58,0.593190177,,,0,0,,,,,200,200,119,200,119
Molasses,gallons,49.14,,0.05,172.71,1.422615946,,119,119,169,1100,110,900,500,1955,4565,6494,4684,6663
Molasses,hhds,49.14,,5.05,172.71,143.6842105,14,,14,2012,2,,,,,2,287,16,2299
Negroes,,35.61,,1,100,35.61,,,0,0,9,,,,,9,320,9,320
Refined sugar,pounds,1.08,,0.05,172.71,0.031266285,,,0,0,,,,,220,220,7,220,7
Rum,gallons,3.93,,0.05,172.71,0.113774535,,,0,0,2248.5,,660,2594.5,2110,7613,866,7613,866
Rum,hhds,3.93,,5.25,172.71,11.94632621,,7,7,84,3,,,,,3,36,10,120
Rum,tierces,3.93,,3,172.71,6.826472121,6,,6,41,,,,,,0,0,6,41
Salt,bushels,2.42,,0.05,172.71,0.070059638,,,0,0,,,,680,274.5,954.5,67,954.5,67
Sugar,barrels,49.14,,0.15,172.71,4.267847837,30,2,32,137,2,,,,,2,9,34,146
Sugar,hhds,49.14,,0.632142857,172.71,17.98593017,7,11,18,324,2,,,,,2,36,20,360
Sugar,pounds,49.14,,0.000446429,172.71,0.012701928,,,0,0,8050,1100,1300,6500,5162,22112,281,22112,281
Wine,gallons,48.83,,0.007936508,172.71,0.224387518,,,0,0,50,75,100,75,,300,67,300,67
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,2767,,,,,,,8891,,11658
