Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Nantucket,Philadelphia,Rhode Island,Salem,NA,,Liverpool,Whitehaven,Aberdeen,Greenock,GB,,Isle of May,SEU,,TOTAL,
,,1744,,,,Sterling,,Quantity,Value,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,166.67,0,,0,0,,1000,,,2200,1000,4200,0,1000,,,,1000,0,,0,0,5200,0
Molasses,gallons,1.8,,0.05,166.67,0.05399892,,0,0,,500,,,1400,800,2700,146,,,,,0,0,,0,0,2700,146
Rum,gallons,3.2,,0.05,166.67,0.09599808,8028,8028,771,,1000,,,1940,1400,4340,417,,,,,0,0,,0,0,12368,1188
Salt,bushels,2.14,,0.05,166.67,0.064198716,,0,0,2700,,90,800,145,255,3990,256,19425.5,,,,19425.5,1247,7000,7000,449,30415.5,1952
Servants,,11.28727273,,1,100,11.28727273,,0,0,,,,,,,0,0,12,36,,,48,542,,0,0,48,542
Spirits,gallons,3.2,,0.05,166.67,0.09599808,,0,0,,,,,,,0,0,1680,,,,1680,161,,0,0,1680,161
Sugar,pounds,49.97,,0.000446429,166.67,0.013384554,13558,13558,181,,200,,,2000,1200,3400,46,,,300,,300,4,,0,0,17258,231
Wine,gallons,27.85,,0.007936508,166.67,0.132616395,,0,0,,,,,,,0,0,,,,127,127,17,,0,0,127,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,952,,,,,,,,865,,,,,,1971,,,449,,4237
