Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,New Providence,Bermuda,Boston,Cape Fear,New York,North Carolina,Perth Amboy,Philadelphia,Rhode Island,Salem NE,NA,,Glasgow,GB,,Oporto,SEU,,TOTAL,
,,1765,,,,Sterling,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,3.01,,0.05,169.9,0.088581519,,,,0,0,,,25,,,,,3,,,28,2,,0,0,,0,0,28,2
Bread,barrels,24.92,,0.089285714,169.9,1.309593879,,,14,14,18,10,,,,,,,,,,10,13,,0,0,,0,0,24,31
Chocolate,boxes,,,,169.9,0,,,,0,0,,,,,,2,,,,,2,0,,0,0,,0,0,2,0
Coffee,pounds,,,,169.9,0,,,,0,0,,,,,,80,,,,,80,0,,0,0,,0,0,80,0
Corn,bushels,3.01,,0.05,169.9,0.088581519,14200,200,1600,16000,1417,900,2700,18921.5,,8970,,100,16430,7500,4200,59721.5,5290,,0,0,3500,3500,310,79221.5,7017
Cotton,cwt,1.87,,5.6,169.9,6.163625662,,,,0,0,,,,,,,,1,,,1,6,,0,0,,0,0,1,6
Flaxseed,hhds,8.79,,,169.9,0,,,,0,0,,,,,1,,,88,,,89,0,144,144,0,,0,0,233,0
Flaxseed,barrels,8.79,,,169.9,0,,,,0,0,,,,,,,,,,,0,0,34,34,0,,0,0,34,0
Flaxseed,pipes,8.79,,,169.9,0,,,,0,0,,,,,,,,,,,0,0,1,1,0,,0,0,1,0
Flaxseed,casks,8.79,,,169.9,0,,,,0,0,,,15,,5,,,52,,,72,0,,0,0,,0,0,72,0
Flaxseed,bushels,8.79,,0.05,169.9,0.258681577,,,,0,0,,,,,,,,180,,,180,47,,0,0,,0,0,180,47
Flour,barrels,13.5,,0.089285714,169.9,0.709450938,14,,40,54,38,20,,,,,,,,,,20,14,,0,0,,0,0,74,52
Heading,,6.84,,0.001,169.9,0.004025898,,,,0,0,,,,,,,,2000,,,2000,8,,0,0,,0,0,2000,8
Loaf sugar,cwt,1.06,,5.6,169.9,3.493819894,,,,0,0,4,,,,,,,,,,4,14,,0,0,,0,0,4,14
Molasses,hhds,1.76,,5.05,169.9,5.231312537,,,,0,0,,,,,,,,46,,,46,241,,0,0,,0,0,46,241
Molasses,tierces,1.76,,3.05,169.9,3.159505592,,,,0,0,,,,,,,,5,,,5,16,,0,0,,0,0,5,16
Molasses,gallons,1.76,,0.05,169.9,0.051795174,,,,0,0,,,,,,,,87000,,,87000,4506,,0,0,,0,0,87000,4506
Oats,bushels,3.01,,0.05,169.9,0.088581519,300,,70,370,33,350,,3478,,10474,,1300,30178,90,,45870,4063,,0,0,,0,0,46240,4096
Peas,bushels,3.01,,0.05,169.9,0.088581519,200,,,200,18,12,25,,,,,,86,22,,145,13,,0,0,,0,0,345,31
Plank,feet,10.944,,0.0005,169.9,0.003220718,,,,0,0,,,300,,130,,,,,,430,1,880,880,3,,0,0,1310,4
Pork,pounds,74.36,,0.00025,169.9,0.01094173,1000,,,1000,11,,,390,,,,,,,,390,4,,0,0,,0,0,1390,15
Pork,barrels,74.36,,0.05,169.9,2.188346086,,,7,7,15,12,,1,,,,,30,17,,60,131,,0,0,,0,0,67,146
Potatoes,bushels,,,,169.9,0,,,,0,0,,,,,100,,,,,,100,0,,0,0,,0,0,100,0
Rum,hhds,3.02,,0.05,169.9,0.088875809,,,,0,0,1,,,,,2,,22,,,25,2,,0,0,,0,0,25,2
Rye,casks,3.01,,,169.9,0,,,,0,0,,,1,,,,,,,,1,0,,0,0,,0,0,1,0
Salt,bushels,1.7,,0.05,169.9,0.050029429,,,,0,0,,,,70,,250,,2100,,,2420,121,,0,0,,0,0,2420,121
Shingles,,,,,169.9,0,17300,,,17300,0,,,12700,,,,,,,,12700,0,,0,0,,0,0,30000,0
Shingles,M,,,,169.9,0,15,,,15,0,3,,,,,,,,,,3,0,,0,0,,0,0,18,0
Ship bread,tierces,13.88,,0.11875,169.9,0.970129488,,,,0,0,,,,,,,,1,,,1,1,,0,0,,0,0,1,1
Ship bread,hhds,13.88,,0.178571429,169.9,1.458841335,,,,0,0,,,,,,,,2,,,2,3,,0,0,,0,0,2,3
Spirits,kegs,3.02,,0.725,169.9,1.288699235,,,,0,0,3,,,,,,,,,,3,4,,0,0,,0,0,3,4
Staves,,6.84,,0.001,169.9,0.004025898,,,,0,0,,,,,,,,,300,,300,1,,0,0,,0,0,300,1
Staves,M,6.84,,1,169.9,4.025897587,,,,0,0,,,5,,1,,,,,,6,24,,0,0,,0,0,6,24
Staves (barrels),,70.63,,0.00005,169.9,0.002078576,,,,0,0,,,3000,,,,,,,,3000,6,11000,11000,23,,0,0,14000,29
Staves (hhd),packs,6.84,,,169.9,0,,,,0,0,,,,,,,,50,,,50,0,,0,0,,0,0,50,0
Staves (hhds),,6.84,,0.001,169.9,0.004025898,,,,0,0,,,1100,,,,,3500,,,4600,19,,0,0,,0,0,4600,19
Staves (pipes),,11.19,,0.001,169.9,0.006586227,,,,0,0,,,380,,,,,1000,,,1380,9,800,800,5,,0,0,2180,14
Staves and heading,M,6.84,,1,169.9,4.025897587,,,,0,0,,,7,,,,,,,,7,28,,0,0,,0,0,7,28
Staves and heading,,6.84,,0.001,169.9,0.004025898,,,,0,0,,,,,,,,,1000,,1000,4,,0,0,,0,0,1000,4
Sugar,hhds,52.94,,0.646875,169.9,20.15630518,,,,0,0,,,,,,,,16,,,16,323,,0,0,,0,0,16,323
Sugar,barrels,52.94,,0.15,169.9,4.673925839,,,,0,0,,,,,,,,,,5,5,23,,0,0,,0,0,5,23
Tobacco,pounds,18.13,,0.0005,169.9,0.005335491,,,,0,0,,,4149,,3150,,,5948,,,13247,71,,0,0,,0,0,13247,71
Wax,pounds,,,,169.9,0,,,,0,0,,,,,,,,100,,,100,0,,0,0,,0,0,100,0
Wax,bags,,,,169.9,0,,,,0,0,,,,,1,,,,,,1,0,,0,0,,0,0,1,0
Wheat,bushels,4.7,,0.05,169.9,0.138316657,,,,0,0,,,540,,226,,,1352,400,100,2618,362,,0,0,,0,0,2618,362
Wheat,hhds,4.7,,,169.9,0,,,,0,0,,,,,1,,,,,,1,0,,0,0,,0,0,1,0
Wine,hhds,47.29,,0.5,169.9,13.91701001,,,,0,0,,,,,,,,,1,,1,14,,0,0,,0,0,1,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,1550,,,,,,,,,,,,15384,,,31,,,310,,17275
