Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,Surinam,WI,,Bermuda,Carolina,New England,North Carolina,NA,,London,Bristol,Lancaster,Liverpool,Glasgow,GB,,TOTAL,
,,1730,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.93,,0.05,152.03,0.063474314,,,114,114,7,,,30,,30,2,,,,,,0,0,144,9
Beef,barrels,30,,0.05,152.03,0.986647372,100,100,,200,197,,,,,0,0,,,,,,0,0,200,197
Bread,pounds,14.88,,0.000446429,152.03,0.004369438,,10100,,10100,44,,,,,0,0,,,,,,0,0,10100,44
Bread,tierces,14.88,,0.11875,152.03,1.162270604,40,,75,115,134,,,,,0,0,,,,,,0,0,115,134
Corn and peas,bushels,1.93,,0.05,152.03,0.063474314,3082,9527,194,12803,813,6295,,1719,,8014,509,,,,,,0,0,20817,1322
Deer Skin,casks,,,,152.03,0,,,,0,0,,,,,0,0,1,,,,,1,0,1,0
Deer Skins,,,,,152.03,0,,,,0,0,,,,,0,0,50,,,,,50,0,50,0
Flour,barrels,11.56,,0.089285714,152.03,0.678907359,223,300,299,822,558,,,,,0,0,,,,,,0,0,822,558
Heading,,2.25,,0.001,152.03,0.001479971,,,480,480,1,,,,,0,0,627,,,,,627,1,1107,2
Headings and staves,,2.25,,0.001,152.03,0.001479971,,4000,,4000,6,,,,,0,0,,,,,,0,0,4000,6
Iron,tons,,,,152.03,0,,,,0,0,,,,,0,0,144,241,,,,385,0,385,0
Linen,ells,,,,152.03,0,,,,0,0,,105,,,105,0,,,,,,0,0,105,0
Oats,bushels,1.93,,0.05,152.03,0.063474314,,350,,350,22,,,,,0,0,,,,,,0,0,350,22
Pitch,barrels,15,,0.05,152.03,0.493323686,,70,,70,35,,,,,0,0,,,,,,0,0,70,35
Plank,feet,3.6,,0.00005,152.03,0.000118398,,1500,500,2000,0,,,,,0,0,2625,,,,,2625,0,4625,0
Pork,pounds,59.24,,0.00025,152.03,0.009741498,,2150,,2150,21,,,,,0,0,,,,,,0,0,2150,21
Pork,barrels,59.24,,0.05,152.03,1.948299678,109,180,,289,563,,,,,0,0,,,,,,0,0,289,563
Rum,tierces,2.51,,3,152.03,4.952969809,,,,0,0,,,,4,4,20,,,,,,0,0,4,20
Rum,hhds,2.51,,5.25,152.03,8.667697165,,,,0,0,,,,1,1,9,,,,,,0,0,1,9
Rum,gallons,2.51,,0.05,152.03,0.082549497,,,,0,0,,,,,0,0,,,140,,,140,12,140,12
Salt,barrels,3.09,,0.175,152.03,0.355686378,,,,0,0,,,,6,6,2,,,,,,0,0,6,2
Shingles,,,,,152.03,0,,20000,,20000,0,,,,,0,0,,,,,,0,0,20000,0
Shingles,M,,,,152.03,0,20,,,20,0,,,,,0,0,,,,,,0,0,20,0
Skins,hhds,,,,152.03,0,,,,0,0,,,,,0,0,1,,,,,1,0,1,0
Skins,boxes,,,,152.03,0,,,,0,0,,,,,0,0,2,,,,,2,0,2,0
Staves (barrels),,22.5,,0.00005,152.03,0.000739986,400,6000,,6400,5,,,,,0,0,29290,8550,450,2000,6000,46290,34,52690,39
Staves (hhds),,2.25,,0.001,152.03,0.001479971,4700,6000,2492,13192,20,,,,,0,0,40500,14202,400,,6000,61102,90,74294,110
Staves (pipes),,3,,0.001,152.03,0.001973295,,,,0,0,,,,,0,0,28900,7780,,,,36680,72,36680,72
Tar,barrels,11.04,,0.05,152.03,0.363086233,5,80,,85,31,,,,,0,0,,,,,,0,0,85,31
Tobacco,pounds,14,,0.0005,152.03,0.004604354,1046,,,1046,5,,,,,0,0,,,,,,0,0,1046,5
Tobacco,hhds,14,,0.3995,152.03,3.678879169,,,,0,0,,,,,0,0,7949,1931,133,108,513,10634,39121,10634,39121
Tobacco,tubs,14,,0.099875,152.03,0.919719792,,,,0,0,,,,,0,0,1,1,,,,2,2,2,2
Turpentine,barrels,23.82,,0.05,152.03,0.783398014,11,100,,111,87,,,,,0,0,,,,,,0,0,111,87
Wax,pounds,,,,152.03,0,,,,0,0,30,,,,30,0,,,,,,0,0,30,0
Wheat,bushels,3.68,,1.2,152.03,2.904689864,,,,0,0,,,247,,247,717,,,,,,0,0,247,717
Wine,pipes,20.5,,1,152.03,13.48418075,,,,0,0,,,,,0,0,3,,,,,3,40,3,40
Wine,hhds,20.5,,0.5,152.03,6.742090377,,,,0,0,,,,,0,0,3,,,,,3,20,3,20
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2549,,,,,,1259,,,,,,,39392,,43200
