Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Guadaloupe,Martinique,Monte Christi,St. Christophers,St. Martins,WI,,New Providence,Bermuda,Boston,New York,North Carolina,Philadelphia,Rhode Island,South Carolina,NA,,London,Bristol,GB,,Africa,AFR,,TOTAL,
,,1762,,,,Sterling,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,58.04,,0.05,176.26,1.646431408,,,,,,,,,0,0,,,,,31,,,,31,51,,,0,0,,0,0,31,51
Brown sugar,barrels,52.15,,0.15,176.26,4.438046068,,,,,,,,,0,0,,10,27,,,,,,37,164,,,0,0,,0,0,37,164
Brown sugar,tierces,52.15,,0.489285714,176.26,14.4764836,,,,,,,6,,6,87,,,,,,,,,0,0,,,0,0,,0,0,6,87
Brown sugar,hhds,52.15,,0.632142857,176.26,18.70319415,,,,,,,,,0,0,,,1,,,,,,1,19,,,0,0,,0,0,1,19
Brown sugar,pounds,52.15,,0.000446429,176.26,0.01320847,,8600,,,1300,,,,9900,131,,,,,,,,,0,0,,,0,0,,0,0,9900,131
Cheese,pounds,,,,176.26,0,,,,,,,,,0,0,,,,,,120,,,120,0,,,0,0,,0,0,120,0
Chocolate,cases,,,,176.26,0,,,,,,,,,0,0,,,,,,,1,,1,0,,,0,0,,0,0,1,0
Chocolate,boxes,,,,176.26,0,,,,,,,,,0,0,,,,,,2,,,2,0,,,0,0,,0,0,2,0
Cocoa,bags,,,,176.26,0,,,,,500,,,,500,0,,,,,,,,,0,0,,,0,0,,0,0,500,0
Coffee,pounds,,,,176.26,0,,,,,600,,,,600,0,,,,,,,,,0,0,,,0,0,,0,0,600,0
Convicts,,12.94909091,,1,100,12.94909091,,,,,,,,,0,0,,,,,,,,,0,0,138,77,215,2784,,0,0,215,2784
Deer Skin,bundles,,,,176.26,0,,,,,,,,,0,0,,,,,1,,,,1,0,,,0,0,,0,0,1,0
Deer Skin,,,,,176.26,0,,,,,,,,,0,0,,,,,1384,,,,1384,0,,,0,0,,0,0,1384,0
Furs,bundles,,,,176.26,0,,,,,,,,,0,0,,,,,1,,,,1,0,,,0,0,,0,0,1,0
Fyall wine,quarter casks,50.79,,0.25,176.26,7.20384659,,,,,,,,,0,0,,,,,,12,,,12,86,,,0,0,,0,0,12,86
Hides,pounds,,,,176.26,0,,,,,,,,,0,0,,,,,1603,,,,1603,0,,,0,0,,0,0,1603,0
Hides,,,,,176.26,0,,,,,,,,,0,0,,,,,82,,,,82,0,,,0,0,,0,0,82,0
Hides (dry),pounds,,,,176.26,0,,,,,,,,,0,0,,,,,900,,,,900,0,,,0,0,,0,0,900,0
Indigo,barrels,7.84,,,176.26,0,,,,,,,,,0,0,,,,,,,1,,1,0,,,0,0,,0,0,1,0
Leather (tanned),pounds,,,,176.26,0,,,,,,,,,0,0,,,,,286,,,,286,0,,,0,0,,0,0,286,0
Loaf sugar,pounds,1.07,,0.05,176.26,0.030352888,,,,,,,,,0,0,,,500,,,,,,500,15,,,0,0,,0,0,500,15
Loaf sugar,hhds,1.07,,25,176.26,15.17644389,,,,,,,,,0,0,,,24,,,,,,24,364,,,0,0,,0,0,24,364
Loaf sugar,casks,1.07,,6.25,176.26,3.794110972,,,,,,,,,0,0,,,8,,,,,,8,30,,,0,0,,0,0,8,30
Madeira,gallons,50.79,,0.007936508,176.26,0.228693543,,,,,,,,,0,0,,,,,,,800,,800,183,,,0,0,,0,0,800,183
Molasses,hhds,2.49,,5.05,176.26,7.134063316,,,,26,,,,,26,185,,12,7,,,2,25,,46,328,,,0,0,,0,0,72,513
Molasses,tierces,2.49,,3.05,176.26,4.308691705,,,,,,,,,0,0,,,3,,,,,,3,13,,,0,0,,0,0,3,13
Molasses,gallons,2.49,,0.05,176.26,0.07063429,,,,,,,,,0,0,,,1800,,,,300,,2100,148,,,0,0,,0,0,2100,148
Molasses,barrels,2.49,,1.45,176.26,2.048394417,,,,,,,,,0,0,,,4,,,,,,4,8,,,0,0,,0,0,4,8
Muscovado sugar,pounds,52.15,,0.000446429,176.26,0.01320847,,,52614,,,12128,,,64742,855,,,,,,,,,0,0,,,0,0,,0,0,64742,855
Negroes,,35.61,,1,100,35.61,,,1,,,,,,1,36,,1,1,,,,,,2,71,,,0,0,80,80,2849,83,2956
Pitch,barrels,13.47,,0.05,176.26,0.38210598,,,,,,,,,0,0,,,22,,55,,,,77,29,,,0,0,,0,0,77,29
Plank,feet,14.224,,0.0005,176.26,0.004034948,,,,,,,,,0,0,600,2206,,,,,,,2806,11,,,0,0,,0,0,2806,11
