Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenadoes,Hispaniola,Jamaica,Montserrat,Nevis,St. Cruz,St. Eustatia,St. Kitts,St. Martins,St. Vincents,Tortola,WI,,New Providence,Tortuga,Boston,Falmouth NE,New England,New Jersey,Newcastle DE,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,Liverpool,GB,,Cork,Dublin,Galway,Londonderry,Newry,Sligo,Waterford,IRE,,Madeira,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loaf sugar,barrels,0.97,,6.25,165.69,3.658941397,,,,,,,,,,,,,,,0,0,,,,,,,,,,4,,4,15,,,,0,0,,,,,,,,0,0,,0,0,4,15
Loaf sugar,hhds,0.97,,25,165.69,14.63576559,,,,,,,,,,,,,,,0,0,,,,,,,,,2,3,,5,73,,,,0,0,,,,,,,,0,0,,0,0,5,73
Mahogany,feet,,,,165.69,0,,,,,,,,,,,,,,,0,0,3700,,,,,,,,,,,3700,0,,,,0,0,,,,,,,,0,0,,0,0,3700,0
Molasses,barrels,1.77,,1.45,165.69,1.548977005,,,,,19,,,,,,,,,,19,29,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,0,0,19,29
Molasses,hhds,1.77,,5.05,165.69,5.394713018,,,,,165,,,,,10,,,,,175,944,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,0,0,175,944
Molasses,tierces,1.77,,3.05,165.69,3.258193011,,,,,132,,,,,,,,,,132,430,,,,,,,,,2,,,2,7,,,,0,0,,,,,,,,0,0,,0,0,134,437
Molasses,gallons,1.77,,0.05,165.69,0.053413,,,,,7020,,,,600,6000,100,,900,800,15420,824,,,4064,300,4200,,,,1697,2230,3500,15991,854,,,,0,0,,,,,,,,0,0,,0,0,31411,1678
Negroes,,38.39,,1,100,38.39,,5,,,,,,,,,5,,,,10,384,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,0,0,10,384
Peas,barrels,,,,165.69,0,,,,,,,,,,,,,,,0,0,,,,,,,,2,,,,2,0,,,,0,0,,,,,,,,0,0,,0,0,2,0
Pimento,bags,,,,165.69,0,,,,,,4,,,,,,,,,4,0,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,0,0,4,0
