Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenadoes,Hispaniola,Jamaica,Montserrat,St. Cruz,St. Eustatia,St. Kitts,St. Lucia,St. VIncents,WI,,New Providence,Tortuga,Boston,Falmouth,New York,North Carolina,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Bristol,Liverpool,GB,,Cork,Dublin,Galway,Limerick,Londonderry,Waterford,IRE,,Isle of May,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1772,,,,Sterling,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantiy,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,57.05,,0.05,160.83,1.773611888,,,,,,,,,,,,,0,0,,,18.5,,,,12,,,,30.5,54,,,,0,0,,,,,,35,35,62,,,0,0,,0,0,65.5,116
Biscuit,barrels,19.95,,0.089285714,160.83,1.107535907,,,,,,,,,,,,,0,0,,,,,,,6,,,,6,7,,,,0,0,,,,,,,0,0,,,0,0,,0,0,6,7
Biscuit,bags,19.95,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,8,,,,8,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,8,0
Board,feet,,,,160.83,0,,,,,,,,,,,,,0,0,,,55000,50000,,,,,,,105000,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,105000,0
Braziletto,tons,,,,160.83,0,,,,,,,,,,,,,0,0,4.9,,,,,,,,,,4.9,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,4.9,0
Brown sugar,pounds,49.18,,0.000446429,160.83,0.013651282,,,,,,,2200,,,,,,2200,30,2965,,,,,,,,12,,2977,41,,,,0,0,,,,,,,0,0,,,0,0,,0,0,5177,71
Brown sugar,cwt,49.18,,0.05,160.83,1.528943605,,,,,,,,,,,,,0,0,,,,,,,,,13,,13,20,,,,0,0,,,,,,,0,0,,,0,0,,0,0,13,20
Brown sugar,quarters,49.18,,0.0125,160.83,0.382235901,,,,,,,,,,,,,0,0,,,,,,,,,1,,1,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1,0
Brown sugar,barrels,49.18,,0.15,160.83,4.586830815,,,,,2,,,,,,,,2,9,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,2,9
Brown sugar,tierces,49.18,,0.495089286,160.83,15.13927195,,,,,1,,,,,,,,1,15,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1,15
Cheese,cwt,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,,23,,,23,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,23,0
Cheese,pounds,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,,1000,200,,1200,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1200,0
Chocolate,pounds,,,,160.83,0,,,,,,,,,,,,,0,0,,,,220,50,,,,50,,320,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,320,0
Chocolate,boxes,,,,160.83,0,,,,,,,,,,,,,0,0,,,59,,,,15,2,,,76,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,76,0
Coffee,bags,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,2,,,,2,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,2,0
Coffee,pounds,,,,160.83,0,,,4550,,,615,,,,,,,5165,0,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,5165,0
Coffee,casks,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,2,,,,2,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,2,0
Coffee,barrels,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,1,,,,1,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1,0
Convicts,,13.96,,1,100,13.96,,,,,,,,,,,,1,1,14,,,,,,,,,,,0,0,103,202,13,318,4439,,,,,,,0,0,,,0,0,,0,0,319,4453
Cotton wool,pounds,1.27,,0.05,160.83,0.039482684,,,,,,,,,,,,,0,0,300,,,,,,,,,,300,12,,,,0,0,,,,,,,0,0,,,0,0,,0,0,300,12
Ginger,kegs,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,1,,,,1,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1,0
Hides (raw),,,,,160.83,0,,,,,,,,,,,,,0,0,16,,,,,,,,,,16,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,16,0
Leather,sides,,,,160.83,0,,,,,,,,,,,,,0,0,,,225,,,,40,,48,68,381,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,381,0
Leather,bundles,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,5,,,,5,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,5,0
Leather,pounds,,,,160.83,0,,,,,,,,,,,,,0,0,,,2800,,,,,,,,2800,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,2800,0
Leather (sole),weight,,,,160.83,0,,,,,,,,,,,,,0,0,,,26,,,,,,,,26,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,26,0
Leather (sole),cwt,,,,160.83,0,,,,,,,,,,,,,0,0,,,5,,,,,,,,5,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,5,0
Leather (sole),pounds,,,,160.83,0,,,,,,,,,,,,,0,0,,,1450,,,,,,,,1450,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1450,0
Linen,yards,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,,,,16720,,16720,0,,,0,0,,0,0,16720,0
Linen,packs,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,3,,,,,3,0,,,0,0,,0,0,3,0
Linen,boxes,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,5,,,,,5,0,,,0,0,,0,0,5,0
Loaf sugar,cwt,0.94,,5.6,160.83,3.273021203,,,,,,,,,,,,,0,0,,,,,,,,22,,,22,72,,,,0,0,,,,,,,0,0,,,0,0,,0,0,22,72
Loaf sugar,casks,0.94,,6.25,160.83,3.652925449,,,,,,,,,,,,,0,0,,,,,,,13,,,,13,47,,,,0,0,,,,,,,0,0,,,0,0,,0,0,13,47
Loaf sugar,barrels,0.94,,6.25,160.83,3.652925449,,,,,,,,,,,,,0,0,,,4,,,,,,,,4,15,,,,0,0,,,,,,,0,0,,,0,0,,0,0,4,15
Loaf sugar,tierces,0.94,,17,160.83,9.935957222,,,,,,,,,,,,,0,0,,,1,,,,,,,,1,10,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1,10
Loaf sugar,pounds,0.94,,0.05,160.83,0.029223404,,,,,,,,,,,,,0,0,,,8980,,,,800,1000,2000,,12780,373,,,,0,0,,,,,,,0,0,,,0,0,,0,0,12780,373
Loaf sugar,hhds,0.94,,25,160.83,14.6117018,,,,,,,,,,,,,0,0,,,4,,,,6,,,,10,146,,,,0,0,,,,,,,0,0,,,0,0,,0,0,10,146
Mahogany,feet,,,,160.83,0,,,,,,,,,,,,,0,0,800,,,,,,,,,,800,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,800,0
Mahogany boards,feet,,,,160.83,0,,,,,,,,,,,,,0,0,650,,,,,,,,,,650,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,650,0
Molasses,tierces,1.75,,3.05,160.83,3.318721632,,,,,27,,,,,,,,27,90,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,27,90
Molasses,gallons,1.75,,0.05,160.83,0.054405273,400,,,,4060,,,,,660,,270,5390,293,,,25030,,1200,,110,90,613,,27043,1471,,,,0,0,,,,,,,0,0,,,0,0,,0,0,32433,1764
Molasses,hhds,1.75,,5.05,160.83,5.494932537,,,,,145,,,,,,3,,148,813,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,148,813
Molasses,barrels,1.75,,1.45,160.83,1.577752907,,,,,15,,,,,,,,15,24,,,,,,,1,,,,1,2,,,,0,0,,,,,,,0,0,,,0,0,,0,0,16,26
Muscovado sugar,pounds,49.18,,0.000446429,160.83,0.013651282,,,,,,,,,,,,,0,0,,,,,,,2800,,,,2800,38,,,,0,0,,,,,,,0,0,,,0,0,,0,0,2800,38
Muscovado sugar,barrels,49.18,,0.15,160.83,4.586830815,,,,,,,,,,,,,0,0,,,,,,,11,,,,11,50,,,,0,0,,,,,,,0,0,,,0,0,,0,0,11,50
Muscovado sugar,hhds,49.18,,0.646875,160.83,19.78070789,,,,,,,,,,,,,0,0,,,,,,,4,,,,4,79,,,,0,0,,,,,,,0,0,,,0,0,,0,0,4,79
Muscovado sugar,barrels,49.18,,0.15,160.83,4.586830815,,,,,,,,,,,,,0,0,,,,,,,11,,,,11,50,,,,0,0,,,,,,,0,0,,,0,0,,0,0,11,50
Negroes,,38.39,,1,100,38.39,,,,,,,,,,3,,74,77,2956,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,77,2956
Pitch,barrels,14.54,,0.05,160.83,0.452030094,,,,,,,,,,,,,0,0,,,,,,88,,,,5,93,42,,,,0,0,,,,,,,0,0,,,0,0,,0,0,93,42
Plank,feet,10.752,,0.0005,160.83,0.00334266,,,,,,,,,,,,,0,0,,,20000,,,,,,,,20000,67,,,,0,0,,,,,,,0,0,,,0,0,,0,0,20000,67
Pork,barrels,93.46,,0.05,160.83,2.905552447,,,,,,,,,,,,,0,0,,,,,,37.5,3,,,,40.5,118,,,,0,0,,,,,,25,25,73,,,0,0,,0,0,65.5,191
Pot iron,pounds,8.15,,0.000446429,160.83,0.00226226,,,,,,,,,,,,,0,0,,,,,,,,,300,,300,1,,,,0,0,,,,,,,0,0,,,0,0,,0,0,300,1
Potatoes,casks,,,,160.83,0,,,,,,,,,,,,,0,0,,7,,,,,,,,,7,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,7,0
Rice,pounds,23.39,,0.000446429,160.83,0.006492548,,,,,,,,,,,,,0,0,,,,,,,,,,26500,26500,172,,,,0,0,,,,,,,0,0,,,0,0,,0,0,26500,172
Rice,tierces,23.39,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,1,,,,1,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1,0
Rice,casks,23.39,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,9,,,,9,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,9,0
Rum,gallons,3.44,,0.05,160.83,0.106945222,12870,28645,4650,9675,,3200,6615,,450,11200,,3000,80305,8588,,,137425,,574,,566,8830,920,,148315,15862,,,,0,0,,,,,,,0,0,200,,200,21,,0,0,228820,24471
Rum,barrels,3.44,,1.45,160.83,3.101411428,,,,,,,,,,,,,0,0,,,,,,,5,,,,5,16,,,,0,0,,,,,,,0,0,,,0,0,,0,0,5,16
Rum,hhds,3.44,,5.25,160.83,11.22924827,,,,,,,,,,,,,0,0,,,,,,,4,,,,4,45,,,,0,0,,,,,,,0,0,,,0,0,,0,0,4,45
Salt,hhds,1.85,,0.35,160.83,0.402599018,,,,,,,,,,,,,0,0,,,,,1,,,,,,1,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1,0
Salt,bushels,1.85,,0.05,160.83,0.057514145,,,,,,,,,,,1500,,1500,86,,1900,,,,,9600,,84,,11584,666,,5600,39471,45071,2592,,,,,,,0,0,8000,,8000,460,,0,0,66155,3804
Servants,,13.96,,1,100,13.96,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,43,13,2,58,810,175,244,51,70,18,70,628,8767,,,0,0,,0,0,686,9577
Shingles,,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,262000,,,,,262000,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,262000,0
Spirits,gallons,3.44,,0.05,160.83,0.106945222,,,,,,1000,,,,,,,1000,107,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1000,107
Staves and heading,,6.72,,0.001,160.83,0.004178325,,,,,,,,,,,,,0,0,,,,,,1000,,,,,1000,4,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1000,4
Sugar,tierces,49.18,,0.495089286,160.83,15.13927195,,,,,,,,56,,,,,56,848,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,6,6,91,62,939
Sugar,hhds,49.18,,0.0646875,160.83,1.978070789,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,10,10,20,10,20
Sugar,barrels,49.18,,0.15,160.83,4.586830815,,,,,5,,,5,,,,,10,46,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,10,46
Sugar,pounds,49.18,,0.000446429,160.83,0.013651282,9000,16000,,,2650,1400,,,4000,,,,33050,451,,,22177,,2004,,,2016,,,26197,358,,,,0,0,,,,,,,0,0,,,0,0,,0,0,59247,809
Tar,barrels,14.32,,0.05,160.83,0.445190574,,,,,,,,,,,,,0,0,,,,,,496,,,,,496,221,,,,0,0,,,,,,,0,0,,,0,0,,0,0,496,221
Tea,chests,,,,160.83,0,,,,,,,,,,,,,0,0,,,,,,,1,,,,1,0,,,,0,0,,,,,,,0,0,,,0,0,,0,0,1,0
Turpentine,barrels,16.69,,0.05,160.83,0.518870857,,,,,,,,,,,,,0,0,,,,,,47,,,,,47,24,,,,0,0,,,,,,,0,0,,,0,0,,0,0,47,24
Wine,pipes,54.03,,1,160.83,33.59447864,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,18,18,605,,0,0,18,605
Wine,quarter casks,54.03,,0.25,160.83,8.398619661,,,,,,,,,,,,,0,0,,,,,,,3,,,,3,25,,,,0,0,,,,,,,0,0,,9,9,76,,0,0,12,101
Wine,gallons,54.03,,0.007936508,160.83,0.266622846,,,,40,,,,,,,,,40,11,,,27,,475,,,,,,502,134,,,,0,0,,,,,,,0,0,,1680,1680,448,,0,0,2222,593
Wine,hhds,54.03,,0.5,160.83,16.79723932,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,0,,4,4,67,,0,0,4,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,14381,,,,,,,,,,,,20242,,,,,7841,,,,,,,,8902,,,,1677,,,111,,53154
