Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,St. Christophers,Virgin Islands,WI,,Boston,Halifax,New London,New York,Newfoundland,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Bideford,Bristol,GB,,Cork,IRE,,Madeira,SEU,,TOTAL,
,,1754,,,,Sterling,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,45.13,,0.05,168.35,1.34036234,,,,,,,0,0,,,,,,10,,,,10,13,,,,0,0,,0,0,,0,0,10,13
Beeswax,casks,,,,168.35,0,,,,,,,0,0,,,,7,,,,,,7,0,,,,0,0,,0,0,,0,0,7,0
Brown sugar,pounds,50.85,,0.000446429,168.35,0.013484344,,5000,,,1100,,6100,82,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,6100,82
Cheese,tons,,,,168.35,0,,,,,,,0,0,1,,,,,,,,,1,0,,,,0,0,,0,0,,0,0,1,0
Cheese,casks,,,,168.35,0,,,,,,,0,0,,1,,,,,,,,1,0,,,,0,0,,0,0,,0,0,1,0
Coffee,pounds,,,,168.35,0,,,,,,,0,0,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,0,0
Convicts,,12.03636364,,1,100,12.03636364,,,,,,,0,0,,,,,,,,,,0,0,70,35,48,153,1842,,0,0,,0,0,153,1842
Ginger,bags,,,,168.35,0,,3,,,,,3,0,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,3,0
Iron,pounds,7.67,,0.000446429,168.35,0.002033922,,,,,,,0,0,,,,,,,,500,,500,1,,,,0,0,,0,0,,0,0,500,1
Loaf sugar,pounds,1.06,,0.05,168.35,0.031482031,,,,,,,0,0,,,,,,,,,40,40,1,,,,0,0,,0,0,,0,0,40,1
Madeira,gallons,28.96,,0.007936508,168.35,0.136525851,,,3700,,,,3700,505,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,3700,505
Madeira,quarter casks,28.96,,0.25,168.35,4.300564301,,,,,,,0,0,,,,,,,30,,,30,129,,,,0,0,,0,0,1,1,4,31,133
Madeira,pipes,28.96,,1,168.35,17.2022572,,,,,,,0,0,,,,,,,23,,,23,396,,,,0,0,,0,0,29,29,499,52,895
Molasses,hhds,2,,5.05,168.35,5.999405999,,,,,,,0,0,3,,4,,,,1,,,8,48,,,,0,0,,0,0,,0,0,8,48
