Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Bermuda,Boston,New York,Piscataqua,Rhode Island,Salem,NA,,Africa,AFR,,Madeira,SEU,,TOTAL,
,,1762,,,,Sterling,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate,boxes,,,,176.26,0,,,,0,0,,,4,,,,4,0,,0,0,,0,0,4,0
Coffee,pounds,,,,176.26,0,,,,0,0,,100,,,,,100,0,,0,0,,0,0,100,0
Dollars,,0.23,,1,100,0.23,,,,0,0,,,,1000,,,1000,230,,0,0,,0,0,1000,230
Molasses,gallons,2.29,,0.05,176.26,0.064960853,115,91,220,426,28,300,,670,1090,110,2647,4817,313,,0,0,,0,0,5243,341
Negroes,,35.61,,1,100,35.61,,,,0,0,,,,,,,0,0,64,64,2279,,0,0,64,2279
Pimento,pounds,,,,176.26,0,,,,0,0,,,,100,,,100,0,,0,0,,0,0,100,0
Refined sugar,pounds,1.07,,0.05,176.26,0.030352888,,,,0,0,,200,,,,,200,6,,0,0,,0,0,200,6
Refined sugar,hhds,1.07,,25,176.26,15.17644389,,,,0,0,,,12,,,3,15,228,,0,0,,0,0,15,228
Rum,gallons,3.94,,0.05,176.26,0.111766708,16390,5360,1400,23150,2587,,200,1000,825,200,5650,7875,880,,0,0,,0,0,31025,3467
Salt,hhds,2.86,,0.35,176.26,0.567911041,,,,0,0,,5,,4,,99,108,61,,0,0,,0,0,108,61
Sugar,pounds,52.15,,0.000446429,176.26,0.01320847,55,12,12,79,1,,10,,10,,124,144,2,,0,0,,0,0,223,3
Sugar,cwt,52.15,,0.05,176.26,1.479348689,102,117,9,228,337,,15,,10,,128,153,226,,0,0,,0,0,381,563
Sugar,quarters,52.15,,0.0125,176.26,0.369837172,8,3,3,14,5,,2,,1,,28,31,11,,0,0,,0,0,45,16
Virginia currency,pounds,1,,1,152.4,0.656167979,,,,0,0,,100,,,,,100,66,,0,0,,0,0,100,66
Wine,hhds,50.79,,0.5,176.26,14.40769318,,,,0,0,,,,,,,0,0,,0,0,14,14,202,14,202
Wine,pipes,50.79,,1,176.26,28.81538636,,,,0,0,,,,,,,0,0,,0,0,35,35,1009,35,1009
Wine,quarter casks,50.79,,0.25,176.26,7.20384659,,,,0,0,,1,,,1,,2,14,,0,0,14,14,101,16,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2958,,,,,,,,2037,,,2279,,,1312,,8586
