Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Christophers,WI,,Tortuga,Turks Island,Bermuda,Boston,New England,Philadelphia,Rhode Island,NA,,Angola,Bonny,Gambia,New Calabar,AFR,,Madeira,SEU,,TOTAL,
,,1732,,,,Sterling,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,barrels,11.91,,0.089285714,160.9,0.660902957,,,,0,0,,,,,,12,,12,8,,,,,0,0,,0,0,12,8
Cheese,pounds,,,,160.9,0,,,,0,0,,,,,1000,,,1000,0,,,,,0,0,,0,0,1000,0
Cotton,bags,1.13,,6,160.9,4.21379739,,2,,2,8,,,,,,,,0,0,,,,,0,0,,0,0,2,8
Cotton wool,bags,1.13,,6,160.9,4.21379739,1,,,1,4,,,,,,,,0,0,,,,,0,0,,0,0,1,4
Ginger,bags,,,,160.9,0,3,,,3,0,,,,,,,,0,0,,,,,0,0,,0,0,3,0
Molasses,hhds,1.37,,5.05,160.9,4.299875699,9,10,40,59,254,,,,7,7,6,2,22,95,,,,,0,0,26,26,112,107,461
Negroes,,24.91,,1,100,24.91,44,,,44,1096,,,,,,,,0,0,,437,300,226,963,23988,,0,0,1007,25084
Rum,tierces,2.5,,3,160.9,4.661280298,176,,13,189,881,,,,,,4,1,5,23,,,,,0,0,,0,0,194,904
Rum,gallons,2.5,,0.05,160.9,0.077688005,2799,,,2799,217,,,,,,,,0,0,,,,,0,0,,0,0,2799,217
Rum,barrels,2.5,,1.45,160.9,2.252952144,184,5,,189,426,,,,,,,3,3,7,,,,,0,0,,0,0,192,433
Rum,hhds,2.5,,5.25,160.9,8.157240522,93,18,,111,905,2,,1,8,8,14,6,39,318,,4,,,4,33,,0,0,154,1256
Salt,bushels,2.175,,0.05,160.9,0.067588564,,,699,699,47,2500,2500,1000,112.5,75,300,200,6687.5,452,,,,,0,0,,0,0,7386.5,499
Sugar,barrels,33.35,,0.175,160.9,3.627252952,109,6,9,124,450,,,,4,1,2,3,10,36,,,,,0,0,,0,0,134,486
Sugar,tierces,33.35,,0.480803571,160.9,9.965692422,3,,,3,30,,,,,,,,0,0,,,,,0,0,,0,0,3,30
Wine,quarter casks,20.5,,0.25,160.9,3.185208204,12,,,12,38,,,,,,,,0,0,,,,,0,0,1,1,3,13,41
Wine,hhds,20.5,,0.5,160.9,6.370416408,4,,,4,25,,,,,,,,0,0,,,,,0,0,5,5,32,9,57
Wine,pipes,20.5,,1,160.9,12.74083282,31,,,31,395,,,,,,,,0,0,,,,,0,0,86,86,1096,117,1491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4776,,,,,,,,,939,,,,,,24021,,,1243,,30979
