Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Bermuda,Boston,New York,Philadelphia,Piscataqua,Salem,NA,,London,GB,,Madeira,SEU,,TOTAL,
,,1768,,,,Sterling,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23.71,,1,166.62,14.2299844,,,,0,0,,,8,,,,8,114,,0,0,,0,0,8,114
Bar iron,cwt,23.71,,0.05,166.62,0.71149922,,,,0,0,,,17,,,,17,12,,0,0,,0,0,17,12
Cash,pounds,1,,1,124.99,0.800064005,34,50,348,432,346,,,,,,,0,0,,0,0,,0,0,432,346
Cash,shillings,1,,0.05,124.99,0.0400032,10,,15,25,1,,,,,,,0,0,,0,0,,0,0,25,1
Chocolate,boxes,,,,166.62,0,,,,0,0,,1,6,,,,7,0,,0,0,,0,0,7,0
Coffee,bags/tierces,,,,166.62,0,,,,0,0,,,,7,,,7,0,,0,0,,0,0,7,0
Coffee,bags,,,,166.62,0,,2,,2,0,,,,,,,0,0,,0,0,,0,0,2,0
Ginger,bags,,,,166.62,0,1,8,,9,0,,,,,,,0,0,,0,0,,0,0,9,0
Loaf sugar,tierces,0.93,,17,166.62,9.488656824,6,,,6,57,,,7,3,,,10,95,,0,0,,0,0,16,152
Loaf sugar,hhds,0.93,,25,166.62,13.95390709,,,,0,0,,6,52,,,,58,809,,0,0,,0,0,58,809
Loaf sugar,barrels,0.93,,6.25,166.62,3.488476773,,,,0,0,,,5,,,,5,17,,0,0,,0,0,5,17
Loaf sugar,casks,0.93,,6.25,166.62,3.488476773,1,,,1,3,,,,,,,0,0,,0,0,,0,0,1,3
Molasses,gallons,1.81,,0.05,166.62,0.054315208,,,,0,0,,,200,,,900,1100,60,,0,0,,0,0,1100,60
Molasses,barrels,1.81,,1.45,166.62,1.575141039,,,,0,0,,,1,,,,1,2,,0,0,,0,0,1,2
Molasses,tierces,1.81,,3.05,166.62,3.313227704,,,,0,0,,,1,,,,1,3,,0,0,,0,0,1,3
Molasses,hhds,1.81,,5.05,166.62,5.485836034,2,,1,3,16,,9,,,,6,15,82,,0,0,,0,0,18,98
Rum,gallons,3.34,,0.05,166.62,0.100228064,7020,19030,13900,39950,4004,200,3573,1100,2400,460,4700,12433,1246,,0,0,,0,0,52383,5250
Salt,bushels,1.57,,0.05,166.62,0.047113192,,,,0,0,,,,,,428,428,20,,0,0,,0,0,428,20
Sugar,quarters,46.42,,0.0125,166.62,0.348247509,2,4,3,9,3,6,3,,,,,9,3,,0,0,,0,0,18,6
Sugar,pounds,46.42,,0.000446429,166.62,0.012437411,27,36,14,77,1,27,20,,,,,47,1,,0,0,,0,0,124,2
Sugar,cwt,46.42,,0.05,166.62,1.392990037,109,227,30,366,510,109,50,3,36,,30,228,318,,0,0,,0,0,594,828
Tobacco,hhds,21.83,,0.5485,166.62,7.186265154,2,,,2,14,,,,,,,0,0,,0,0,,0,0,2,14
Wine,quarter casks,47.73,,0.25,166.62,7.161505221,,,,0,0,,,,,,,0,0,1,1,7,11,11,79,12,86
Wine,hhds,47.73,,0.5,166.62,14.32301044,,,,0,0,,,,,,,0,0,7,7,100,29,29,415,36,515
Wine,pipes,47.73,,1,166.62,28.64602089,,,,0,0,,,,,,,0,0,66,66,1891,53,53,1518,119,3409
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4955,,,,,,,,2782,,,1998,,,2012,,11747
