Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Cape Nicholas,Essquibo,Grenada,Grenadoes,Hispaniola,Jamaica,Montserrat,Nevis,St. Croix,St. Eustatia,St. Kitts,St. Lucia,St. Martins,Tobago,Tortola,WI,,New Providence,Turks Island,Boston,New Castle,New York,North Carolina,Philadelphia,Piscataqua,Plymouth NE,Rhode Island,Salem DE,Salem,South Carolina,NA,,London,Bristol,Liverpool,GB,,Milford,Belfast,Cork,Dublin,Limerick,Londonderry,Waterford,IRE,,Isle of May,Madeira,SEU,,TOTAL,
,,1773,,,,Sterling,,,,,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel staves,,63.49,,0.00005,166.27,0.001909244,,,,,,,,,,,,,,,,,,,0,0,,,,,,4100,,,,,,,,4100,8,,,,0,0,,,,,,,,0,0,,,0,0,4100,8
Beef,barrels,54.58,,0.05,166.27,1.641306309,,,,,,,,,,,,,,,,,,,0,0,,,3,,,,100,,,,,,,103,169,,,,0,0,25,,450,247,,,,722,1185,,,0,0,825,1354
Beeswax,pounds,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,50,,,,,,,,50,0,,,,0,0,,,,,,,,0,0,,,0,0,50,0
Biscuit,kegs,17.3,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,,,,,20,,,,,,,,,20,0,,,,0,0,,,,,,,,0,0,,,0,0,20,0
Board,feet,9.552,,0.0005,166.27,0.002872436,,,,,,,,,,,,,,,,,,,0,0,,,81000,,,,2000,,,,8000,,,91000,261,,,,0,0,,,,,,,,0,0,,,0,0,91000,261
Boards,,9.552,,0.005,166.27,0.028724364,,,,,,,,,,,,,,,,,,,0,0,,,,,180,,,,,,,,,180,5,,,,0,0,,,,,,,,0,0,,,0,0,180,5
Braziletto,tons,,,,166.27,0,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,,0,0,1,0
Bread,barrels,30.93,,0.089285714,166.27,1.660917269,,,,,,,,,,,,,,,,,,,0,0,,,6,,,,,,,,,,,6,10,,,,0,0,,,,,,,,0,0,,,0,0,6,10
Bread,kegs,30.93,,0.044642857,166.27,0.830458634,,,,,,,,,,,,,,,,,,,0,0,,,,,16,,50,,,,,,,66,55,,,,0,0,,,,,,,,0,0,,,0,0,66,55
Bread,casks,30.93,,0.089285714,166.27,1.660917269,,,,,,,,,,,,,,,,,,,0,0,,,,,4,,,,,,,,,4,7,,,,0,0,,,,,,,,0,0,,,0,0,4,7
Brown sugar,hhds,50.02,,0.646875,166.27,19.46032808,,,,,,,,,,,,26,,,,,,,26,506,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,,0,0,26,506
Brown sugar,barrels,50.02,,0.15,166.27,4.512539845,,,,,,,,,,,,,,,,,,,0,0,,,3,,16,,,,,,,,,19,86,,,,0,0,,,,,,,,0,0,,,0,0,19,86
