Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Montserrat,Nevis,St. Christophers,WI,,Bermuda,Boston,New Castle DE,New York,Philadelphia,Providence,Rhode Island,Roanoke NC,Salem,NA,,London,Bideford,Bristol,Liverpool,GB,,Gambia Africa,AFR,,Madeira,SEU,,TOTAL,
,,1759,,,,Sterling,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown sugar,kilderkins,45.18,,,153.52,0,,,,,,42,42,0,,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,42,0
Chocolate,pounds,,,,153.52,0,,,,,,,0,0,,,,,,,,,80,80,0,,,,,0,0,,0,0,,0,0,80,0
Coffee,pounds,,,,153.52,0,,,,,,,0,0,2000,,,,,,,,,2000,0,,,,,0,0,,0,0,,0,0,2000,0
Coffee,barrels,,,,153.52,0,,,,,,,0,0,3,,,1,,,,,,4,0,,,,,0,0,,0,0,,0,0,4,0
Convicts,,12.94909091,,1,100,12.94909091,,,,,,,0,0,,,,,,,,,,0,0,231,12,83,,326,4221,,0,0,,0,0,326,4221
Cotton,pounds,1.51,,0.05,153.52,0.04917926,,,300,,,,300,15,1146,,,,,,,,,1146,56,,,,,0,0,,0,0,,0,0,1446,71
Indigo,pounds,7.49,,0.05,153.52,0.243942157,,,,,,,0,0,20,,,,,,,,,20,5,,,,,0,0,,0,0,,0,0,20,5
Loaf sugar,pounds,1.03,,0.05,153.52,0.033546118,,,,,,,0,0,,,,,,,,,50,50,2,,,,,0,0,,0,0,,0,0,50,2
Madeira,quarter casks,45.26,,0.25,153.52,7.370375195,,,,,,,0,0,,,,,10,,,,,10,74,,,,,0,0,,0,0,,0,0,10,74
Madeira,pipes,45.26,,1,153.52,29.48150078,,,,,,,0,0,,,,,2,,,,,2,59,,,,,0,0,,0,0,,0,0,2,59
Madeira,hhds,45.26,,0.5,153.52,14.74075039,,,,,,,0,0,,,,,1,,,,,1,15,,,,,0,0,,0,0,,0,0,1,15
Molasses,hhds,2.87,,5.05,153.52,9.440789474,,,,,,4,4,38,,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,4,38
Molasses,gallons,2.87,,0.05,153.52,0.093473163,,,270,,,,270,25,90,,,,,,,,,90,8,,,,,0,0,,0,0,,0,0,360,33
