Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,Nevis,WI,,Turks Island,Bermuda,Boston,New England,North Carolina,Rhode Island,South Carolina,NA,,Liverpool,GB,,Africa,AFR,,Gibraltar,Madeira,SEU,,TOTAL,
,,1742,,,,Sterling,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash,shillings,1,,0.05,120,0.041666667,,6,,6,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,6,0
Cash,pence,1,,0.004166667,120,0.003472222,,11.5,,11.5,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,11.5,0
Cash,pounds,1,,1,120,0.833333333,,1181,,1181,984,,,,,,,100,100,83,,0,0,,0,0,,,0,0,1281,1067
Coffee,pounds,,,,159.38,0,,2550,,2550,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,2550,0
Cotton,bags,1.01,,,159.38,0,4,6,,10,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,10,0
Ginger,bags,,,,159.38,0,1,,,1,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,1,0
Ginger,pounds,,,,159.38,0,,685,,685,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,685,0
Linen,pieces,,,,159.38,0,,,,0,0,,,,,,,36,36,0,,0,0,,0,0,,,0,0,36,0
Linen,bales,,,,159.38,0,,,,0,0,,,,,,,,0,0,,0,0,,0,0,2,,2,0,2,0
Molasses,firkins,2.28,,,159.38,0,,,7,7,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,7,0
Molasses,barrels,2.28,,1.45,159.38,2.074287865,,,4,4,8,,,,,,,,0,0,,0,0,,0,0,,,0,0,4,8
Molasses,hhds,2.28,,5.05,159.38,7.224243945,2,18,,20,144,,,5,1,,,,6,43,,0,0,,0,0,,,0,0,26,187
Negroes,,26.64,,1,100,26.64,,,,0,0,,,,,,,,0,0,,0,0,1095,1095,29171,,,0,0,1095,29171
Peas,bushels,2.69,,0.05,159.38,0.084389509,,259,,259,22,,,,,,,,0,0,,0,0,,0,0,,,0,0,259,22
Pimento,pounds,,,,159.38,0,,950,,950,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,950,0
Pimento,tierces,,,,159.38,0,,3,,3,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,3,0
Pimento,barrels,,,,159.38,0,,2,,2,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,2,0
Pimento,casks,,,,159.38,0,,2,,2,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,2,0
Rum,hhds,3.64,,5.25,159.38,11.99021207,78,,,78,935,,,21,4,,1,1,27,324,,0,0,,0,0,,,0,0,105,1259
Rum,tierces,3.64,,3,159.38,6.851549755,29,,,29,199,,,,10,,,,10,69,,0,0,,0,0,,,0,0,39,268
Rum,barrels,3.64,,1.45,159.38,3.311582382,53,,,53,176,,,,4,,,,4,13,,0,0,,0,0,,,0,0,57,189
Rum,gallons,3.64,,0.05,159.38,0.114192496,2340,,,2340,267,,,,,,,,0,0,,0,0,,0,0,,,0,0,2340,267
Salt,bushels,2.785,,0.05,159.38,0.087369808,,,,0,0,8000,700,,,,30,,8730,763,3070,3070,268,,0,0,,,0,0,11800,1031
Spirits,casks,3.64,,,159.38,0,2,,,2,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,2,0
Sugar,chests,40.94,,,159.38,0,,,,0,0,,,2,,,,,2,0,,0,0,,0,0,,,0,0,2,0
Sugar,pots,40.94,,,159.38,0,3,,,3,0,,,,,,,,0,0,,0,0,,0,0,,,0,0,3,0
Sugar,tierces,40.94,,0.444196429,159.38,11.41009022,,,,0,0,,,2,,,,,2,23,,0,0,,0,0,,,0,0,2,23
Sugar,hhds,40.94,,0.596428571,159.38,15.32048294,,1,,1,15,,,2,,,,,2,31,,0,0,,0,0,,,0,0,3,46
Sugar,barrels,40.94,,0.15,159.38,3.85305559,75,,23,98,378,,,3,2,,,,5,19,,0,0,,0,0,,,0,0,103,397
Tar,barrels,12.75,,0.05,159.38,0.399987451,,,,0,0,,,,,110,,,110,44,,0,0,,0,0,,,0,0,110,44
Turpentine,barrels,19.95,,0.05,159.38,0.625862718,,,,0,0,,,,,40,,,40,25,,0,0,,0,0,,,0,0,40,25
Wine,quarter casks,24.35,,0.25,159.38,3.819488016,7,,,7,27,,,,,,,,0,0,,0,0,,0,0,,26,26,99,33,126
Wine,pipes,24.35,,1,159.38,15.27795206,39,,,39,596,,,,,,,,0,0,,0,0,,0,0,,160,160,2444,199,3040
Wine,hhds,24.35,,0.5,159.38,7.638976032,,,,0,0,,,,,,,,0,0,,0,0,,0,0,,50,50,382,50,382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,3751,,,,,,,,,1437,,,268,,,29171,,,,2925,,37552
