Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Philadelphia,Rhode Island,Salem,NA,,Bristol,GB,,Isle of May,Madeira,SEU,,TOTAL,
,,1764,,,,Sterling,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,hhds,,,,172.86,0,,,,,0,0,,,3,,3,0,,0,0,,,0,0,3,0
Cheese,cwt,,,,172.86,0,,,,,0,0,,,,5,5,0,,0,0,,,0,0,5,0
Convicts,,12.63272727,,1,100,12.63272727,,,,,0,0,,,,,0,0,20,20,253,,,0,0,20,253
Cotton,bags,1.87,,6,172.86,6.490801805,,1,,,1,6,,,,,0,0,,0,0,,,0,0,1,6
Loaf sugar,pounds,1,,0.05,172.86,0.028925142,,,,,0,0,,,,800,800,23,,0,0,,,0,0,800,23
Loaf sugar,barrels,1,,6.25,172.86,3.615642717,,,,,0,0,,,,3,3,11,,0,0,,,0,0,3,11
Molasses,gallons,1.63,,0.05,172.86,0.047147981,700,,,800,1500,71,,890,,1800,2690,127,,0,0,,,0,0,4190,198
Negroes,,34.74,,1,100,34.74,4,,,,4,139,,,,,0,0,,0,0,,,0,0,4,139
Pig iron,tons,8.5,,1,172.86,4.917274095,,,,,0,0,,93,,,93,457,,0,0,,,0,0,93,457
Pig iron,cwt,8.5,,0.05,172.86,0.245863705,,,,,0,0,,18,,,18,4,,0,0,,,0,0,18,4
Rum,gallons,3.26,,0.05,172.86,0.094295962,18744,13200,1000,2975,35919,3387,300,,2100,2300,4700,443,,0,0,,,0,0,40619,3830
Salt,bushels,1.92,,0.05,172.86,0.055536272,,,,,0,0,,,,,0,0,,0,0,2000,,2000,111,2000,111
Salt,hhds,1.92,,0.35,172.86,0.388753905,,,,,0,0,,,,55,55,21,,0,0,,,0,0,55,21
Sugar,cwt,48.73,,0.05,172.86,1.409522157,288,49,175,43,555,782,,,,63,63,89,,0,0,,,0,0,618,871
Sugar,pounds,48.73,,0.000446429,172.86,0.012585019,22,28,15,10,75,1,,,,55,55,1,,0,0,,,0,0,130,2
Sugar,quarters,48.73,,0.00125,172.86,0.035238054,3,3,3,2,11,0,,,,11,11,0,,0,0,,,0,0,22,0
Wine,hhds,50.56,,0.5,172.86,14.62455166,,,,,0,0,,2,,,2,29,,0,0,,14,14,205,16,234
Wine,pipes,50.56,,1,172.86,29.24910332,2,,,,2,58,,15,,,15,439,,0,0,,57,57,1667,74,2164
Wine,quarter casks,50.56,,0.25,172.86,7.31227583,,,,,0,0,,,,,0,0,,0,0,,5,5,37,5,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,4444,,,,,,1644,,,253,,,,2020,,8361
