Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Barbadoes,St. Christophers,WI,,Bermuda,Boston,New England,Rhode Island,NA,,Africa,Bonny,Calabar,Gambia,AFR,,Madeira,SEU,,TOTAL,
,,1736,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,tons,,,,167,0,,,,0,0,,,,,0,0,,,,0.5,0.5,0,,0,0,0.5,0
Beeswax,pounds,,,,167,0,,,,0,0,,,,,0,0,,,,60,60,0,,0,0,60,0
Cheese,pounds,,,,167,0,,,,0,0,,,10,500,510,0,,,,,0,0,,0,0,510,0
Cotton,pounds,1.09,,0.05,167,0.032634731,,360,,360,12,,,,,0,0,,,,,0,0,,0,0,360,12
Molasses,tierces,1.68,,3.05,167,3.068263473,,1,,1,3,,,,,0,0,,,,,0,0,,0,0,1,3
Molasses,gallons,1.68,,0.05,167,0.050299401,,,903,903,45,,400,310,,710,36,,,,,0,0,,0,0,1613,81
Molasses,hhds,1.68,,5.05,167,5.080239521,,7,,7,36,,,1,3,4,20,,,,,0,0,,0,0,11,56
Negroes,,18.5,,1,100,18.5,,3,,3,56,1,,,,1,19,871,310,251,303,1735,32098,,0,0,1739,32173
Rum,tierces,2.24,,3,167,4.023952096,,41,,41,165,2,,,,2,8,,,,,0,0,,0,0,43,173
Rum,barrels,2.24,,1.45,167,1.94491018,,44,,44,86,,,,2,2,4,,,,,0,0,,0,0,46,90
Rum,gallons,2.24,,0.05,167,0.067065868,,8377,578,8955,601,,1000,508.5,,1508.5,101,,,,,0,0,,0,0,10463.5,702
Rum,hhds,2.24,,5.25,167,7.041916168,,86,,86,606,,,2,4,6,42,,,,,0,0,,0,0,92,648
Salt,bushels,1.64,,0.05,167,0.049101796,1500,,,1500,74,4800,,189,50,5039,247,,,,,0,0,,0,0,6539,321
Sugar,cwt,32.81,,0.05,167,0.982335329,,49,,49,48,,,,,0,0,,,,,0,0,,0,0,49,48
Sugar,quarters,32.81,,0.0125,167,0.245583832,,3,,3,1,,,,,0,0,,,,,0,0,,0,0,3,1
Sugar,barrels,32.81,,0.15,167,2.947005988,,77,,77,227,,,1,1,2,6,,,,,0,0,,0,0,79,233
Sugar,pounds,32.81,,0.000446429,167,0.008770851,,796,6102,6898,61,,,624,,624,5,,,,,0,0,,0,0,7522,66
Wine,quarters,21.58,,0.25,167,3.230538922,,,,0,0,,,,,0,0,,,,,0,0,21,21,68,21,68
Wine,hhds,21.58,,0.5,167,6.461077844,,,,0,0,,,,,0,0,,,,,0,0,14,14,90,14,90
Wine,pipes,21.58,,1,167,12.92215569,,,,0,0,,,,,0,0,,,,,0,0,137,137,1770,137,1770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2021,,,,,,488,,,,,,32098,,,1928,,36535
