Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Nevis,St. Christophers,Turks Island,Virgin Islands,WI,,New York,North Carolina,Rhode Island,South Carolina,NA,,Bristol,Liverpool,GB,,TOTAL,
,,1755,,,,Sterling,,,,,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,casks,,,,168.79,0,,,,,,,0,0,2,,,,2,0,,,0,0,2,0
Ginger,barrels,,,,168.79,0,,1,,,,,1,0,,,,,0,0,,,0,0,1,0
Indigo,pounds,12.97,,0.05,168.79,0.384205225,,,,,,,0,0,,,,3687,3687,1417,,,0,0,3687,1417
Molasses,gallons,1.89,,0.05,168.79,0.055986729,450,330,1360,600,,2860,5600,314,1590,,1130,,2720,152,,,0,0,8320,466
Negroes,,33.1,,1,100,33.1,,11,,,,,11,364,,,,,0,0,,,0,0,11,364
Pitch,barrels,14.92,,0.05,168.79,0.441969311,,,,,,,0,0,,49,,,49,22,,,0,0,49,22
Pork,barrels,65.94,,0.05,168.79,1.95331477,,,,,,,0,0,,26,,,26,51,,,0,0,26,51
Rice,barrels,16.5,,,168.79,0,,,,,,,0,0,,,,63,63,0,,,0,0,63,0
Rum,gallons,2.84,,0.05,168.79,0.084128207,20260,62950,1100,6700,,450,91460,7694,12911,,833,,13744,1156,,,0,0,105204,8850
Salt,bushels,1.515,,0.05,168.79,0.044878251,150,,,,1200,,1350,61,,,,,0,0,2175,3000,5175,232,6525,293
Sugar,pounds,48.39,,0.000446429,168.79,0.012798554,14,84,,,,,98,1,,,,,0,0,,,0,0,98,1
Sugar,quarters,48.39,,0.0125,168.79,0.3583595,1,16,,,,2,19,7,4,,,,4,1,,,0,0,23,8
Sugar,cwt,48.39,,0.05,168.79,1.433438,108,761,12,80,,12,973,1395,55,,5,,60,86,,,0,0,1033,1481
Tar,barrels,11.54,,0.05,168.79,0.341844896,,,,,,,0,0,,605,,,605,207,,,0,0,605,207
Turpentine,barrels,15.01,,0.05,168.79,0.444635346,,,,,,,0,0,,140,,,140,62,,,0,0,140,62
Wine,hhds,29.56,,0.5,168.79,8.756442917,,7,,,,,7,61,,,,,0,0,,,0,0,7,61
Wine,pipes,29.56,,1,168.79,17.51288583,,32,,,,,32,560,,,,,0,0,,,0,0,32,560
Wine,quarter casks,29.56,,0.25,168.79,4.378221459,,6,,,,,6,26,,,,,0,0,,,0,0,6,26
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,10483,,,,,,3154,,,,232,,13869
