Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Barbadoes,WI,,Salt Tudas,Turks Island,Bermuda,New England,New York,North Carolina,Rhode Island,NA,,London,Lancaster,GB,,Africa,AFR,,Isle of May,Madeira,SEU,,TOTAL,
,,1739,,,,Sterling,,,Quantity,Value,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,35.75,,0.05,169.69,1.053391479,,,0,0,,,,,,2,,2,2,,,0,0,,0,0,,,0,0,2,2
Beeswax,pounds,,,,169.69,0,,,0,0,,,,,,1000,,1000,0,,,0,0,,0,0,,,0,0,1000,0
Cash,pounds,1,,1,122.5,0.816326531,,,0,0,,,50,,,,,50,41,,,0,0,,0,0,,5,5,4,55,45
Cash,shillings,1,,0.05,122.5,0.040816327,,,0,0,,,,,,,,0,0,,,0,0,,0,0,,7,7,0,7,0
Gold (dust),ounces,,,,100,0,,,0,0,,,,,,,,0,0,,,0,0,500,500,0,,,0,0,500,0
Indigo,pounds,7.44,,0.05,3,12.4,,,0,0,,,110,,,,,110,1364,,,0,0,,0,0,,,0,0,110,1364
Linen,bales,,,,169.69,0,,,0,0,,,,,,,,0,0,1,,1,0,,0,0,,,0,0,1,0
Molasses,tierces,1.59,,3.05,169.69,2.857858448,,,0,0,,,,,42,,2,44,126,,,0,0,,0,0,,,0,0,44,126
Molasses,hhds,1.59,,5.05,169.69,4.731863987,4,,4,19,,,,6,18,,88,112,530,,,0,0,,0,0,,,0,0,116,549
Negroes,,26.64,,1,100,26.64,,,0,0,,,,,,,1,1,27,,,0,0,578,578,15398,,,0,0,579,15425
Peas,bushels,1.41,,0.05,169.69,0.041546349,,,0,0,,,,,,20,,20,1,,,0,0,,0,0,,,0,0,20,1
Pork,barrels,54.88,,0.05,169.69,1.617066415,,,0,0,,,,,,60,,60,97,,,0,0,,0,0,,,0,0,60,97
Rum,gallons,2.33,,0.05,169.69,0.068654605,,,0,0,38,,,,,,,38,3,,,0,0,,0,0,,,0,0,38,3
Rum,barrels,2.33,,1.45,169.69,1.990983558,,129,129,257,,,,,,,,0,0,,1,1,2,,0,0,,,0,0,130,259
Rum,hhds,2.33,,5.25,169.69,7.208733573,1,198,199,1435,,,4,20,,,4,28,202,,2,2,14,,0,0,,,0,0,229,1651
Rum,tierces,2.33,,1.5,169.69,2.059638164,1,149,150,309,,,1,,,,,1,2,,1,1,2,,0,0,,,0,0,152,313
Salt,bushels,1.7,,0.05,169.69,0.050091343,600,,600,30,1500,1400,500,,,,100,3500,175,,370,370,19,,0,0,5000,,5000,250,9470,474
Sugar,barrels,38.08,,0.15,169.69,3.366138252,,169,169,569,,,6,,122,,1,129,434,,8,8,27,,0,0,,,0,0,306,1030
Tar,barrels,8.63,,0.05,169.69,0.25428723,,,0,0,,,,,,146,,146,37,,,0,0,,0,0,,,0,0,146,37
Wine,hhds,21.58,,0.5,169.69,6.358654016,,4,4,25,,,,,,,,0,0,,,0,0,,0,0,,35,35,223,39,248
Wine,quarter casks,21.58,,0.25,169.69,3.179327008,,,0,0,,,,,,,,0,0,,,0,0,,0,0,,47,47,149,47,149
Wine,pipes,21.58,,1,169.69,12.71730803,,22,22,280,,,,,,,,0,0,,,0,0,,0,0,,213,213,2709,235,2989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,2924,,,,,,,,,3041,,,,64,,,15398,,,,3335,,24762
