Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Turks Island,Bermuda,North Carolina,Providence,NA,,Liverpool,GB,,Madeira,SEU,,TOTAL,
,,1758,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,M,1.4,,50,159,44.02515723,,,,0,0,,,,1,1,44,,0,0,,0,0,1,44
Ginger,pounds,,,,159,0,,,,0,0,,,,1063,1063,0,,0,0,,0,0,1063,0
Molasses,gallons,2.51,,0.05,159,0.078930818,,360,600,960,76,,,,240,240,19,,0,0,,0,0,1200,95
Pimento,barrels,,,,159,0,,,,0,0,,,,6,6,0,,0,0,,0,0,6,0
Pitch,barrels,15.11,,0.05,159,0.475157233,,,,,0,,,20,,20,10,,0,0,,0,0,20,10
Plank,feet,8.96,,0.0005,159,0.00281761,,,,0,0,,,,100,100,0,,0,0,,0,0,100,0
Rum,gallons,3.72,,0.05,159,0.116981132,720,25665,2320,28705,3358,,,,916,916,107,,0,0,,0,0,29621,3465
Salt,bushels,2.385,,0.05,159,0.075,,1000,336,1336,100,1000,1000,,80,2080,156,1680,1680,126,,0,0,5096,382
Sugar,cwt,47.7,,0.05,159,1.5,,172,,172,258,,,,12,12,18,,0,0,,0,0,184,276
Sugar,pounds,47.7,,0.000446429,159,0.013392857,,24,,24,0,,,,,0,0,,0,0,,0,0,24,0
Sugar,quarters,47.7,,0.0125,159,0.375,,4,,4,2,,,,,0,0,,0,0,,0,0,4,2
Tar,barrels,9.75,,0.05,159,0.306603774,,,,0,0,,,57,,57,17,,0,0,,0,0,57,17
Turpentine,barrels,16.12,,0.05,159,0.506918239,,,,0,0,,,35,,35,18,,0,0,,0,0,35,18
Wine,quarter casks,41.77,,0.25,159,6.567610063,,,,0,0,,,,,0,0,,0,0,1,1,7,1,7
Wine,pipes,41.77,,1,159,26.27044025,,,,0,0,,,,,0,0,,0,0,81,81,2128,81,2128
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,3794,,,,,,389,,,126,,,2135,,6444
