Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Curacao,Grenada,Nevis,WI,,Boston,Piscataqua,Salem,NA,,Unknown,UNK,,TOTAL,
,,1771,,,,Sterling,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bread,barrels,28.93,,0.089285714,165.69,1.558956916,,,,,,0,0,,1,,1,2,,0,0,1,2
Cash,pounds,1,,1,123.6,0.809061489,,,160,,,160,129,,,,0,0,,0,0,160,129
Cheese,pounds,,,,165.69,0,,,,,,0,0,776,600,3307,4683,0,,0,0,4683,0
Chocolate,pounds,,,,165.69,0,,,,,,0,0,650,350,1704,2704,0,,0,0,2704,0
Coffee,cwt,,,,165.69,0,,,,,,0,0,5,,,5,0,,0,0,5,0
Linen,boxes,,,,165.69,0,,,,,,0,0,,1,,1,0,,0,0,1,0
Molasses,gallons,1.77,,0.05,165.69,0.053413,,,,,,0,0,4280,2820,8959,16059,858,761,761,41,16820,899
Negroes,,38.39,,1,100,38.39,,,,16,,16,614,,,,0,0,,0,0,16,614
Refined sugar,pounds,0.97,,0.05,165.69,0.029271531,,,,,,0,0,10850,600,1042,12492,366,,0,0,12492,366
Rum,gallons,3.35,,0.05,165.69,0.101092401,2300,10330,,17380,,30010,3034,16940,2550,6317,25807,2609,470,470,48,56287,5691
Salt,bushels,1.6,,0.05,165.69,0.048282938,,,1000,,,1000,48,100,10,,110,5,,0,0,1110,53
Salt,hhds,1.6,,0.35,165.69,0.337980566,,,,,,0,0,16,3,97.5,116.5,39,12,12,4,128.5,43
Sugar,pounds,50.86,,0.000446429,165.69,0.013703517,4600,7800,,4800,2200,19400,266,5832,3600,6433,15865,217,200,200,3,35465,486
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,4091,,,,,4096,,,96,,8283
