Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Nevis,St. Christophers,WI,,New Providence,Turks Island,Bermuda,Carolina,New England,New York,Providence,NA,,Kings Lynn,Kingston Hull,GB,,Dublin,IRE,,Africa,AFR,,Madeira,SEU,,TOTAL,
,,1752,,,,Sterling,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,tons,,,,166.85,0,,,,,,0,0,,,,,,,,0,0,,,0,0,,0,0,1.5,1.5,0,,0,0,1.5,0
Cheese,pounds,,,,166.85,0,,,,,,0,0,,,,,500,,,500,0,,,0,0,,0,0,,0,0,,0,0,500,0
Convicts,,9.861818182,,1,100,9.861818182,,,,,,0,0,,,,,,,,0,0,,22,22,217,,0,0,,0,0,,0,0,22,217
Molasses,gallons,1.94,,0.05,166.85,0.05813605,,1116,217,,3300,4633,269,,,280,,272,,,552,32,3380,,3380,196,,0,0,,0,0,,0,0,8565,497
Negroes,,27.12,,1,100,27.12,,,,,19,19,515,,,,,,,,0,0,,,0,0,,0,0,1768,1768,47948,,0,0,1787,48463
Pitch,barrels,20.06,,0.05,166.85,0.601138747,,,,,,0,0,,,,150,,,,150,90,,,0,0,,0,0,,0,0,,0,0,150,90
Plank,feet,6.816,,0.0005,166.85,0.002042553,,,,,,0,0,1213,,,,,,1050,2263,5,,,0,0,,0,0,,0,0,,0,0,2263,5
Refined sugar,pounds,1,,0.05,166.85,0.029967036,,,,,,0,0,,,,,,221,,221,7,,,0,0,,0,0,,0,0,,0,0,221,7
Rum,gallons,3.22,,0.05,166.85,0.096493857,4975,41811,1337,2016,21414,71553,6904,,,224,,725,,,949,92,,,0,0,,0,0,,0,0,,0,0,72502,6996
Salt,bushels,1.395,,0.05,166.85,0.041804016,,,,,,0,0,,6000,1200,,,,,7200,301,,,0,0,,0,0,,0,0,,0,0,7200,301
Salt,hhds,1.395,,0.35,166.85,0.292628109,,,,,,0,0,,,,,5,,,5,1,,,0,0,,0,0,,0,0,,0,0,5,1
Servants,,9.861818182,,1,100,9.861818182,,,,,,0,0,,,,,,,,0,0,,,0,0,50,50,493,,0,0,,0,0,50,493
Sugar,quarters,48,,0.0125,166.85,0.359604435,4,20,,,1,25,9,,,,,4,,,4,1,,,0,0,,0,0,,0,0,,0,0,29,10
Sugar,pounds,48,,0.000446429,166.85,0.012843016,26,192,2,,,220,3,,,,,30,,,30,0,,,0,0,,0,0,,0,0,,0,0,250,3
Sugar,cwt,48,,0.05,166.85,1.43841774,64,710,17,,133,924,1329,,,7,,9,,,16,23,,,0,0,,0,0,,0,0,,0,0,940,1352
Tar,barrels,10.08,,0.05,166.85,0.302067726,,,,,,0,0,,,,307,,,,307,93,,,0,0,,0,0,,0,0,,0,0,307,93
Wine,hhds,30.1,,0.5,166.85,9.020077914,3,13,,,,16,144,,,,,,,,0,0,,,0,0,,0,0,,0,0,4,4,36,20,180
Wine,pipes,30.1,,1,166.85,18.04015583,13,44,,,,57,1028,,,,,,,,0,0,,,0,0,,0,0,,0,0,29,29,523,86,1551
Wine,quarter casks,30.1,,0.25,166.85,4.510038957,,,,,,0,0,,,,,,,,0,0,,,0,0,,0,0,,0,0,14,14,63,14,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,10201,,,,,,,,,645,,,,413,,,493,,,47948,,,622,,60322
